source,target,weight
individu,life,1
individu,like,1
individu,negro,1
individu,pride,1
individu,soldier,1
individu,unit,1
individu,white,1
induct,draft,1
industri,war,1
inferior,destroi,1
inferior,peopl,1
inferior,race,1
inferior,white,1
inferior,complex,1
inferior,superior,1
inform,subject,1
instanc,finish,1
in th,armi,1
intellig,complic,1
intellig,oper,1
intermingl,race,1
intermix,fight,1
intern,strain,1
interspers,separ,1
irregardless,color,1
irregardless,race,1
jealousi,indiffer,1
join,negro,1
join,outfit,1
kick,occur,1
kick,unclear,1
labor,heat,1
latrin,color,1
latrin,troop,1
lead,argument,1
lead,entangl,1
lead,equal,1
lead,heat,1
lead,individu,1
lead,life,1
lead,troubl,1
lead,follow,1
learn,discrimin,1
learn,disun,1
learn,mix,1
learn,prejudic,1
learn,quell,1
leav,white,1
lessen,complex,1
lessen,inferior,1
lessen,superior,1
level,head,1
liabl,troubl,2
liber,delet,1
life,feel,1
life,like,1
life,live,1
life,major,1
life,negro,1
life,treat,1
life,war,1
life,white,1
light,finger,1
like,pecular,1
like,peculiar,1
limit,recept,1
limit,servic,1
line,draw,1
link,bad,1
link,feel,1
list,question,1
live,amount,1
live,associ,1
live,barrack,2
live,bath,1
live,color,1
live,condit,3
live,creat,1
live,eat,4
live,fight,1
live,gut,1
live,habit,1
live,mexican,1
live,negro,2
live,negro,3
live,outfit,1
live,race,1
live,reason,1
live,roof,1
live,section,1
live,separ,1
live,sleep,3
live,stomach,1
live,tighter,1
live,train,1
live,troubl,1
live,war,1
live,white,1
live,idea,1
live,negro,1
live,speech,1
live,standard,2
local,station,1
lose,control,1
lose,life,1
lose,war,1
lost,armi,1
lost,motion,1
lot,bunk,1
lot,camp,1
lot,class,1
lot,delet,1
lot,discord,1
lot,discrimin,1
lot,dissens,1
lot,fellow,1
lot,fight,1
lot,friction,1
lot,happier,1
lot,lower,1
lot,negro,2
lot,negro,1
lot,nonsens,1
lot,outfit,2
lot,racial,1
lot,separ,3
lot,soldier,3
lot,start,1
lot,time,1
lot,troubl,2
lot,white,1
lot,white,1
love,hold,1
lower,class,1
lower,effici,1
lower,hygen,1
lower,live,1
lower,moral,2
lower,moral,3
lower,standard,2
lower,standard,1
lower,white,1
lower,prejudic,1
m.p.,unit,1
maintain,disciplin,1
major,negro,1
major,peopl,1
major,unclean,1
manner,fight,1
manner,offens,1
mark,attain,1
mark,guid,1
marri,armi,1
marri,home,1
martial,eat,1
mass,color,1
mass,irregardless,1
match,alik,1
mean,american,1
mean,right,1
mean,live,1
mean,lot,1
merger,lower,1
merger,moral,1
mess,hall,4
mess,sleep,2
method,armi,1
mexican,negro,1
mexican,seper,1
negro,unclear,1
negro,gather,1
militari,count,1
militari,polic,1
militari,polic,1
mind,free,1
mind,negro,1
mind,white,1
mind,soldier,1
mingl,[/unclear,1
mingl,negro,1
mingl,negro,1
mingl,white,1
minor,race,1
minor,unclear,1
mistreat,unclear,1
mix,armi,1
mix,black,1
mix,camp,1
mix,class,1
mix,content,1
mix,creat,1
mix,extent,1
mix,gather,1
mix,live,1
mix,negro,2
mix,negro,3
mix,noncom,1
mix,offic,1
mix,oil,1
mix,peopl,2
mix,pull,1
mix,race,1
mix,soldier,3
mix,troubl,1
mix,water,1
mix,white,6
mix,white,2
mix,color,1
mix,combat,1
mix,depend,1
mix,m.p.,1
mix,outfit,8
mix,race,1
mix,unit,1
mix,negro,1
mix,white,1
mix,color,2
mix,fight,1
mixtur,class,1
monkei,lot,1
moral,builder,1
moral,compani,1
moral,moral,2
moral,peopl,1
moral,white,1
moral,armi,1
moral,drop,1
moral,lot,1
moral,outlook,1
