,slug,page_rank,btw_cent,deg_cent,x,y,description,language,commits,prog_go,prog_ruby,prog_cpp,prog_csharp,prog_clang,prog_objc,prog_objcpp,prog_rust,prog_perl,prog_swift,prog_haskell,prog_groovy,prog_clojure,prog_ocaml,prog_dotnet,prog_vbdotnet,prog_fsharp,prog_fortran,prog_commonlisp,prog_coq,prog_gen_all,prog_python,prog_scala,prog_rlang,prog_matlab,prog_stata,prog_sas,prog_julia,prog_stat_all,prog_javascript,prog_java,prog_typescript,prog_php,prog_html,prog_css,prog_dart,prog_kotlin,prog_lua,prog_coffeescript,prog_dm,prog_erlang,prog_elixer,prog_jsonnet,prog_elm,prog_webassembly,prog_purescript,prog_web_all,sys_general,sys_os,sys_windows,sys_linux,sys_mac,sys_modern,sys_bsd,sys_android,sys_solaris,sys_virtual,sys_handheld,sys_emulapi,sys_grouping,sys_other,system_all,topics_ai,topics_dataviz,app_cryptocurrency,app_blockchain_all,app_business_all,app_database_all
192,ramda/ramda,0.00205413285085028,0.0030529619975112297,0.06265060240963856,9.650203,-5.5990744,:ram: practical functional javascript,JavaScript,2812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,cmderdev/cmder,0.001477416611738779,0.0004320580682277516,0.04096385542168675,-1.5403084,6.3204956,lovely console emulator package for windows,C++,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
194,remy/nodemon,0.0027527811218426303,0.0034870764032566746,0.07951807228915664,-2.1382177,-3.6426535,monitor for any changes in your node.js application and automatically restart the server - perfect for development,JavaScript,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,cheeriojs/cheerio,0.0052148876157103044,0.01127902581522126,0.2240963855421687,3.8456967,5.8607774,"fast, flexible, and lean implementation of core jquery designed specifically for the server.",JavaScript,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,h5bp/Front-end-Developer-Interview-Questions,0.0035555623688046274,0.0028748857620322305,0.17590361445783134,8.333661,10.214292,"a list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",HTML,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,GitbookIO/gitbook,0.0006767245104679594,0.0002416821666119745,0.0072289156626506035,-22.269007,7.1768613,📝 modern documentation format and toolchain using git and markdown,JavaScript,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,ianstormtaylor/slate,0.003779824256064228,0.0038888104713891915,0.1783132530120482,6.6499186,8.84419,a completely customizable framework for building rich text editors. (currently in beta.),TypeScript,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,kriasoft/react-starter-kit,0.00394740152530295,0.0016080257459805101,0.1927710843373494,3.9564745,9.354405,"react starter kit — isomorphic web app boilerplate (node.js, express, graphql, react.js, babel, postcss, webpack, browsersync)",JavaScript,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,mermaid-js/mermaid,0.005167742730641734,0.009141758465690243,0.22650602409638557,9.611317,3.4379928,generation of diagram and flowchart from text in a similar manner as markdown,JavaScript,1858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,hexojs/hexo,0.003080248034283549,0.007395264667378867,0.09879518072289158,-1.5402946,12.669348,"a fast, simple & powerful blog framework, powered by node.js.",JavaScript,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Eugeny/terminus,0.0018921291993015676,0.0009823876399017615,0.06265060240963856,0.07093065,11.56943,a terminal for a more modern age,TypeScript,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,starship/starship,0.0020292594653224757,0.0013137719393683672,0.06987951807228916,-0.30496877,12.253835,"☄🌌️  the minimal, blazing-fast, and infinitely customizable prompt for any shell!",Rust,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,palantir/blueprint,0.0010191972871678953,0.0005325085902231085,0.026506024096385545,7.2269034,-5.7324066,a react-based ui toolkit for the web,TypeScript,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
