"Source","Target","Weight"
"dowch","oklhmg",1
"dowch","srv",1
"dowch","stgtg",1
"dowch","suzfod",1
"dowch","symt",1
"dowch","unpacf",1
"dowch","wpsrss",1
"dowch","wshpst",1
"dowch","xylein",1
"dowch","msccmp",1
"dowch","nrgeng",1
"encwir","fstdes",1
"encwir","geonco",1
"encwir","gildan",1
"encwir","hhn",1
"encwir","invac",1
"encwir","kbroot",1
"encwir","kohldp",1
"encwir","ltob",1
"encwir","mdu",1
"encwir","oklhmg",1
"encwir","srv",1
"encwir","stgtg",1
"encwir","suzfod",1
"encwir","symt",1
"encwir","unpacf",1
"encwir","wpsrss",1
"encwir","wshpst",1
"encwir","xylein",1
"encwir","msccmp",1
"encwir","nrgeng",1
"fstdes","geonco",1
"fstdes","gildan",1
"fstdes","hhn",1
"fstdes","invac",1
"fstdes","kbroot",1
"fstdes","kohldp",1
"fstdes","ltob",1
"fstdes","mdu",1
"fstdes","oklhmg",1
"fstdes","srv",1
"fstdes","stgtg",1
"fstdes","suzfod",1
"fstdes","symt",1
"fstdes","unpacf",1
"fstdes","wpsrss",1
"fstdes","wshpst",1
"fstdes","xylein",1
"fstdes","msccmp",1
"fstdes","nrgeng",1
"geonco","gildan",1
"geonco","hhn",1
"geonco","invac",1
"geonco","kbroot",1
"geonco","kohldp",1
"geonco","ltob",1
"geonco","mdu",1
"geonco","oklhmg",1
"geonco","srv",1
"geonco","stgtg",1
"geonco","suzfod",1
"geonco","symt",1
"geonco","unpacf",1
"geonco","wpsrss",1
"geonco","wshpst",1
"geonco","xylein",1
"geonco","msccmp",1
"geonco","nrgeng",1
"gildan","hhn",1
"gildan","invac",1
"gildan","kbroot",1
"gildan","kohldp",1
"gildan","ltob",1
"gildan","mdu",1
"gildan","oklhmg",1
"gildan","srv",1
"gildan","stgtg",1
"gildan","suzfod",1
"gildan","symt",1
"gildan","unpacf",1
"gildan","wpsrss",1
"gildan","wshpst",1
"gildan","xylein",1
"gildan","msccmp",1
"gildan","nrgeng",1
"hhn","invac",1
"hhn","kbroot",1
"hhn","kohldp",1
"hhn","ltob",1
"hhn","mdu",1
"hhn","oklhmg",1
"hhn","srv",1
"hhn","stgtg",1
"hhn","suzfod",1
"hhn","symt",1
"hhn","unpacf",1
"hhn","wpsrss",1
"hhn","wshpst",1
"hhn","xylein",1
"hhn","msccmp",1
"hhn","nrgeng",1
"invac","kbroot",1
"invac","kohldp",1
"invac","ltob",1
"invac","mdu",1
"invac","oklhmg",1
"invac","srv",1
"invac","stgtg",1
"invac","suzfod",1
"invac","symt",1
"invac","unpacf",1
"invac","wpsrss",1
"invac","wshpst",1
"invac","xylein",1
"invac","msccmp",1
"invac","nrgeng",1
"kbroot","kohldp",1
"kbroot","ltob",1
"kbroot","mdu",1
"kbroot","oklhmg",1
"kbroot","srv",1
"kbroot","stgtg",1
"kbroot","suzfod",1
"kbroot","symt",1
"kbroot","unpacf",1
"kbroot","wpsrss",1
"kbroot","wshpst",1
"kbroot","xylein",1
"kbroot","msccmp",1
"kbroot","nrgeng",1
"kohldp","ltob",1
"kohldp","mdu",1
"kohldp","oklhmg",1
"kohldp","srv",1
"kohldp","stgtg",1
"kohldp","suzfod",1
"kohldp","symt",1
"kohldp","unpacf",1
"kohldp","wpsrss",1
"kohldp","wshpst",1
"kohldp","xylein",1
"kohldp","msccmp",1
"kohldp","nrgeng",1
"ltob","mdu",1
"ltob","oklhmg",1
"ltob","srv",1
"ltob","stgtg",1
"ltob","suzfod",1
"ltob","symt",1
"ltob","unpacf",1
"ltob","wpsrss",1
"ltob","wshpst",1
"ltob","xylein",1
"ltob","msccmp",1
"ltob","nrgeng",1
"mdu","oklhmg",1
"mdu","srv",1
"mdu","stgtg",1
"mdu","suzfod",1
"mdu","symt",1
"mdu","unpacf",1
"mdu","wpsrss",1
