FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
46,South Dakota,SD,0.124,105880,1.3,SNAP,1.85,Other Nutrition Program,0.460049112202493,0.132036267472611,0.408009066868153,0.185,39030,0.63,0.37,2.92,54553000,2014
47,Tennessee,TN,0.169,1103580,1.3,SNAP,1.85,Other Nutrition Program,0.560439660015586,0.16454629478606,0.274696895558093,0.24,357920,0.72,0.28,2.89,562556000,2014
48,Texas,TX,0.17,4578670,1.65,SNAP,1.85,Other Nutrition Program,0.636438092284441,0.0446505207844199,0.318955067738011,0.256,1821820,0.67,0.33,2.53,2045312000,2014
49,Utah,UT,0.142,416670,1.3,SNAP,1.85,Other Nutrition Program,0.437636498908009,0.158614731082151,0.403508771929825,0.182,164440,0.55,0.45,2.78,204334000,2014
50,Vermont,VT,0.135,84870,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.603039943442913,,0.396960056557087,0.191,23310,0.59,0.41,3.28,49174000,2014
51,Virginia,VA,0.118,983880,1.3,SNAP,1.85,Other Nutrition Program,0.486167012237265,0.16899418628288,0.344960767573281,0.16,299050,0.64,0.36,3.01,523149000,2014
53,Washington,WA,0.137,970150,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.694449311962068,,0.305560995722311,0.21,337320,0.61,0.39,2.9,497509000,2014
54,West Virginia,WV,0.153,282900,1.3,SNAP,1.85,Other Nutrition Program,0.514245316366207,0.137363025804171,0.348320961470484,0.215,82220,0.68,0.32,2.68,133864000,2014
55,Wisconsin,WI,0.119,687370,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.708788570929776,,0.291211429070224,0.191,248570,0.64,0.36,2.66,322748000,2014
56,Wyoming,WY,0.126,73400,1.3,SNAP,1.85,Other Nutrition Program,0.426975476839237,0.144005449591281,0.428065395095368,0.168,23130,0.57,0.43,3.04,39387000,2014
1,Alabama,AL,0.177,859380,1.3,SNAP,1.85,Other Nutrition Program,0.539156135818846,0.179408410714701,0.281586725313598,0.241,267040,0.73,0.27,2.92,450670000,2015
2,Alaska,AK,0.139,102670,1.3,SNAP,1.85,Other Nutrition Program,0.437031265218662,0.175026784844648,0.389013343722606,0.196,36560,0.61,0.39,3.41,62743000,2015
4,Arizona,AZ,0.158,1078190,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.693310084493457,,0.306689915506543,0.24,389850,0.69,0.31,2.81,543084000,2015
5,Arkansas,AR,0.184,549070,1.3,SNAP,1.85,Other Nutrition Program,0.557415265813102,0.174076165151984,0.268708907789535,0.25,176710,0.72,0.28,2.72,267757000,2015
6,California,CA,0.125,4885220,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.769588677684935,,0.230413369305784,0.207,1890050,0.68,0.32,3.14,2750484000,2015
8,Colorado,CO,0.122,665220,1.3,SNAP,1.85,Other Nutrition Program,0.466567451369472,0.169793451790385,0.363639096840143,0.165,207650,0.63,0.37,3.09,368403000,2015
9,Connecticut,CT,0.122,437530,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.578360341005188,,0.421662514570429,0.167,127400,0.6,0.4,3.12,244830000,2015
10,Delaware,DE,0.121,114060,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.665965281430826,,0.334034718569174,0.173,35310,0.7,0.3,3.04,62102000,2015
11,District of Columbia,DC,0.126,84540,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.737047551454933,,0.262952448545067,0.236,27800,0.72,0.28,3.61,54660000,2015
12,Florida,FL,0.151,3056280,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.733450469197848,,0.26655934665672,0.227,930730,0.71,0.29,3.11,1702052000,2015
13,Georgia,GA,0.162,1659710,1.3,SNAP,1.85,Other Nutrition Program,0.542167005079201,0.187213428852028,0.270505088238307,0.232,580830,0.71,0.29,2.88,858223000,2015
15,Hawaii,HI,0.128,182600,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.537130339539978,,0.462924424972618,0.201,62600,0.44,0.56,3.23,105633000,2015
16,Idaho,ID,0.14,232180,1.3,SNAP,1.85,Other Nutrition Program,0.482125936773193,0.225213196657766,0.293694547333965,0.176,76070,0.67,0.33,2.92,121760000,2015
17,Illinois,IL,0.117,1506060,1.65,SNAP,1.85,Other Nutrition Program,0.63788959271211,0.0555289961887309,0.306654449357927,0.173,513270,0.68,0.32,2.72,735098000,2015
