GEOID,NAME,year,labor_force_over_16,labor_force_over_16_moe,employment_over_16,employment_over_16_moe,unemployment_over_16,unemployment_over_16_moe,labor_force_20_to_64,labor_force_20_to_64_moe,employment_20_to_64,employment_20_to_64_moe,unemployment_20_to_64,unemployment_20_to_64_moe,below_poverty,below_poverty_moe,earnings_16_older_total,earnings_16_older_total_moe,earnings_16_older_median,earnings_16_older_median_moe,earnings_25_older_total,earnings_25_older_total_moe,earnings_25_older_less_hs,earnings_25_older_less_hs_moe,earnings_25_older_hs_grad,earnings_25_older_hs_grad_moe,earnings_25_older_some_college,earnings_25_older_some_college_moe,earnings_25_older_bachelors,earnings_25_older_bachelors_moe,earnings_25_older_graduate,earnings_25_older_graduate_moe,median_household_income,median_household_income_moe,income_less_than_10k,income_less_than_10k_moe,income_10k_14999,income_10k_14999_moe,income_15k_24999,income_15k_24999_moe,income_25k_34999,income_25k_34999_moe,income_35K_49999,income_35K_49999_moe,income_50K_74999,income_50K_74999_moe,income_75K_99999,income_75K_99999_moe,income_100K_149999,income_100K_149999_moe,income_150K_199999,income_150K_199999_moe,income_200K_more,income_200K_more_moe,total_pop,total_pop_moe,race_white,race_white_moe,race_black,race_black_moe,race_american_indian,race_american_indian_moe,race_asian,race_asian_moe,race_native_hawaiian,race_native_hawaiian_moe,race_hispanic,race_hispanic_moe,race_other,race_other_moe,race_two_more,race_two_more_moe,family_children_total,family_children_total_moe,family_married_parent_perc,family_married_parent_perc_moe,family_single_parent_male_perc,family_single_parent_male_perc_moe,family_single_parent_female_perc,family_single_parent_female_perc_moe,family_single_parent_perc,family_single_parent_perc_moe,family_children_nonfamily_perc,family_children_nonfamily_perc_moe,household_single_or_nonfamily_perc,household_single_or_nonfamily_perc_moe,education_less_hs,education_less_hs_moe,education_hs_grad,education_hs_grad_moe,education_assoc_some_college,education_assoc_some_college_moe,education_bachelors_or_higher,education_bachelors_or_higher_moe,disability,disability_moe,housing_occupied_total,housing_occupied_total_moe,owner_occupied_housing_total,owner_occupied_housing_total_moe,renter_occupied_housing_total,renter_occupied_housing_total_moe,owner_occupied_housing_perc,owner_occupied_housing_perc_moe,renter_occupied_housing_perc,renter_occupied_housing_perc_moe,affordable_housing_own_total,affordable_housing_own_total_moe,affordable_housing_own_perc,affordable_housing_own_perc_moe,affordable_housing_rent_total,affordable_housing_rent_total_moe,affordable_housing_rent_perc,affordable_housing_rent_perc_moe,affordable_housing_all_perc,affordable_housing_all_perc_moe,affordable_housing_less_50k,affordable_housing_less_50k_moe
53039950300,"Census Tract 9503, Klickitat County, WA",2018,55.8,4.1,55.8,4.1,2.1,1.6,73.1,5,72.3,5.1,1.1,0.8,9.4,2.6,3932,303,30759,1530,31929,1896,21552,2820,40816,5919,31250,1191,39875,37104,63701,17283,63032,7365,4.1,2.1,3,1.6,6.2,2.5,11.2,3.2,15.3,5.1,20.9,5,12.3,4.5,18.5,5,4.9,3.2,3.7,2.4,8159,523,92.5726191935286,6.74102218409119,0,0.208358867508273,0.379948523103321,0.625076602524819,0.563794582669445,0.392204927074396,0,0.208358867508273,21.6570658168893,2.90476774114475,4.42456183355803,2.72092168157863,2.05907586714058,1.29917882093394,1789,260,80.715483510341,13.3035215204025,3.91280044717719,3.29793180547792,9.39072107322527,6.3163778647289,13.3035215204025,9.61430967020682,5.98099496925657,7.54611514812745,17.700548081714,3.78674638764325,12.1658670322138,4.45510623714873,17.7347498286498,3.97532556545579,26.4736120630569,6.33995887594243,43.6257710760795,9.45853324194654,12.2,2.4,3217,208,2267,217,950,210,70.4693814112527,6.74541498290333,29.5306185887473,6.52782095119677,1732,669,76.4005293339215,29.510366122629,328,359,34.5263157894737,37.7894736842105,64.0348150450731,31.9552377991918,37.757625721352,34.5424567188788
53039,"Klickitat County, WA",2018,47.1,2.6,47.1,2.6,6.2,1.8,65.1,3.4,61.4,3.4,5.7,1.9,15,2.7,9290,445,30400,1657,33112,3049,21364,1955,33119,2987,33298,5368,41544,10147,62702,8757,54056,3710,6.9,2.2,4.8,1.7,8.3,2.1,12.2,2.2,14.9,2.7,20.4,3.4,14.1,2.6,12.6,2.4,3.8,1.6,2,1,21396,,91.671340437465,1.31800336511497,0.219667227519162,0.196298373527762,3.1407739764442,0.710413161338568,0.771172181716209,0.243036081510563,0.0140213123948402,0.0280426247896803,12.0630024303608,,2.17330342120022,1.3366984483081,2.00972144326042,0.729108244531688,4223,7,76.1543926118873,7.81434998816008,8.47738574473123,4.02557423632489,12.8344778593417,5.49372484016102,21.3118636040729,9.51929907648591,2.53374378403978,3.19677954061094,20.4132778513335,3.00264800453944,12.2178293585002,3.69213110572631,25.4559367427624,2.51243463843897,33.4651192449943,3.90894018620074,28.8611146537431,4.38719551077669,18.6,2,8539,264,5662,342,2877,317,66.3075301557559,4.00515282820002,33.6924698442441,3.71237849865324,4442,1217,78.4528435181915,21.4941716707877,1167,699,40.563086548488,24.29614181439,65.6868485771168,22.4382246164656,43.6063801027305,21.2219518788862
41,Oregon,2018,59.4,0.4,59.4,0.4,5,0.3,77.9,0.5,74.4,0.5,4.5,0.3,12.6,0.5,2255274,13493,34358,814,40148,372,26327,815,31098,517,36161,539,51699,723,69381,2353,63426,1056,5.3,0.3,4,0.3,8.5,0.3,8.9,0.3,12.8,0.4,18.1,0.5,13.6,0.5,15.5,0.5,6.5,0.3,6.7,0.3,4190713,,83.8755362154364,0.281503410040249,1.95780527084532,0.0949480434474993,1.17046908246878,0.0963797807198918,4.55006105166352,0.126398538864389,0.447608795925658,0.0460303533074205,13.27690538579,,3.29235144473029,0.281384098600882,4.70616813893006,0.194716269045387,868403,2068,70.2251143766201,1.45289686931068,8.80662549530575,0.789034584173477,20.1764618500857,1.2907601654992,28.9830873453915,2.07979474967268,0.791798277988446,0.249423366800898,20.6731491141684,0.426827484667362,9.48133370365603,0.528556622115039,22.2129603912775,0.47222918459006,34.3485933382559,0.742079271638475,33.9571125668105,0.736490560158245,14,0.3,1639970,6988,1024853,10325,615117,9709,62.4921797349952,0.629584687524772,37.5078202650048,0.59202302481143,762427,33417,74.3937911095543,3.2606627487064,293746,26126,47.7544922348106,4.24732205417831,64.401970767758,3.63073714763075,32.1558031139252,3.75859874983203
4100021,"South Wasco County School District 1, OR",2017,42.9,6.9,42.9,6.9,7.9,6.2,70.4,7.6,64.7,8.2,8.1,7,18,5.6,967,177,23317,5095,26534,6041,21425,7737,,,34167,5835,31094,1349,26063,22420,42447,3208,8,3.3,5.8,2.8,12.7,4.1,12.9,4.6,22,5.8,22.2,5.6,6.9,3.3,6.1,2.3,2.6,2.6,0.8,1.2,2076,239,94.2678227360308,11.4643545279383,0.144508670520231,0.240847784200385,0.81888246628131,0.867052023121387,2.79383429672447,3.42003853564547,0.289017341040462,0.385356454720617,6.11753371868979,5.2504816955684,0,0.578034682080925,1.6859344894027,2.11946050096339,235,65,46.3829787234043,21.2765957446809,21.2765957446809,15.7446808510638,25.9574468085106,16.5957446808511,47.2340425531915,32.3404255319149,6.38297872340426,10.6382978723404,23.4791889007471,6.24332977588047,11.9420289855072,7.76811594202899,35.768115942029,6.78260869565218,40,10.7826086956522,12.2898550724638,6.26086956521739,22.8,4,914,115,648,96,266,71,70.8971553610503,10.5032822757112,29.1028446389497,7.76805251641138,465,230,71.7592592592593,35.4938271604938,130,173,48.8721804511278,65.0375939849624,65.0984682713348,44.0919037199125,55.9652928416486,44.2516268980477
41065970100,"Census Tract 9701, Wasco County, OR",2017,50.1,5.7,50.1,5.7,6.1,4.3,73.3,6.5,69.4,7.6,5.3,4.2,12.8,6.2,1777,159,32813,12897,40852,8312,,,30747,10815,44405,14327,55256,10445,65284,4637,52425,12762,4.9,4.1,6.4,4.7,10.9,4.8,11.8,4.5,10.9,4,21.8,7,15.7,7.4,8.3,3.7,5.7,3.2,3.5,2.3,4006,352,94.9575636545182,9.136295556665,0.124812780828757,0.299550673989017,2.37144283574638,1.64752870693959,0.149775336994508,0.324513230154768,0,0.299550673989017,7.41387918122816,3.5946080878682,0.72391412880679,0.923614578132801,1.67249126310534,1.54767848227659,957,184,75.5485893416928,21.3166144200627,0,1.25391849529781,24.4514106583072,13.166144200627,24.4514106583072,14.4200626959248,0,1.25391849529781,17.08434384263,4.04203718674212,6.70212765957447,5.42553191489362,26.7021276595745,6.56028368794326,40.1418439716312,10.2127659574468,26.4539007092199,8.93617021276596,20.7,4.4,1621,115,1157,112,464,93,71.3756940160395,6.90931523750771,28.6243059839605,5.73719925971623,858,421,74.1573033707865,36.3872082973207,173,230,37.2844827586207,49.5689655172414,63.6027143738433,40.1603948180136,32.5811001410437,34.6967559943583
41065970200,"Census Tract 9702, Wasco County, OR",2017,65.4,4.9,65.4,4.9,4.1,2.8,77.1,5.6,74.6,5.5,3.2,2.7,13.6,6,1634,198,27018,3809,30377,4224,25066,16257,31082,3274,34856,6454,37656,8452,26094,14097,45959,4139,4.6,3,3.3,2.4,14.4,6.1,14.8,6.2,21.9,7.7,18.1,6.1,13.2,5.3,6.7,3.6,3.1,3.1,0,2.6,3015,308,91.6749585406302,10.547263681592,0.829187396351576,0.995024875621891,1.75787728026534,1.69154228855721,0.696517412935323,0.995024875621891,0.862354892205639,0.961857379767828,24.3117744610282,5.63847429519071,1.82421227197347,1.69154228855721,2.35489220563847,1.7910447761194,758,197,62.9287598944591,22.0316622691293,18.0738786279683,17.8100263852243,18.9973614775726,12.1372031662269,37.0712401055409,29.9472295514512,0,1.58311345646438,22.3880597014925,4.5771144278607,19.1245440333507,9.84887962480459,21.990620114643,6.77436164669099,35.0703491401772,9.79676915059927,23.8144867118291,9.64043772798333,16.7,4.6,1238,89,639,106,599,125,51.6155088852989,8.56219709208401,48.3844911147011,10.0969305331179,445,326,69.6400625978091,51.0172143974961,395,352,65.9432387312187,58.7646076794658,67.8513731825525,54.7657512116317,54.9356223175966,51.3590844062947
41065970300,"Census Tract 9703, Wasco County, OR",2017,61.8,5.6,61.8,5.6,5.9,5.2,79.9,5.2,76.6,5.3,4.2,3.9,4.3,2.9,1565,170,31095,2199,35000,3892,16447,15723,32155,5152,32132,5239,48571,18081,60417,17387,54000,11757,2.8,3.3,6.5,5.2,7.8,5.6,9.5,5.8,18.7,7.3,18.9,5.6,19.6,7.7,13.7,6.3,2.5,3,0,2.8,2871,264,87.2866597004528,9.54371299198885,1.04493207941484,1.25391849529781,0.870776732845698,0.940438871473354,3.03030303030303,2.64716126785092,0,0.417972831765935,12.7133402995472,3.51793800069662,5.39881574364333,3.69209334726576,2.3685127133403,2.1246952281435,678,163,56.9321533923304,23.3038348082596,18.141592920354,14.6017699115044,24.9262536873156,14.6017699115044,43.0678466076696,29.2035398230089,0,1.76991150442478,12.7415891195419,4.04438081603436,8.66062437059416,5.48841893252769,23.3635448136959,5.63947633434038,45.7200402819738,13.3937562940584,22.2557905337362,7.65357502517623,12.5,3.9,1142,79,842,94,300,88,73.7302977232925,8.23117338003503,26.2697022767075,7.70577933450088,621,386,73.7529691211401,45.8432304038005,170,191,56.6666666666667,63.6666666666667,69.2644483362522,50.5253940455342,50.2136752136752,57.6923076923077
41065970400,"Census Tract 9704, Wasco County, OR",2017,47.4,5.5,47.4,5.5,6.1,4.6,71,8.2,67.8,8.5,4.6,4.2,12.8,5.1,1448,168,30914,4977,35488,5746,23869,10948,31116,5391,33750,9831,66975,6338,248750,12315,46833,16560,7.1,4.3,10.2,5.8,8.4,4.4,14.9,6.2,12.9,6.1,20,6.3,15.6,5.2,3.9,3.3,0.9,1.5,6.1,3.4,3358,270,90.5598570577725,6.99821322215605,1.90589636688505,1.45920190589637,0.53603335318642,0.595592614651578,0,0.357355568790947,0,0.357355568790947,21.7689100655152,6.34306134603931,5.39011316259678,6.0750446694461,1.60810005955926,2.08457415128052,810,163,88.2716049382716,28.3950617283951,0,1.48148148148148,11.7283950617284,18.7654320987654,11.7283950617284,20.2469135802469,0,1.48148148148148,25.1689732861281,6.01866752494368,10.5824811027123,6.1805246776345,31.9697643397065,8.67052023121387,39.6176078257003,11.0271231658515,17.8301467318808,7.06980880391285,18.9,4.2,1314,72,687,99,627,113,52.2831050228311,7.53424657534247,47.716894977169,8.59969558599696,515,333,74.9636098981077,48.471615720524,206,255,32.8548644338118,40.6698564593302,54.8706240487062,44.7488584474886,34.5425867507886,42.1135646687697
41065970500,"Census Tract 9705, Wasco County, OR",2017,54.5,6.2,54.5,6.2,5.8,6,69.2,6.2,65.2,6.8,5.9,5.9,24.5,6.3,1674,211,23405,3886,27635,3021,30370,5901,22470,2314,29261,5216,40000,35770,30489,7012,40497,5318,10.6,5.3,7.2,4.5,18,6,9.9,4.6,15.6,4.9,17.5,5.4,8.9,4.9,9.6,4.3,2.7,2.1,0,2.3,3511,284,79.4930219310738,10.4528624323555,0,0.341782967815437,0.313301053830817,0.541156365707776,0.968385075477072,1.19624038735403,3.58872116206209,2.3070350327542,25.320421532327,5.49700939903161,10.7661634861863,6.66476787240103,4.87040729136998,2.53489034463116,855,143,60,18.8304093567251,4.91228070175439,3.39181286549708,35.0877192982456,16.0233918128655,40,19.4152046783626,0,1.40350877192982,15.4941612076332,3.36086585018513,25.6613756613757,10.1410934744268,35.7142857142857,5.20282186948854,27.6014109347443,6.87830687830688,11.0229276895944,5.4673721340388,23.3,4.1,1387,101,818,97,569,117,58.9762076423937,6.99351117519827,41.0237923576063,8.43547224224946,594,335,72.6161369193154,40.9535452322738,255,263,44.8154657293497,46.2214411247803,61.211247296323,43.1146359048306,41.3751507840772,37.6357056694813
41065970600,"Census Tract 9706, Wasco County, OR",2017,51.8,6.2,51.8,6.2,13.7,6.6,75.8,6.4,65.2,7.8,14,7.7,13.6,6.3,1347,175,29323,7386,31582,5662,10450,9526,37371,5770,31056,4154,41065,16247,48958,20638,51721,8759,1.7,1.4,7.5,4.4,7.8,4.2,9.8,3.8,18.7,6.5,25.3,6.8,14.8,6.1,8,3.4,2.8,3.1,3.8,2.9,2690,251,92.1189591078067,9.55390334572491,0,0.446096654275093,0,0.446096654275093,0.520446096654275,0.706319702602231,0,0.446096654275093,26.728624535316,6.95167286245353,6.28252788104089,6.02230483271376,1.07806691449814,1.97026022304833,614,114,71.4983713355049,14.6579804560261,9.28338762214984,14.8208469055375,19.2182410423453,12.214983713355,28.5016286644951,27.0358306188925,0,1.95439739413681,13.1995368583559,4.05248938633732,15.51901336074,9.71223021582734,25.7451181911614,5.80678314491264,38.4378211716341,10.9969167523124,20.2980472764645,7.9136690647482,19.9,4.7,1029,108,681,104,348,85,66.1807580174927,10.1068999028183,33.8192419825073,8.26044703595724,479,295,70.337738619677,43.3186490455213,226,226,64.9425287356322,64.9425287356322,68.5131195335277,50.6316812439262,49.1228070175439,50.6578947368421
41065970700,"Census Tract 9707, Wasco County, OR",2017,68,11,68,11,1.3,1.9,81.2,6.7,80,7.3,1.5,2.1,7.5,6.5,1101,407,30069,8234,32813,4923,17180,8030,31600,3176,33424,11953,71625,31583,52375,10932,60850,7840,2.9,2.5,2,1.8,10.7,4.7,18.8,7.1,7.6,4.2,20.9,7.1,11.2,5.4,17.4,6.5,4.7,3,3.9,2.8,1797,398,88.313856427379,13.132999443517,1.27991096271564,1.44685587089594,0.278241513633834,0.445186421814135,0.333889816360601,0.556483027267668,0,0.667779632721202,26.5998887033946,13.9120756816917,7.73511407902059,14.4129104062326,2.05898720089037,1.94769059543684,278,83,100,29.8561151079137,0,4.31654676258993,0,4.31654676258993,0,8.63309352517986,0,4.31654676258993,13.564875491481,3.47313237221494,19.4404591104735,22.8120516499283,29.7704447632712,6.31276901004304,25.609756097561,7.67575322812052,25.1793400286944,20.5164992826399,19.5,9.4,645,68,525,65,120,54,81.3953488372093,10.077519379845,18.6046511627907,8.37209302325582,386,214,73.5238095238095,40.7619047619048,58,144,48.3333333333333,120,68.8372093023256,55.5038759689923,58.1896551724138,79.7413793103448
41065970800,"Census Tract 9708, Wasco County, OR",2017,49.4,5,49.4,5,8.2,3,73.1,5.3,67.2,5.4,8,3.2,15.2,3.4,2085,228,27645,2988,30532,2178,21375,6347,24792,5075,31792,2312,40179,12238,41875,27331,45391,3546,7,2.1,4.7,1.9,12.8,3.1,9.9,2.7,21.6,3.6,21.3,3.8,7.3,2.5,11.6,3.8,2.7,1.5,1,0.9,4439,296,78.3284523541338,6.48794773597657,0.0675827889164226,0.112637981527371,17.909439062852,2.11759405271458,1.3066005857175,1.59945933768867,0.225275963054742,0.27033115566569,5.65442667267403,2.99617030862807,0.157693174138319,0.157693174138319,2.0049560711872,1.21649020049561,801,128,61.4232209737828,14.1073657927591,14.481897627965,7.24094881398252,22.2222222222222,7.74032459425718,36.7041198501873,14.9812734082397,1.87265917602996,3.1210986267166,17.4179844229408,3.54024073637007,10.2743902439024,4.26829268292683,32.0426829268293,4.42073170731707,42.7743902439024,6.82926829268293,14.9085365853659,5,17.2,2.6,1759,144,1148,114,611,99,65.2643547470154,6.48095508811825,34.7356452529847,5.62819783968164,867,303,75.5226480836237,26.3937282229965,328,251,53.6824877250409,41.0801963993453,67.9363274587834,31.4951677089255,56.5060240963856,32.1686746987952
41065,"Wasco County, OR",2017,54.8,2.1,54.8,2.1,6.5,1.5,74.6,2,70.1,2.3,6,1.5,13.7,1.8,12631,362,29011,1967,31721,967,21015,4766,30259,1918,32133,1859,51652,9146,51792,7809,48510,2079,5.6,1.3,6.2,1.3,11.6,1.8,12,1.8,16.5,2.3,20.4,2,13.1,2,9.4,1.6,3.1,0.9,2.2,0.7,25687,,87.3905088176899,1.75964495659283,0.583952972320629,0.218009109666368,3.9008058551018,0.323120644684081,0.879822478296415,0.350371783392377,0.630669210106279,0.202437030404485,17.3745474364465,,4.33293105461907,1.6428543621287,2.28130961186592,0.529450694904037,5751,66,69.9530516431925,5.87723874108851,8.25943314206225,3.28638497652582,21.5266910102591,4.79916536254565,29.7861241523213,8.08555033907147,0.260824204486176,0.434707007476961,17.4669279764821,1.43720398497469,13.761056992498,2.93360206023961,28.7481804949054,1.89788377561303,37.7225394692644,3.4766543500168,19.7682230433322,3.10715485387974,18.6,1.5,10135,253,6497,287,3638,255,64.1045880611742,2.8317710902812,35.8954119388259,2.51603354711396,4765,1009,73.3415422502694,15.5302447283362,1811,716,49.78009895547,19.6811434854316,64.8840651208683,17.0202269363592,46.119003500103,16.3269507926704
41027950100,"Census Tract 9501, Hood River County, OR",2017,61.7,5.1,61.7,5.1,4.3,2.7,80.7,4.3,77.3,4.7,4.2,2.9,10.2,5.4,2261,299,26492,3271,28566,4490,26250,7920,21495,4747,26231,4610,41750,6559,76806,58396,54940,9991,4.4,2.7,2.3,1.9,7,3.1,9.2,4.9,19.6,6.8,19.1,5.9,18.5,7.3,12.1,4.7,5.6,3.7,2.1,1.9,4191,564,88.8809353376283,12.1212121212121,0,0.286327845382963,0.429491768074445,0.453352421856359,3.19732760677643,2.40992603197328,0,0.286327845382963,24.7434979718444,8.06490097828681,5.51181102362205,6.25149129086137,1.98043426389883,1.78954903364352,887,305,87.7113866967306,35.2874859075536,7.10259301014656,6.76437429537768,5.18602029312289,5.74971815107103,12.2886133032695,12.5140924464487,0,1.35287485907554,12.2497365648051,3.79346680716544,18.2972880192242,9.02849296258153,22.4510813594233,4.73738414006179,35.3244078269825,9.81805698592516,23.9272227943701,7.48369378647443,13.7,3.5,1406,155,978,133,428,122,69.5590327169275,9.45945945945946,30.4409672830725,8.67709815078236,744,380,76.0736196319019,38.8548057259714,187,225,43.6915887850467,52.5700934579439,66.2162162162162,43.0298719772404,38.9380530973451,38.2300884955752
41027950200,"Census Tract 9502, Hood River County, OR",2017,62.1,4.4,62.1,4.4,6.3,3.3,84.4,4.8,79.7,4.8,5.6,2.9,9.3,5,3819,376,34059,6173,38396,4863,19750,9038,39068,11836,32800,7286,47167,6986,55987,16611,70522,9861,2.1,1.9,6.8,4.9,7.2,4.9,9.4,4.6,9.2,3.6,19.4,5.7,20.8,7,11.7,4.6,6.7,3.6,6.7,3.1,6862,478,89.0848149227631,7.95686388807928,0,0.247741183328476,0.422617312736811,0.539201399009035,3.20606237248616,1.73418828329933,0,0.247741183328476,19.1489361702128,4.91110463421743,6.10609151850772,4.10958904109589,1.18041387350627,0.961818711745847,1537,324,62.9798308392973,18.2823682498373,7.41704619388419,6.50618087182824,25.7644762524398,17.04619388419,33.181522446324,23.5523747560182,3.83864671437866,5.9206245933637,22.372528616025,5.26237550170953,13.4623301770276,6.60765747221079,20.152326060107,6.66941128036229,30.1564429806505,7.10168793742281,36.2289007822149,9.28365582544257,6.5,2.2,2801,180,2067,183,734,210,73.7950731881471,6.53338093538022,26.2049268118529,7.49732238486255,1625,825,78.6163522012579,39.9129172714078,210,341,28.6103542234332,46.4577656675749,65.5123170296323,41.6279900035702,46.0048426150121,56.5375302663438
41027950300,"Census Tract 9503, Hood River County, OR",2017,63.7,5,63.7,5,0.4,1,80.2,5.1,79.9,5.2,0.4,1,21.5,9.9,3052,360,31118,7314,35359,5944,,,32663,20983,28158,8113,51071,14160,52112,6162,48462,7676,5.6,4.4,3.8,2.6,13.5,6.4,10.9,4.1,18.8,7.1,17.5,6,7.4,3.7,14.5,5.3,2.9,2.1,5,2.7,5841,413,91.8164697825715,7.85824345146379,0.239684985447697,0.410888546481767,0.136962848827256,0.342407122068139,0.667693888032871,0.599212463619243,0,0.291046053757918,31.9637048450608,10.85430576956,2.55093305940764,3.61239513781887,4.58825543571306,2.77349768875193,1594,449,58.7202007528231,14.2409033877039,5.77164366373902,5.70890840652447,35.5081555834379,29.9874529485571,41.2797992471769,35.6963613550816,0,1.06649937264743,22.5666782126775,5.43817111188085,19.4025834230355,10.2529601722282,22.2012917115178,5.92034445640474,20.1291711517761,6.48546824542519,38.2669537136706,10.2798708288482,11.1,3.4,2442,229,1077,189,1365,227,44.1031941031941,7.73955773955774,55.8968058968059,9.2956592956593,804,473,74.6518105849582,43.9182915506035,782,764,57.2893772893773,55.970695970696,64.946764946765,50.6552006552007,44.195688225539,52.9021558872305
41027950400,"Census Tract 9504, Hood River County, OR",2017,63.4,4.4,63.4,4.4,8.5,4.2,81.3,4.6,74.7,5.4,8.2,4.7,7.6,3.7,3458,361,22977,2305,24442,2958,21312,3686,28825,6102,23944,3128,39167,23762,,,58114,7982,0.6,0.9,2.1,1.8,6.1,3.1,14.3,6.3,16.8,5.4,23.8,5.7,10.1,4,15.9,5.3,6.5,3.3,3.7,2.3,6044,529,80.2117802779616,9.44738583719391,0.215089344804765,0.314361350099272,1.72071475843812,1.34017207147584,0.595632031767042,0.479814692256784,0.115817339510258,0.181998676373263,48.2792852415619,10.6221045665122,13.3355393778954,6.81667769688948,3.80542686962277,2.66379880873594,1484,388,83.9622641509434,24.6630727762803,13.544474393531,10.5121293800539,2.49326145552561,2.69541778975741,16.0377358490566,13.2075471698113,0,1.1455525606469,11.2176073837416,3.51437699680511,31.3136456211813,10.2851323828921,25.8146639511202,5.42260692464359,22.9378818737271,7.05193482688391,19.9338085539715,6.89918533604888,9.9,2.7,1894,180,1329,146,565,157,70.168954593453,7.70855332629356,29.831045406547,8.28933474128828,969,499,72.9119638826185,37.5470278404816,190,278,33.6283185840708,49.2035398230089,61.1932418162619,41.0242872228089,56.0747663551402,65.2336448598131
41027,"Hood River County, OR",2017,62.8,2.3,62.8,2.3,5.1,1.6,81.8,2.6,78,2.9,4.7,1.6,12.1,3.3,12590,395,27355,2736,31626,1654,21896,3858,30750,6542,27470,5422,45653,5699,54785,9032,57269,3838,3.1,1.4,4.2,1.9,8.7,2.5,10.9,2.5,15.3,3,19.8,3.2,14.2,3.1,13.5,2.5,5.4,1.4,4.8,1.4,22938,,87.4051791786555,2.42392536402476,0.117708605806958,0.14386607376406,0.693172900863196,0.440317377277879,1.87025895893278,0.462115267242131,0.030517045949952,0.0479553579213532,31.1099485569797,,6.99712267852472,2.34545296015346,2.88604063126689,0.841398552620106,5502,179,71.3922210105416,9.26935659760087,8.54234823700473,3.76226826608506,18.9930934205743,9.99636495819702,27.5354416575791,13.7586332242821,1.07233733187932,1.65394402035623,17.8058456066755,2.325475354521,20.3567953292248,3.95718456049303,22.5235160557898,2.70515731430425,26.8764190723321,3.51605578981512,30.2432695426533,4.50859552384042,9.9,1.1,8543,337,5451,267,3092,351,63.8066253072691,3.12536579655859,36.1933746927309,4.10862694603769,4142,1171,75.9860576041093,21.4822968262704,1369,971,44.2755498059509,31.4036222509703,64.5089546997542,25.0731593117172,45.7535121328225,30.9386973180077
41055950100,"Census Tract 9501, Sherman County, OR",2017,53.1,3.7,53.1,3.7,4.9,2.9,76.8,4.3,72.9,4.6,5.1,3,13.7,3,875,80,26926,3658,30143,4137,,,27396,7260,28571,4609,50341,16902,,,42074,7268,8.7,3.1,6.3,2.1,14.5,4.2,12.7,3.7,14.2,3,16.7,3.9,12.2,3,6.8,2.4,1.7,1.1,6.2,2.6,1635,129,96.1467889908257,7.217125382263,0.795107033639144,0.55045871559633,0.795107033639144,0.489296636085627,0.122324159021407,0.18348623853211,0,0.73394495412844,4.46483180428135,3.05810397553517,0,0.73394495412844,2.14067278287462,1.59021406727829,242,56,70.6611570247934,18.5950413223141,10.7438016528926,6.61157024793388,17.7685950413223,10.7438016528926,28.5123966942149,17.3553719008264,0.826446280991736,1.2396694214876,24.3526510480888,4.31565967940814,7.1264367816092,2.52873563218391,35.7854406130268,5.44061302681992,39.4636015325671,8.50574712643678,17.6245210727969,5.05747126436782,19.2,3.2,779,65,497,57,282,53,63.7997432605905,7.31707317073171,36.2002567394095,6.80359435173299,394,169,79.2756539235413,34.0040241448692,127,102,45.0354609929078,36.1702127659575,66.8806161745828,34.788189987163,50.2403846153846,31.7307692307692
41055,"Sherman County, OR",2017,53.1,3.7,53.1,3.7,4.9,2.9,76.8,4.3,72.9,4.6,5.1,3,13.7,3,875,80,26926,3658,30143,4137,,,27396,7260,28571,4609,50341,16902,,,42074,7268,8.7,3.1,6.3,2.1,14.5,4.2,12.7,3.7,14.2,3,16.7,3.9,12.2,3,6.8,2.4,1.7,1.1,6.2,2.6,1635,129,96.1467889908257,7.217125382263,0.795107033639144,0.55045871559633,0.795107033639144,0.489296636085627,0.122324159021407,0.18348623853211,0,0.73394495412844,4.46483180428135,3.05810397553517,0,0.73394495412844,2.14067278287462,1.59021406727829,242,56,70.6611570247934,18.5950413223141,10.7438016528926,6.61157024793388,17.7685950413223,10.7438016528926,28.5123966942149,17.3553719008264,0.826446280991736,1.2396694214876,24.3526510480888,4.31565967940814,7.1264367816092,2.52873563218391,35.7854406130268,5.44061302681992,39.4636015325671,8.50574712643678,17.6245210727969,5.05747126436782,19.2,3.2,779,65,497,57,282,53,63.7997432605905,7.31707317073171,36.2002567394095,6.80359435173299,394,169,79.2756539235413,34.0040241448692,127,102,45.0354609929078,36.1702127659575,66.8806161745828,34.788189987163,50.2403846153846,31.7307692307692
