FIPS,State,"County, State",Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child food insecurity rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
41001,OR,"Baker County, Oregon",0.168,2700,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.836,,0.164,0.304,970,0.86,0.14,2.93,1397000,2014
41003,OR,"Benton County, Oregon",0.161,13880,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.718,,0.282,0.208,3070,0.61,0.39,3.1,7595000,2014
41005,OR,"Clackamas County, Oregon",0.125,48240,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.606,,0.394,0.208,18310,0.56,0.44,3.11,26484000,2014
41007,OR,"Clatsop County, Oregon",0.15,5570,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.777,,0.223,0.254,1880,0.73,0.27,2.88,2833000,2014
41009,OR,"Columbia County, Oregon",0.145,7150,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.698,,0.302,0.254,2880,0.68,0.33,3.27,4127000,2014
41011,OR,"Coos County, Oregon",0.17,10650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.785,,0.215,0.274,3210,0.7,0.3,3.06,5746000,2014
41013,OR,"Crook County, Oregon",0.174,3630,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.896,,0.104,0.305,1290,0.88,0.12,5.61,3598000,2014
41015,OR,"Curry County, Oregon",0.17,3800,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.801,,0.199,0.263,920,0.76,0.24,3.3,2217000,2014
41017,OR,"Deschutes County, Oregon",0.152,24730,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.74,,0.26,0.251,9100,0.7,0.3,3.11,13585000,2014
41019,OR,"Douglas County, Oregon",0.17,18260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.804,,0.196,0.299,6360,0.77,0.23,2.82,9087000,2014
41021,OR,"Gilliam County, Oregon",0.144,280,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.724,,0.276,0.207,80,0.75,0.25,3.16,156000,2014
41023,OR,"Grant County, Oregon",0.169,1240,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.774,,0.226,0.28,380,0.79,0.21,2.85,623000,2014
41025,OR,"Harney County, Oregon",0.179,1300,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.876,,0.124,0.316,490,0.82,0.18,2.94,675000,2014
41027,OR,"Hood River County, Oregon",0.104,2350,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.773,,0.227,0.216,1240,0.61,0.39,3.44,1426000,2014
41029,OR,"Jackson County, Oregon",0.16,32990,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.804,,0.196,0.268,11810,0.74,0.26,2.9,16904000,2014
41031,OR,"Jefferson County, Oregon",0.149,3260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.857,,0.143,0.283,1530,0.86,0.14,3.29,1893000,2014
41033,OR,"Josephine County, Oregon",0.173,14360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.878,,0.122,0.294,4870,0.82,0.18,3.15,7982000,2014
41035,OR,"Klamath County, Oregon",0.165,10890,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.818,,0.182,0.268,3860,0.71,0.29,3.14,6044000,2014
41037,OR,"Lake County, Oregon",0.173,1360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.876,,0.124,0.268,390,0.75,0.25,2.95,707000,2014
41039,OR,"Lane County, Oregon",0.165,58660,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.794,,0.206,0.253,17420,0.69,0.31,2.94,30409000,2014
41041,OR,"Lincoln County, Oregon",0.157,7250,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.8,,0.2,0.271,2160,0.77,0.23,3.41,4359000,2014
41043,OR,"Linn County, Oregon",0.162,19110,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.805,,0.195,0.286,7990,0.74,0.26,2.84,9586000,2014
41045,OR,"Malheur County, Oregon",0.149,4580,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.862,,0.138,0.272,2080,0.75,0.25,2.67,2160000,2014
41047,OR,"Marion County, Oregon",0.137,44050,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.851,,0.149,0.249,20690,0.75,0.25,2.8,21777000,2014
41049,OR,"Morrow County, Oregon",0.11,1230,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.933,,0.067,0.237,750,0.74,0.26,2.84,617000,2014
41051,OR,"Multnomah County, Oregon",0.161,121970,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.732,,0.268,0.236,35890,0.66,0.34,3.15,67869000,2014
41053,OR,"Polk County, Oregon",0.142,10860,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.769,,0.231,0.235,4280,0.71,0.29,3.01,5773000,2014
41055,OR,"Sherman County, Oregon",0.163,290,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.738,,0.262,0.269,90,0.54,0.46,3.36,172000,2014
41057,OR,"Tillamook County, Oregon",0.144,3650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.792,,0.208,0.254,1230,0.75,0.25,3.26,2098000,2014
41059,OR,"Umatilla County, Oregon",0.134,10250,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.802,,0.198,0.243,4880,0.73,0.27,3.01,5444000,2014
41061,OR,"Union County, Oregon",0.164,4220,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.848,,0.152,0.262,1500,0.82,0.18,3.07,2286000,2014
41063,OR,"Wallowa County, Oregon",0.167,1150,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.658,,0.342,0.272,350,0.63,0.37,2.94,596000,2014
41065,OR,"Wasco County, Oregon",0.139,3520,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.841,,0.159,0.221,1260,0.79,0.21,3.23,2005000,2014
41067,OR,"Washington County, Oregon",0.123,67440,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.662,,0.338,0.202,27510,0.59,0.41,2.97,35307000,2014
41069,OR,"Wheeler County, Oregon",0.153,210,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.738,,0.262,0.269,60,0.69,0.31,2.93,109000,2014
41071,OR,"Yamhill County, Oregon",0.133,13400,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.755,,0.245,0.238,5740,0.7,0.3,3.02,7143000,2014
53001,WA,"Adams County, Washington",0.082,1560,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.209,1380,0.82,0.18,2.87,792000,2014
53003,WA,"Asotin County, Washington",0.146,3200,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.848,,0.152,0.239,1110,0.76,0.24,2.75,1552000,2014
53005,WA,"Benton County, Washington",0.124,22490,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.785,,0.215,0.219,10730,0.72,0.28,2.78,11018000,2014
53007,WA,"Chelan County, Washington",0.112,8270,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.961,,0.039,0.202,3660,0.79,0.21,3.33,4861000,2014
53009,WA,"Clallam County, Washington",0.155,11150,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.74,,0.26,0.255,3280,0.78,0.22,2.93,5769000,2014
53011,WA,"Clark County, Washington",0.141,61890,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.703,,0.297,0.221,24970,0.62,0.38,2.89,31595000,2014
53013,WA,"Columbia County, Washington",0.147,590,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.927,,0.073,0.248,200,1,0,2.84,296000,2014
53015,WA,"Cowlitz County, Washington",0.158,16150,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.82,,0.18,0.26,6220,0.72,0.28,2.92,8312000,2014
53017,WA,"Douglas County, Washington",0.106,4140,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.221,2320,0.85,0.15,2.81,2057000,2014
53019,WA,"Ferry County, Washington",0.189,1450,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.903,,0.097,0.296,430,0.82,0.19,2.98,764000,2014
53021,WA,"Franklin County, Washington",0.092,7790,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.216,6150,0.78,0.22,2.7,3719000,2014
53023,WA,"Garfield County, Washington",0.133,300,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.868,,0.132,0.244,110,0.92,0.08,2.87,152000,2014
53025,WA,"Grant County, Washington",0.116,10570,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.219,6100,0.82,0.18,3.06,5708000,2014
53027,WA,"Grays Harbor County, Washington",0.167,11980,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.8,,0.2,0.276,4180,0.72,0.28,3.25,6883000,2014
53029,WA,"Island County, Washington",0.135,10630,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.611,,0.389,0.22,3440,0.59,0.41,3.38,6342000,2014
53031,WA,"Jefferson County, Washington",0.146,4390,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.696,,0.304,0.241,1020,0.63,0.37,3.85,2988000,2014
53033,WA,"King County, Washington",0.133,268160,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.608,,0.392,0.18,76390,0.53,0.47,3.31,156742000,2014
53035,WA,"Kitsap County, Washington",0.134,34040,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.601,,0.399,0.21,11520,0.56,0.44,3.05,18350000,2014
53037,WA,"Kittitas County, Washington",0.168,7010,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.775,,0.225,0.228,1720,0.67,0.34,3.58,4435000,2014
53039,WA,"Klickitat County, Washington",0.143,2960,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.86,,0.14,0.263,1170,0.74,0.26,4.08,2135000,2014
53041,WA,"Lewis County, Washington",0.158,11930,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.846,,0.154,0.257,4350,0.84,0.17,3.09,6515000,2014
53043,WA,"Lincoln County, Washington",0.132,1370,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.731,,0.269,0.222,510,0.66,0.34,2.89,7e+05,2014
53045,WA,"Mason County, Washington",0.144,8770,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.789,,0.211,0.256,3080,0.76,0.24,3.1,4805000,2014
53047,WA,"Okanogan County, Washington",0.143,5900,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.251,2430,0.82,0.18,2.88,2998000,2014
53049,WA,"Pacific County, Washington",0.159,3290,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.861,,0.139,0.275,1000,0.81,0.2,4,2322000,2014
53051,WA,"Pend Oreille County, Washington",0.174,2260,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.867,,0.133,0.298,810,0.79,0.21,2.87,1145000,2014
53053,WA,"Pierce County, Washington",0.151,122700,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.683,,0.317,0.22,43510,0.63,0.37,3.01,65206000,2014
53055,WA,"San Juan County, Washington",0.124,1970,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.692,,0.308,0.22,520,0.64,0.36,2.95,1024000,2014
53057,WA,"Skagit County, Washington",0.129,15270,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.828,,0.172,0.227,6180,0.75,0.25,2.9,7808000,2014
53059,WA,"Skamania County, Washington",0.147,1640,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.73,,0.27,0.227,540,0.66,0.34,2.97,860000,2014
53061,WA,"Snohomish County, Washington",0.12,88400,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.624,,0.376,0.191,33280,0.54,0.46,3.12,48682000,2014
53063,WA,"Spokane County, Washington",0.156,74410,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.74,,0.26,0.235,25510,0.67,0.33,2.88,37789000,2014
53065,WA,"Stevens County, Washington",0.161,7010,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.84,,0.16,0.276,2770,0.84,0.16,3,3713000,2014
53067,WA,"Thurston County, Washington",0.139,35950,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.644,,0.356,0.215,12510,0.58,0.42,2.99,18989000,2014
53069,WA,"Wahkiakum County, Washington",0.166,670,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.727,,0.273,0.31,210,0.69,0.31,2.94,348000,2014
53071,WA,"Walla Walla County, Washington",0.13,7760,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.806,,0.194,0.219,2880,0.71,0.29,3.24,4443000,2014
53073,WA,"Whatcom County, Washington",0.147,30190,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.75,,0.25,0.219,9210,0.64,0.37,2.87,15270000,2014
53075,WA,"Whitman County, Washington",0.2,9210,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.759,,0.241,0.229,1580,0.62,0.38,3.41,5538000,2014
53077,WA,"Yakima County, Washington",0.115,28450,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.237,17570,0.83,0.17,2.84,14264000,2014
41001,OR,"Baker County, Oregon",0.155,2480,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.871,,0.129,0.258,820,0.92,0.09,3.06,1359000,2015
41003,OR,"Benton County, Oregon",0.16,13810,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.746,,0.254,0.199,2930,0.62,0.38,3.17,7855000,2015
41005,OR,"Clackamas County, Oregon",0.118,46070,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.627,,0.373,0.194,17010,0.54,0.46,3.18,26311000,2015
41007,OR,"Clatsop County, Oregon",0.146,5460,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.821,,0.179,0.234,1730,0.74,0.26,2.98,2916000,2015
41009,OR,"Columbia County, Oregon",0.141,6980,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.738,,0.262,0.237,2660,0.67,0.33,3.29,4112000,2015
41011,OR,"Coos County, Oregon",0.164,10310,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.87,,0.13,0.259,3020,0.78,0.22,3.16,5833000,2015
41013,OR,"Crook County, Oregon",0.164,3430,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.945,,0.055,0.274,1140,0.9,0.1,5.61,3453000,2015
41015,OR,"Curry County, Oregon",0.162,3630,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.823,,0.177,0.245,850,0.72,0.29,3.2,2082000,2015
41017,OR,"Deschutes County, Oregon",0.141,23460,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.757,,0.243,0.226,8240,0.66,0.34,3.24,13631000,2015
41019,OR,"Douglas County, Oregon",0.164,17590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.832,,0.168,0.277,5840,0.75,0.25,2.9,9154000,2015
41021,OR,"Gilliam County, Oregon",0.138,260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.884,,0.116,0.189,80,0.85,0.15,3.28,153000,2015
41023,OR,"Grant County, Oregon",0.161,1170,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.845,,0.155,0.251,340,0.8,0.2,2.94,617000,2015
41025,OR,"Harney County, Oregon",0.159,1150,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.946,,0.054,0.268,410,0.91,0.09,3.02,623000,2015
41027,OR,"Hood River County, Oregon",0.088,2000,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.852,,0.148,0.198,1120,0.59,0.41,3.68,1320000,2015
41029,OR,"Jackson County, Oregon",0.153,31780,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.861,,0.139,0.251,11090,0.76,0.24,2.98,16990000,2015
41031,OR,"Jefferson County, Oregon",0.137,3030,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.909,,0.091,0.259,1400,0.84,0.17,3.55,1929000,2015
41033,OR,"Josephine County, Oregon",0.165,13800,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.925,,0.075,0.277,4560,0.84,0.16,3.17,7849000,2015
41035,OR,"Klamath County, Oregon",0.157,10360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.871,,0.129,0.252,3610,0.74,0.26,3.11,5777000,2015
41037,OR,"Lake County, Oregon",0.168,1310,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.963,,0.037,0.249,360,0.85,0.15,3.03,712000,2015
41039,OR,"Lane County, Oregon",0.161,57410,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.831,,0.169,0.235,16150,0.72,0.28,3.01,30996000,2015
41041,OR,"Lincoln County, Oregon",0.152,7030,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.834,,0.166,0.25,2000,0.78,0.22,3.49,4399000,2015
41043,OR,"Linn County, Oregon",0.156,18510,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.845,,0.155,0.259,7240,0.75,0.25,2.93,9716000,2015
41045,OR,"Malheur County, Oregon",0.129,3940,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.884,,0.116,0.247,1890,0.73,0.27,2.77,1955000,2015
41047,OR,"Marion County, Oregon",0.122,39540,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.907,,0.093,0.23,19080,0.73,0.27,2.87,20372000,2015
41049,OR,"Morrow County, Oregon",0.087,980,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",1,,0,0.212,670,0.7,0.31,2.91,511000,2015
41051,OR,"Multnomah County, Oregon",0.155,118910,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.759,,0.241,0.219,33520,0.64,0.36,3.25,69209000,2015
41053,OR,"Polk County, Oregon",0.134,10330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.801,,0.199,0.216,3920,0.68,0.32,3.11,5768000,2015
41055,OR,"Sherman County, Oregon",0.165,300,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.791,,0.209,0.264,80,0.66,0.34,3.53,190000,2015
41057,OR,"Tillamook County, Oregon",0.135,3440,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.851,,0.149,0.23,1120,0.71,0.3,3.17,1957000,2015
41059,OR,"Umatilla County, Oregon",0.119,9150,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.866,,0.134,0.23,4610,0.73,0.27,3.12,5118000,2015
41061,OR,"Union County, Oregon",0.16,4130,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.879,,0.121,0.247,1410,0.82,0.18,3.23,2391000,2015
41063,OR,"Wallowa County, Oregon",0.161,1100,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.731,,0.269,0.264,330,0.68,0.32,3,592000,2015
41065,OR,"Wasco County, Oregon",0.128,3260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.888,,0.112,0.215,1240,0.8,0.2,3.34,1952000,2015
