dpid,total_numberof_rooms,numberof_bedrooms,numberof_baths,full_address
290610002338,0,0,100,"101 S FOREST ST, JAMESPORT, MO, 64648"
290610002340,0,0,100,"405 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002341,0,0,100,"301 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002365,0,0,100,"208 CALLISON AVE, JAMESPORT, MO, 64648"
290610002369,0,0,100,"31384 STATE HIGHWAY F, JAMESPORT, MO, 64648"
290610002372,0,0,100,"21591 315TH ST, JAMESPORT, MO, 64648"
290610002393,0,0,100,"105 E 1ST ST, JAMESPORT, MO, 64648"
290610002394,0,0,100,"109 E 1ST ST, JAMESPORT, MO, 64648"
290610002386,0,0,100,"305 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002388,0,0,100,"208 W EDMOND ST, JAMESPORT, MO, 64648"
290610002389,0,0,100,"302 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002410,0,0,100,"300 S WILLIAMS ST, JAMESPORT, MO, 64648"
290610002411,0,0,100,"304 W CHARLES ST, JAMESPORT, MO, 64648"
290610002412,0,0,100,"309 W EDMOND ST, JAMESPORT, MO, 64648"
290610002400,0,0,100,"308 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002401,0,0,100,"309 W CHARLES ST, JAMESPORT, MO, 64648"
290610002432,0,0,100,"409 W EDMOND ST, JAMESPORT, MO, 64648"
290610002434,0,0,100,"200 S ELM ST, JAMESPORT, MO, 64648"
290610002435,0,0,100,"608 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002395,0,0,100,"200 ALLEN LN, JAMESPORT, MO, 64648"
290610002396,0,0,100,"204 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002397,0,0,100,"208 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002444,0,0,100,"809 W EDMOND ST, JAMESPORT, MO, 64648"
290610002446,0,0,100,"705 W EDMOND ST, JAMESPORT, MO, 64648"
290610002447,0,0,100,"308 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002448,0,0,100,"309 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002427,0,0,100,"400 W CHARLES ST, JAMESPORT, MO, 64648"
290610002428,0,0,100,"408 W CHARLES ST, JAMESPORT, MO, 64648"
290610002429,2,0,100,"500 W CHARLES ST, JAMESPORT, MO, 64648"
290610002430,0,0,100,"305 S ELM ST, JAMESPORT, MO, 64648"
290610002431,0,0,100,"309 S ELM ST, JAMESPORT, MO, 64648"
290610002404,0,0,100,"208 W CHARLES ST, JAMESPORT, MO, 64648"
290610002421,0,0,100,"408 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002422,0,0,100,"500 W AUBERRY GRV, JAMESPORT, MO, 64648"
290610002423,0,0,100,"509 W CHARLES ST, JAMESPORT, MO, 64648"
290610002424,0,0,100,"501 W CHARLES ST, JAMESPORT, MO, 64648"
290610002449,0,0,100,"601 W EDMOND ST, JAMESPORT, MO, 64648"
290610002451,0,0,100,"610 W EDMOND ST, JAMESPORT, MO, 64648"
290610002452,0,0,100,"704 W EDMOND ST, JAMESPORT, MO, 64648"
290610002438,0,0,100,"304 S ELM ST, JAMESPORT, MO, 64648"
290610002440,0,0,100,"300 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002441,0,0,100,"708 W CHARLES ST, JAMESPORT, MO, 64648"
290610002442,0,0,100,"801 W EDMOND ST, JAMESPORT, MO, 64648"
290610002416,0,0,100,"300 W EDMOND ST, JAMESPORT, MO, 64648"
290610002417,0,0,100,"308 W EDMOND ST, JAMESPORT, MO, 64648"
290610002418,0,0,100,"401 W CHARLES ST, JAMESPORT, MO, 64648"
290610002419,0,0,100,"406 E AUBERRY GRV, JAMESPORT, MO, 64648"
290610002490,0,0,100,"209 W 2ND ST, JAMESPORT, MO, 64648"
290610002493,0,0,100,"601 ALLEN LN, JAMESPORT, MO, 64648"
290610002508,0,0,100,"106 E 2ND ST, JAMESPORT, MO, 64648"
290610002509,0,0,100,"103 E 2ND ST, JAMESPORT, MO, 64648"
290610002511,0,0,100,"107 E 2ND ST, JAMESPORT, MO, 64648"
290610002512,0,0,100,"402 S GRANT ST, JAMESPORT, MO, 64648"
290610002469,0,0,100,"705 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002471,0,0,100,"704 S FOREST ST, JAMESPORT, MO, 64648"
290610002472,0,0,100,"400 W EDMOND ST, JAMESPORT, MO, 64648"
290610002474,0,0,100,"400 S FOREST ST, JAMESPORT, MO, 64648"
290610002463,0,0,100,"700 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002464,0,0,100,"608 ALLEN LN, JAMESPORT, MO, 64648"
290610002466,0,0,100,"600 S FOREST ST, JAMESPORT, MO, 64648"
290610002467,0,0,100,"604 S FOREST ST, JAMESPORT, MO, 64648"
290610002497,0,0,100,"400 S GRANT ST, JAMESPORT, MO, 64648"
290610002498,0,0,100,"102 E 1ST ST, JAMESPORT, MO, 64648"
290610002499,0,0,100,"403 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002500,0,0,100,"109 W 2ND ST, JAMESPORT, MO, 64648"
290610002501,0,0,100,"106 W 2ND ST, JAMESPORT, MO, 64648"
290610002483,0,0,100,"405 W 2ND ST, JAMESPORT, MO, 64648"
290610002456,0,0,100,"808 W EDMOND ST, JAMESPORT, MO, 64648"
290610002457,0,0,100,"502 S ELM ST, JAMESPORT, MO, 64648"
290610002458,0,0,100,"510 S MORGAN ST, JAMESPORT, MO, 64648"
290610002459,0,0,100,"500 S MYRTLE ST, JAMESPORT, MO, 64648"
290610002477,0,0,100,"411 S ELM ST, JAMESPORT, MO, 64648"
290610002480,0,0,100,"506 S FOREST ST, JAMESPORT, MO, 64648"
290610002481,0,0,100,"508 S COTTONWOOD ST, JAMESPORT, MO, 64648"
290610002502,0,0,100,"500 S BROADWAY ST, JAMESPORT, MO, 64648"
290610002505,0,0,100,"409 S BROADWAY ST, JAMESPORT, MO, 64648"
290610006414,0,0,100,"19098 PEPPER AVE, GALLATIN, MO, 64640"
290610006458,0,0,100,"25028 STATE HIGHWAY 6, GALLATIN, MO, 64640"
