osm_id,name,addr.postcode,alt_name,bicycle,bridge,bridge.name,cycleway,highway,lanes,layer,maxspeed,maxspeed.variable,name_1,name_2,name_3,old_ref,oneway,pc_left,pc_right,postal_code,ref,sidewalk,source,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.name_type_4,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,turn.lanes,wikidata
"5084191",Scott Canyon Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Wasco-Rufus,,,,,,,Rd,,,,,no,,,,,
"5084198",Liberty Lane,,,,,,,tertiary,,,,,Dutch Settlement Road,,,,,,,,,,,,A41,"Sherman, OR",Liberty,Dutch Settlement,,,,,,Ln,Rd,,,,no,,,,,
"5085221",Biggs-Rufus Highway,,,,,,,tertiary,,,,,1st Street,Frontage Road,Old US Highway 30,,,,,,,,,,A41,"Sherman, OR",Biggs-Rufus,1st,Frontage,Old US Hwy 30,,,,Hwy,St,Rd,,,,,,,,
"5085231",Sandon Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Klondike,,,,,,,Rd,,,,,no,,,,,
"5085238",Monkland Lane,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Monkland,,,,,,,Ln,,,,,no,,,,,
"5085239",Hay Canyon Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Hay Canyon,,,,,,,Rd,,,,,,,,,,
"5085249",Clark Street,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A41,"Sherman, OR",Clark,,,,,,,St,,,,,no,,,,,
"5085261",Hilderbrand Lane,,Old Wasco-Heppner Highway,,,,,tertiary,"2",,,,,,,,,,,,,,,asphalt,A41,"Sherman, OR",,,,,,,,,,,,,,,,,,
"5192414",Browns Creek Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192427",West 4th Street,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192526",Dufur Valley Road,,Dufur Market Road,,,,,tertiary,,,,,,,,,,,,,NF 44,,,asphalt,,,,,,,,,,,,,,,,,,,,
"5192529",Fifteenmile Road,,County Highway 18,,,,,tertiary,,,,,,,,,,,,,CR 18,,,,,,,,,,,,,,,,,,,,,,,
"5192537",Monroe Street,,,,,,,tertiary,,,,,,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,
"5192544",,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192555",Fremont Street East,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192585",Discovery Drive,,,designated,,,,tertiary,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5192617",Ward Road,,,,,,,tertiary,,,,,County Highway 165,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192641",Bureau of Indian Affairs Road 3,,,,,,,tertiary,,,,,Wapinitia Road,S-400 Road,,,,,,,,,,,A41,,BIA Road 3,Wapinitia,S-400,,,,,,Rd,Rd,,,,,,,,
"5192677",Sherars Bridge Highway,,Oregon Highway 216,,,,,secondary,,,,,,,,,,,,,OR 216,,,paved,,,,,,,,,,,,,,,,,,,,
"5192680",Ross Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192720",Tygh Valley Road,,Old US Highway 197,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5192781",Five Mile Road,,,,,,,tertiary,"2",,,,County Highway 115,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192825",Jefferson Street,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192881",Celilo-Wasco Highway,,,,,,,secondary,,,,,,,,,,,,,OR 206,,"Yahoo,TIGER",,A31,,Celilo-Wasco,State Highway 206,,,,,,Hwy,,,,,,,,,,
"5192907",Dry Hollow Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192926",Dry Hollow Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192971",Columbia View Drive,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5192983",Fifteenmile Road,,,,,,,tertiary,"2",,,,County Highway 18,,,,,,,,,,,,A41,,Fifteen Mile,County Highway 18,,,,,,Rd,,,,,no,,,,,
"5193027",Bakeoven Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5193053",Kelly Cutoff Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Kelly Cutoff,,,,,,,Rd,,,,,no,,,,,
"5193074",West Scenic Drive,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5193079",Huskey Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Huskey,,,,,,,Rd,,,,,,,,,,
