Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Arkansas,Occupancy,Table Download,Vacancy Status,"Total; For Rent, Rented, not occupied; For sale only, Sold, not occupied; For seasonal, recreational, or occasional use; For migrant workers; Other vacant","County, CDP, City",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Household Size,Table Download,Household Size,"Total, 1-person household, 2-person household, 3-person household, 4-person household, 5-person household, 6-person household , 7-or-more-person household","County, Census designated place City",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Occupancy,Table Download,Occupancy Status,"Total, Occupied, Vacant","State, County, City/Town, Census designated place",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Housing Units,Report,Total Housing Units; Arkansas by County: 2020,"2,444-14,179; 14,180-33,270; 33,271-56,749; 56,750-190,522",County,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Housing Units,Report,Percent Change in Total Housing Units; Arkansas by County: 2010-2020,-19.4% - -12.2%; -12.1% - 0.0%; 0.1% - 7.1%; 7.2% - 21.5%,County,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Annual Estimates of Housing Units for the United States And States: April 1, 2020 to July 1, 2022","Geographic Area, Estimates Base (April 1, 2020), Housing Unit Estimate (as of July 1)- 2020, 2021, 2022","Region, State",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Estimates of Housing Unit Change for the United States, States, and District of Colombia, and State Rankings: July 1, 2020 to July 1, 2022","Housing Unit Estimate, Change (2021 to 2022), State Ranking",State,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Cumulative Estimates of Housing Unit Change for the United States, States, District of Colombia, and State Rankings: April 1, 2020 to July 1, 2022","Estimates Base (April 1, 2020), Estimate (July 1, 2022), Change (2020 to 2022), State Ranking",State,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Annual Estimates of Housing Units for Counties in Arkansas: April 1, 2020 to July 1, 2022","Geographic Area, Estimates Base (April 1, 2020), Housing Unit Estimate (as of July 1)- 2020, 2021, 2022",County,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Housing Unit Estimates for the 100 Fastest-Growing Counties With 5,000 or More Housing Units: July 1, 2020 to July 1, 2022","Housing Unit Estimate- 2021, 2022, Change (2021 to 2022)",County,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Estimates,Table Download,"Housing Unit Estimates for the 100 Fastest-Growing Counties With 5,000 or More Housing Units: April 1, 2020 to July 1, 2022","Estimates Base (April 1, 2020), Estimate (July 1, 2022), Change (2020 to 2022)",County,Decennial Census,,N,N,As released,2020,N,N,N,,
,California,Estimates,Table Download,Selected Housing Characteristics for the State of California by Race and Hispanic Origin,"Tenure, Year Household Moved Into Unit, Vehicles Available, House Heating Fuel, Selected Characteristics, Occupants Per Room, Value, Mortgage Status, SMOC, SMOCAPI, Gross rent, GRAPI; Estimate, MOE, %, % MOE; Total Pop., Hispanic, White, Black, American Indian, Asian, Native Hawaiian, Other, 2+ Races",State,ACS,,N,N,As released,2021,N,N,N,SMOC=selected monthly owner costs; SMOCAPI=selected monthly owner costs as % of household income; GRAPI=gross rent as % of household income,
,California,Estimates,Table Download,2021 American Community (1-year estimates) Survey Selected Housing Characteristics,"Occupancy, Units, Tenure, Mortgage Status, Value, Owner Costs, Renter Costs","State, County, City",ACS,,N,N,As released,2021,Y,N,N,65000+ population,
,California,Estimates,Table Download,2016-2020 American Community Survey (5-year estimates) Selected Housing Characteristics,"Occupancy, Units, Tenure, Mortgage Status, Value, Owner Costs, Renter Costs","State, County, Census designated place, City",ACS,,N,N,As released,2020,Y,N,N,,
,California,Estimates,Table Download,2020 American Community Survey (1-year estimates) Experimental Data Tables- Housing,"Occupancy Status, Housing Tenure, Total Population in Occupied Housing Units by Tenure, Units in Structure, Year Structure Built, Year Household Moved Into Unit, Gross Rent, Mortgage Status, Housing Value, Median Value, Median Gross Rent",State,ACS,,N,N,As released,2020,N,N,N,,
,Colorado,Housing Units,Data Visualization,Housing Dashboard,"Total Housing Units, Occupied Housing Units, Year to Year Difference","Region, County, Municipality",,State Demography Office,N,N,As released,2021,Y,N,N,,
,Colorado,Estimates,Table Download,"Housing Unit and Household Estimates for the State, Counties, and Municipalities ","Total Population, Group Quarters Population, Household Population, Total Housing Units, Occupied Housing Units, Vacant Housing Units, Vacancy Rates","State, County, City, Municipality",,State Demography Office,N,N,As released,2021,N,N,N,,
,Colorado,Housing Units,Table Download,"Municipal Population and Housing Timeseries, 2010 to 2020","Total Population, Household Population,  Group Quarters Population, Household Size, Total Housing Units, Occupied Housing Units, Vacant Housing Units, Vacancy Percent","County, Municipality",,,N,N,As released,2021,Y,N,N,,
,Colorado,Projections,Table Download,"Regional Household Data, 2010 to 2050","Year, Household Type Id, Household Type Description, Age Group Id, Age Group Description, Total Households","State, Region",,,N,N,As released,2020,Y,N,N,,
,Colorado,Projections,Table Download,"County Household Data, 2010 to 2050","Year, Household Type Id, Household Type Description, Age Group Id, Age Group Description, Total Households",County,,,N,N,As released,2020,Y,N,N,,
,Colorado,Housing Units,Table,Population and Housing Time Series,"County, Municipality, Year, Total Population, Household Population,  Group Quarters Population, Household Size, Total Housing Units, Occupied Housing Units, Vacant Housing Units, Vacancy Percent","County, Municipality",,,N,N,As released,2021,Y,N,N,,
,Colorado,Projections,Table,Household Projections - Regions,"Region, Year, Age Group, Household Type, Total Households","State, Region",,,N,N,As released,2020,Y,N,N,,
,Colorado,Projections,Table,Household Projections - County,"County, Year, Age Groups, Household Types, Total Households",County,,,N,N,As released,2020,Y,N,N,,
,Connecticut,Housing Units,Table Download,Cost-burdened Households by County,"Location, Householder Status, Cost-burderend Households, MOE","State, County",ACS,,N,N,As released,2019,Y,N,N,,
