"id","gender","degree_highest","date_enter_job_market"
15480193,"male","bachelor",1996-08-01
15434266,"female",NA,2002-01-01
15759757,"male",NA,1986-07-01
15723977,"female","master",1992-01-01
19357529,"male","certificate",2007-09-01
19340858,"male","others",2008-01-01
19343776,"female","bachelor",1999-02-01
19338977,"male",NA,2000-01-01
16235299,"male","others",2000-06-01
5239031,"male","others",2002-01-01
688778,"male",NA,2008-08-01
689126,"male",NA,1992-01-01
717361,"male",NA,2005-01-01
706276,"male",NA,1998-08-01
715754,"male",NA,2002-01-01
711975,"male","bachelor",2004-01-01
16286419,"male","bachelor",2000-09-01
15776447,"male",NA,1997-01-01
19338516,"male","master",2004-01-01
16310693,"male","master",1996-11-01
15767864,"female","bachelor",NA
16312766,"male","master",1992-01-01
16248614,"female",NA,2004-02-01
16255483,"male","bachelor",2005-06-01
16314304,"male",NA,1998-09-01
16211043,"male",NA,1989-01-01
16272418,"male",NA,1993-01-01
19325380,"female",NA,2001-07-01
19377675,"male","master",2007-07-01
19339803,"female",NA,2011-11-01
17010417,NA,NA,2003-12-01
19368019,"male",NA,2002-01-01
20535745,"male","master",1996-06-01
5919825,"male","master",1999-01-01
5260486,NA,"doctor",1996-01-01
719216,"male","highschool",2004-05-01
720305,"male",NA,2001-01-01
15850542,"male",NA,1983-01-01
16277490,NA,NA,2009-08-01
17002905,"female","master",2008-06-01
17015439,"male","highschool",1996-07-01
17068912,"male","master",1989-01-01
17577280,"male","bachelor",2004-07-01
19326020,"male",NA,2005-01-01
17041838,"male",NA,1994-01-01
15797047,"male",NA,2005-02-01
19371521,"male","master",2006-03-01
16275730,"male",NA,2004-01-01
19334032,"male",NA,1999-04-01
15822500,NA,NA,2007-04-01
16298388,NA,"bachelor",1988-01-01
19310550,NA,"master",1986-05-01
19333765,"male",NA,2005-06-01
13867783,"male",NA,1985-01-01
13845324,NA,NA,1983-01-01
16313694,"male","bachelor",1996-01-01
13576606,NA,NA,1983-01-01
13885063,NA,"others",1994-02-01
8156016,"female","master",1986-03-01
13874708,"male",NA,1982-01-01
16230919,"male",NA,1995-01-01
17038953,"male","others",2000-01-01
13606906,"male","others",1980-01-01
13903309,"male",NA,1987-08-01
13871779,NA,"bachelor",1995-01-01
16246075,"male","master",2011-06-01
13887516,"male","master",1983-01-01
16243342,"male","master",1996-01-01
16684220,"male",NA,1974-01-01
6310008,"male","master",1990-02-01
6330819,"male",NA,1993-12-01
6338456,"male","associate",2007-01-01
6294603,NA,"bachelor",2001-04-01
6300356,NA,NA,1995-03-01
6322318,"male",NA,1979-01-01
6350951,"male",NA,2000-06-01
6305431,"male",NA,1980-01-01
6296354,NA,"master",1994-06-01
6296361,"female","bachelor",1996-01-01
6323003,NA,"master",2000-11-01
6291855,NA,"bachelor",1997-01-01
6289241,"male",NA,1992-01-01
6296390,NA,"bachelor",2009-06-01
6332948,"male","master",1994-01-01
6305414,"male",NA,2008-06-01
6314782,"male","bachelor",1978-01-01
6333146,"male","master",1993-01-01
16277665,"female","associate",1969-08-01
6311600,"female",NA,1992-01-01
7561269,"female","master",1993-09-01
16732854,"female","master",1983-01-01
6318204,NA,NA,2001-01-01
6353976,"male",NA,1981-01-01
1604553,"male",NA,1999-01-01
1559009,NA,NA,1990-01-01
16705688,"male",NA,2002-01-01
16745553,NA,NA,1979-01-01
13919350,"female",NA,1996-11-01
16296408,"male","master",2000-06-01
16315628,"female","master",2010-01-01
16689855,"male",NA,2004-01-01
16761282,"male","master",2004-01-01
14018062,"male","certificate",1988-01-01
16327916,"female",NA,2014-05-01
16385932,"female",NA,2006-08-01
16788133,"male","others",1997-01-01
14000783,"male",NA,1984-01-01
6348185,"male","master",1997-01-01
16711083,"male","others",2006-01-01
16340591,"male","highschool",1977-01-01
16348709,"male","bachelor",2004-05-01
16378955,NA,"others",2011-09-01
16361099,"male","master",1987-03-01
16751838,"male","others",1976-01-01
16350561,NA,"master",1988-01-01
16394719,"male","master",2007-01-01
14022594,NA,"master",NA
16314720,"male","master",1990-01-01
16406156,"male","bachelor",1979-09-01
16344010,"female","associate",1969-08-01
16373936,"female","master",1999-05-01
10365539,"male",NA,1996-08-01
13797959,"male",NA,1994-06-01
17564571,"male",NA,1987-01-01
5247464,"female",NA,2000-12-01
5254803,"male",NA,1982-05-01
7593023,"female","master",1980-02-01
7585922,"male",NA,2002-01-01
7608132,"male",NA,2001-01-01
20529269,"male",NA,1991-06-01
7565246,"male",NA,2001-01-01
7600893,"male",NA,2005-10-01
13782684,"male",NA,1982-01-01
17593105,"female","master",2005-09-01
10437035,"male",NA,1990-07-01
16391711,"male","bachelor",1992-01-01
10434661,"male","master",1966-01-01
17582098,"male","master",2008-03-01
16431965,"female","master",NA
16413560,NA,NA,2006-06-01
20543602,"male",NA,1982-11-01
17553592,"female","others",1986-09-01
8940233,"female","bachelor",1994-01-01
15835786,"male","master",2006-07-01
20580148,"female","master",1977-01-01
8947133,"male","master",1972-01-01
12241280,"male","others",1971-01-01
20556122,"male","highschool",1982-01-01
8954920,"male","bachelor",1970-01-06
16705253,NA,NA,1983-01-01
17611582,"male",NA,2005-01-01
13683997,NA,NA,1990-01-01
13674221,NA,NA,1989-01-01
16415007,"male",NA,2009-01-01
19341163,"male","master",1986-09-01
20554328,"male","bachelor",1986-01-01
17608199,"male","bachelor",1991-01-01
17591702,"male","master",1988-12-01
5975582,"male","bachelor",NA
6912955,"female",NA,1995-11-01
5926921,NA,NA,1996-11-01
6893646,"female","bachelor",1992-11-01
2779326,"male","doctor",1986-05-01
2367449,"male","others",1973-01-01
2326369,"male","master",1995-01-01
2420320,NA,NA,2002-01-01
7725898,NA,"master",2000-06-01
8352991,"male",NA,1986-01-01
6923874,"male","bachelor",2004-01-01
7757998,"male","certificate",2000-01-01
7755691,"female","master",1986-01-01
15856231,"male","master",1997-06-01
15881924,"male","master",1972-01-01
15869410,"male",NA,1992-09-01
17593515,"female","bachelor",2001-01-01
15822589,"male","bachelor",2010-01-01
16446930,"male",NA,1987-07-01
15895975,"male",NA,1985-11-01
15811236,"male",NA,2002-07-01
15806836,"male",NA,1982-01-01
15884217,"male","bachelor",1987-11-01
15800186,"male","master",1991-07-01
16450661,"female","bachelor",1991-02-01
15837645,"male",NA,2006-02-01
15843504,"male","master",1984-05-01
1695972,"male",NA,2003-07-01
16806882,"male","master",1999-12-01
16787839,NA,"master",2000-01-01
12542016,NA,NA,1982-01-01
16861042,"male","master",1999-10-01
16872231,NA,"master",1998-01-01
16905445,"female",NA,1996-09-01
16835672,"male","bachelor",1979-01-01
16795311,"male",NA,1992-05-01
16833701,"female","master",1995-05-01
16837211,"male","master",1987-11-03
2231772,"male","doctor",1998-04-01
12470952,"male",NA,1980-01-01
12471033,"male","master",1980-01-01
16010749,"male","master",1989-01-01
12563453,"female","master",1994-10-01
12559384,"female","bachelor",1992-01-01
15902253,"male",NA,1986-05-01
12473622,"male","bachelor",1976-01-01
15898862,"male","master",2002-06-01
15982551,"male","master",1990-08-01
16008157,"female",NA,2002-01-01
12542996,"male","master",1982-11-01
12561932,"male","highschool",1995-01-01
12582034,"male",NA,1986-01-01
12558080,NA,NA,1990-12-01
16855409,"female",NA,NA
16851386,"male","master",1989-10-01
12584589,"male",NA,1971-01-01
16806783,"female","master",2008-12-01
9983543,NA,"master",NA
20674401,"female",NA,1990-12-01
9972195,"male",NA,1985-09-01
10474146,"male",NA,1999-11-01
10466764,"male","doctor",1996-02-01
7667761,"male","master",1999-01-01
7666038,"male",NA,1977-01-01
17953640,"male","master",2001-12-01
9979045,NA,"bachelor",2000-01-01
10479895,"female",NA,1981-01-01
10579595,NA,NA,NA
10516823,"male",NA,1965-01-01
10570633,NA,NA,1981-02-01
10483015,"male","bachelor",1993-10-01
20612863,"male","others",1989-12-01
20604596,"female",NA,2000-09-01
20668200,"female","doctor",2003-06-01
20602135,"male",NA,1977-01-01
8538414,"male","highschool",1983-08-01
17059800,"female",NA,2008-08-01
5915252,"male","doctor",2001-01-01
6358870,"male",NA,1984-01-01
7692714,"male","highschool",1993-06-01
8536223,"male",NA,1995-07-01
8547204,"male","master",1986-02-01
15576034,"female",NA,2007-05-01
17031348,"male","bachelor",1980-05-01
20744080,"male","bachelor",1969-09-01
12568885,"male",NA,1981-01-01
8553237,"male","master",1976-05-01
12581212,"male",NA,1984-10-01
8538514,"male","master",1977-02-01
12489262,"male","bachelor",1984-01-01
12587483,"male",NA,NA
16141515,"male","bachelor",2007-06-01
17028147,"female","bachelor",2004-03-01
17040604,"male","bachelor",1994-01-01
16102391,"male","master",1994-01-01
16096462,"male",NA,1975-01-01
16128296,"male","master",2006-01-01
17957725,"male",NA,1999-11-01
17991792,"male","bachelor",1988-01-01
6371178,"male",NA,1979-01-01
6375723,"male",NA,1988-01-01
6393680,NA,"master",1988-01-01
6378909,"female","bachelor",2003-01-01
6394492,NA,"master",NA
6369817,"male",NA,2001-01-01
5920257,NA,"master",1993-01-01
6367969,NA,NA,1990-01-01
6379353,"male",NA,1991-09-01
12550226,"male",NA,1993-04-01
17968519,"male","bachelor",1986-05-01
17090349,"female","associate",2002-09-01
17066495,"male",NA,2007-01-01
17042747,"male","master",2006-07-01
12556239,"male","master",1989-05-01
17968796,"male",NA,2004-05-01
17045043,"male",NA,1994-01-01
17023296,"male",NA,1988-09-01
6359360,"female","master",2002-08-01
6388403,"female","bachelor",1998-07-01
6363435,"male","master",1989-01-01
6406069,"male","bachelor",1976-01-01
6403969,"male",NA,1984-01-01
6361404,"male",NA,1974-09-01
6404868,"male",NA,1990-11-01
7142137,"male",NA,1979-12-01
17325015,"male","master",1985-08-01
17985363,"male","bachelor",2005-08-01
12542907,"male",NA,1979-01-01
17045745,"male","bachelor",1993-09-01
17319976,"male","bachelor",1996-01-01
17045780,"male",NA,2009-06-01
12542777,"male",NA,1974-06-01
17963808,"male","others",1989-01-01
17993200,"male",NA,1989-02-01
18012052,"male","bachelor",1999-06-01
17973430,"male","master",1976-03-01
17094407,"male","associate",1979-08-01
17992251,"male","others",1991-01-01
17970196,"male","bachelor",2002-10-01
17306573,"male","master",1998-06-01
17139781,"male",NA,1982-01-01
20845343,"male",NA,1984-01-01
18006128,"male","master",2006-11-01
18017850,"male","others",2001-01-01
6372333,NA,"master",1979-01-01
2228466,"male",NA,1991-06-01
2230182,"male","bachelor",2000-01-01
2296539,"male",NA,1998-01-01
2239442,"female","master",2005-05-01
18018182,"male","highschool",2006-06-01
13923965,NA,NA,1985-01-01
13992238,"female","bachelor",1984-09-01
1756177,"female",NA,2001-01-01
2232434,"male","bachelor",1979-09-01
2263327,"male",NA,2011-04-01
2267845,"male","master",2005-10-01
13994313,"male",NA,1981-01-01
14022829,"male",NA,1992-12-01
13968168,NA,NA,1996-01-01
14001018,"male","master",1976-01-01
14025033,"male",NA,1992-09-01
13989961,NA,"bachelor",1987-06-01
19308798,"male",NA,1998-06-01
8611635,"female","master",1996-05-01
18368259,"male",NA,2003-01-01
8616863,"male","master",NA
8565071,NA,"bachelor",2005-08-01
8559775,"male","master",1990-10-01
8623484,"male","master",1981-01-01
8585311,"male","master",1988-07-01
8602168,"male",NA,2002-01-01
8565183,NA,NA,NA
8613403,"male","master",1986-01-01
8559874,"male",NA,1978-01-01
8615733,"female","bachelor",1999-01-01
8618200,"male","bachelor",1974-03-01
8566593,"female",NA,1991-11-01
8620053,"male","bachelor",1986-01-01
8615311,"male","master",1975-11-01
8562071,"male",NA,NA
8608858,"male",NA,2000-04-01
8578345,NA,NA,1995-01-01
8575942,"male",NA,2003-01-01
8602836,"male",NA,1999-01-01
8568233,"male",NA,1998-09-01
8595681,"male",NA,1985-08-01
8613647,"male","bachelor",1991-01-01
8565425,"male",NA,NA
8562074,"male",NA,NA
8568232,"male",NA,2002-03-01
15768159,"female","bachelor",1999-01-01
8573008,"male",NA,1972-10-01
8560837,"male",NA,2004-01-01
8570567,NA,"bachelor",2000-06-01
8560324,"male","bachelor",NA
8571377,"male",NA,NA
8586932,"male",NA,1994-06-01
8581094,"male",NA,1984-01-01
8624346,"male","master",1993-03-01
8594768,"male",NA,2003-01-01
8591976,"male","bachelor",2001-01-01
8625657,"male","associate",1983-03-01
14073357,NA,NA,1966-01-01
15442052,"female",NA,1999-09-01
13934421,"male","master",1980-10-01
4319525,NA,"master",2004-05-01
5922097,"male",NA,NA
7754604,"female","others",1976-01-01
