item1,item2,correlation
week,2,0.154264048
free,detail,0.154209028
detail,free,0.154209028
town,citi,0.15411108
citi,town,0.15411108
short,time,0.153037417
time,short,0.153037417
noncom,bunch,0.152943348
polic,unfair,0.152943348
bunch,noncom,0.152943348
unfair,polic,0.152943348
classifi,infantri,0.152937701
classifi,classif,0.152937701
infantri,classifi,0.152937701
classif,classifi,0.152937701
infantri,mechan,0.15281129
mechan,infantri,0.15281129
furlough,3,0.15255171
3,furlough,0.15255171
pass,camp,0.152145437
camp,pass,0.152145437
intellig,abil,0.151801252
abil,intellig,0.151801252
defens,pai,0.151665618
pai,defens,0.151665618
time,train,0.151478638
train,time,0.151478638
futur,start,0.15141273
start,futur,0.15141273
clean,mess,0.151239016
mess,clean,0.151239016
bu,servic,0.150999937
servic,bu,0.150999937
effort,war,0.150966054
war,effort,0.150966054
civilian,line,0.150945722
line,civilian,0.150945722
night,4,0.150560443
4,night,0.150560443
town,transport,0.150217468
transport,town,0.150217468
result,hour,0.150094642
hour,result,0.150094642
chanc,fair,0.149822081
fair,chanc,0.149822081
express,questionnair,0.149280257
questionnair,express,0.149280257
plane,20,0.149245559
20,plane,0.149245559
5,4,0.148934213
4,5,0.148934213
worri,famili,0.148710389
famili,worri,0.148710389
limit,fit,0.148658414
fit,limit,0.148658414
offic,cooper,0.148472619
cooper,offic,0.148472619
questionair,idea,0.148445934
idea,questionair,0.148445934
test,write,0.148029088
write,test,0.148029088
learn,forget,0.147946522
forget,learn,0.147946522
handl,job,0.14787584
job,handl,0.14787584
system,advanc,0.147616832
advanc,system,0.147616832
equip,experi,0.147581783
experi,equip,0.147581783
nation,guard,0.147354714
guard,nation,0.147354714
30,combat,0.147096359
combat,30,0.147096359
inform,idea,0.146849893
idea,inform,0.146849893
worri,carri,0.14659753
carri,worri,0.14659753
choic,branch,0.146562408
branch,choic,0.146562408
10,6,0.146126848
6,10,0.146126848
peopl,war,0.145907907
war,peopl,0.145907907
hold,job,0.145896914
job,hold,0.145896914
duti,guard,0.145867176
guard,duti,0.145867176
4,month,0.145606691
month,4,0.145606691
lead,make,0.145205005
make,lead,0.145205005
physic,ag,0.145171493
ag,physic,0.145171493
break,moral,0.145110302
moral,break,0.145110302
opinion,idea,0.145100715
idea,opinion,0.145100715
home,pass,0.145050936
pass,home,0.145050936
classif,test,0.144997878
test,classif,0.144997878
promot,chanc,0.144946796
chanc,promot,0.144946796
night,30,0.144578118
night,free,0.144578118
30,night,0.144578118
free,night,0.144578118
negro,color,0.144320578
color,negro,0.144320578
charg,bui,0.144205181
bui,charg,0.144205181
hope,war,0.144003771
war,hope,0.144003771
trade,civilian,0.143949701
civilian,trade,0.143949701
choic,servic,0.143868673
servic,choic,0.143868673
famili,home,0.143606346
home,famili,0.143606346
corp,branch,0.143521027
branch,corp,0.143521027
privat,abil,0.143017688
abil,privat,0.143017688
job,war,0.142761874
war,job,0.142761874
limit,defens,0.142111653
defens,limit,0.142111653
outfit,guard,0.142035731
guard,outfit,0.142035731
station,week,0.14194616
week,station,0.14194616
3,week,0.14190614
week,3,0.14190614
idea,soldier,0.141729208
soldier,idea,0.141729208
lose,prove,0.14169122
prove,lose,0.14169122
sick,30,0.140926858
30,sick,0.140926858
famili,singl,0.14078151
singl,famili,0.14078151
3,pass,0.140755679
pass,3,0.140755679
moral,divis,0.14056669
divis,moral,0.14056669
class,white,0.139989373
white,class,0.139989373
infantri,air,0.13995737
air,infantri,0.13995737
advanc,abil,0.139917151
abil,advanc,0.139917151
transfer,outfit,0.139913772
outfit,transfer,0.139913772
outfit,combat,0.139861692
combat,outfit,0.139861692
club,pass,0.139839739
pass,club,0.139839739
separ,southern,0.139780347
southern,separ,0.139780347
half,bui,0.139780347
bui,half,0.139780347
command,compani,0.139571473
compani,command,0.139571473
sgt,grade,0.139422585
grade,sgt,0.139422585
time,armi,0.139325735
armi,time,0.139325735
bu,camp,0.139250569
camp,bu,0.139250569
lose,fight,0.139148945
fight,lose,0.139148945
ahead,promot,0.139068527
promot,ahead,0.139068527
town,camp,0.13902783
camp,town,0.13902783
inform,answer,0.138908737
answer,inform,0.138908737
school,rate,0.138862649
rate,school,0.138862649
carri,effort,0.138811427
effort,carri,0.138811427
privat,commiss,0.138672756
commiss,privat,0.138672756
trade,plant,0.137935004
plant,trade,0.137935004
receiv,train,0.137891033
train,receiv,0.137891033
navi,guard,0.137744984
guard,navi,0.137744984
spend,3,0.137726533
3,spend,0.137726533
reason,5,0.137693049
5,reason,0.137693049
engin,corp,0.137581971
corp,engin,0.137581971
real,type,0.137334223
type,real,0.137334223
enter,air,0.137047284
air,enter,0.137047284
physic,due,0.13693957
due,physic,0.13693957
inspect,time,0.136810419
time,inspect,0.136810419
free,freedom,0.136323688
freedom,free,0.136323688
close,bring,0.136162083
bring,close,0.136162083
offic,armi,0.135637057
armi,offic,0.135637057
furlough,dai,0.135615668
dai,furlough,0.135615668
nation,war,0.13529861
war,nation,0.13529861
educ,major,0.135290588
major,educ,0.135290588
condit,due,0.135062213
due,condit,0.135062213
red,cut,0.135043423
organ,system,0.135043423
system,organ,0.135043423
cut,red,0.135043423
treat,bunch,0.134956559
bunch,treat,0.134956559
white,fight,0.134941294
fight,white,0.134941294
section,hate,0.134885487
hate,section,0.134885487
TRUE,inform,0.134885487
inform,TRUE,0.134885487
sick,drill,0.134741854
drill,sick,0.134741854
class,low,0.134426459
low,class,0.134426459
choos,com,0.13429306
com,choos,0.13429306
peac,world,0.134212406
world,peac,0.134212406
eat,poor,0.134051474
poor,eat,0.134051474
month,time,0.133986413
time,month,0.133986413
low,divis,0.133821847
divis,low,0.133821847
school,qualifi,0.13376908
qualifi,school,0.13376908
night,1,0.133730974
1,night,0.133730974
30,week,0.133496814
transport,week,0.133496814
free,week,0.133496814
week,30,0.133496814
week,transport,0.133496814
week,free,0.133496814
charg,author,0.133371619
meal,cloth,0.133371619
cloth,meal,0.133371619
author,charg,0.133371619
rate,outfit,0.133269493
outfit,rate,0.133269493
sgt,abil,0.133094392
abil,sgt,0.133094392
engin,experi,0.132926658
experi,engin,0.132926658
speak,mind,0.13288594
mind,speak,0.13288594
like,underlin,0.132556391
underlin,like,0.132556391
govern,war,0.132507046
war,govern,0.132507046
peac,war,0.132400909
war,peac,0.132400909
club,transport,0.132366727
transport,club,0.132366727
medic,infantri,0.132295493
infantri,medic,0.132295493
furlough,fellow,0.13229016
fellow,furlough,0.13229016
night,sleep,0.132195215
sleep,night,0.132195215
fight,combat,0.132060687
combat,fight,0.132060687
town,post,0.132032955
post,town,0.132032955
sick,hand,0.131900876
sick,medic,0.131900876
hand,sick,0.131900876
medic,sick,0.131900876
negro,fight,0.131770468
fight,negro,0.131770468
experi,qualifi,0.131614792
qualifi,experi,0.131614792
mechan,air,0.131614792
air,mechan,0.131614792
worker,pai,0.131577138
pai,worker,0.131577138
right,race,0.1314839
race,right,0.1314839
inform,mean,0.131380664
classifi,special,0.131380664
inform,subject,0.131380664
presid,bunch,0.131380664
teach,word,0.131380664
special,classifi,0.131380664
mean,inform,0.131380664
subject,inform,0.131380664
word,teach,0.131380664
presid,victori,0.131380664
bunch,presid,0.131380664
victori,presid,0.131380664
respect,offic,0.130935905
offic,respect,0.130935905
commiss,abil,0.130479309
abil,commiss,0.130479309
bad,extra,0.130465968
bad,leader,0.130465968
extra,bad,0.130465968
leader,bad,0.130465968
divis,outfit,0.130164381
outfit,divis,0.130164381
school,experi,0.12997098
experi,school,0.12997098
physic,fit,0.12990285
fit,physic,0.12990285
hour,week,0.129865892
week,hour,0.129865892
abil,offic,0.129687759
offic,abil,0.129687759
trade,defens,0.129679252
defens,trade,0.129679252
test,type,0.129488159
type,test,0.129488159
damn,hell,0.129356109
hell,damn,0.129356109
sick,command,0.129341212
command,sick,0.129341212
detail,extra,0.129334886
club,cloth,0.129334886
cloth,club,0.129334886
charg,club,0.129334886
child,woman,0.129334886
extra,detail,0.129334886
club,charg,0.129334886
woman,child,0.129334886
underlin,unfair,0.129239473
unfair,underlin,0.129239473
marri,draft,0.129228716
draft,marri,0.129228716
superior,offic,0.12921668
offic,superior,0.12921668
rate,abil,0.12909321
abil,rate,0.12909321
limit,corp,0.129091886
corp,limit,0.129091886
6,experi,0.129072857
experi,6,0.129072857
pai,peopl,0.129026112
peopl,pai,0.129026112
cloth,poor,0.128903265
poor,cloth,0.128903265
worri,troubl,0.128846807
troubl,worri,0.128846807
system,3,0.128670676
3,system,0.128670676
engin,qualifi,0.128644684
qualifi,engin,0.128644684
consider,deserv,0.128558325
deserv,consider,0.128558325
10,consider,0.128558325
consider,10,0.128558325
sick,boi,0.128430072
boi,sick,0.128430072
moral,hate,0.128336448
hate,moral,0.128336448
mechan,train,0.128236849
train,mechan,0.128236849
physic,classif,0.128120927
classif,physic,0.128120927
woman,fit,0.128052213
fit,woman,0.128052213
station,train,0.127793953
train,station,0.127793953
offic,author,0.127645843
author,offic,0.127645843
treat,equal,0.127500149
equal,treat,0.127500149
3,month,0.127340615
month,3,0.127340615
pass,time,0.127260064
time,pass,0.127260064
1,5,0.126924691
5,1,0.126924691
averag,soldier,0.126715255
soldier,averag,0.126715255
week,camp,0.126701884
camp,week,0.126701884
mile,camp,0.126608354
camp,mile,0.126608354
troubl,start,0.12660509
start,troubl,0.12660509
marri,check,0.126567719
check,marri,0.126567719
drill,extra,0.126472593
extra,drill,0.126472593
stand,color,0.126046944
color,stand,0.126046944
detail,4,0.126037799
4,detail,0.126037799
engin,field,0.125961936
field,engin,0.125961936
serv,countri,0.125919436
countri,serv,0.125919436
educ,person,0.125754282
person,educ,0.125754282
superior,enlist,0.125539884
free,duti,0.125539884
duti,free,0.125539884
enlist,superior,0.125539884
home,armi,0.125431168
armi,home,0.125431168
corp,enlist,0.125271425
enlist,corp,0.125271425
charg,offic,0.125158672
offic,charg,0.125158672
read,write,0.125042081
write,read,0.125042081
worker,war,0.124950405
war,worker,0.124950405
privat,offic,0.124947317
offic,privat,0.124947317
subject,question,0.124841545
question,subject,0.124841545
low,hand,0.124800584
hand,low,0.124800584
20,damn,0.124727359
damn,20,0.124727359
leader,poor,0.124618103
poor,leader,0.124618103
short,month,0.124393196
month,short,0.124393196
abil,command,0.124378853
command,abil,0.124378853
hour,time,0.1243128
time,hour,0.1243128
month,armi,0.12427242
armi,month,0.12427242
equal,peopl,0.124212075
peopl,equal,0.124212075
tell,dai,0.124073239
dai,tell,0.124073239
low,grade,0.123960048
skill,qualifi,0.123960048
grade,low,0.123960048
qualifi,skill,0.123960048
detail,bring,0.123876095
bring,detail,0.123876095
natur,abil,0.123790965
abil,natur,0.123790965
plant,strike,0.123764122
leader,hand,0.123764122
hand,leader,0.123764122
show,worth,0.123764122
strike,plant,0.123764122
worth,show,0.123764122
skill,wast,0.123755735
wast,skill,0.123755735
monei,send,0.123614329
send,monei,0.123614329
month,train,0.123581089
train,month,0.123581089
half,time,0.12343471
time,half,0.12343471
navi,air,0.123359562
air,navi,0.123359562
send,home,0.123155433
home,send,0.123155433
tell,send,0.123109186
send,tell,0.123109186
3,command,0.123041593
command,3,0.123041593
give,chanc,0.12286041
chanc,give,0.12286041
promot,com,0.122757786
com,promot,0.122757786
help,win,0.12265765
win,help,0.12265765
armi,soldier,0.122553677
soldier,armi,0.122553677
dislik,posit,0.122545273
ahead,make,0.122545273
make,ahead,0.122545273
posit,dislik,0.122545273
inspect,dai,0.122543074
dai,inspect,0.122543074
ship,wait,0.122520281
wait,ship,0.122520281
mile,home,0.122489509
home,mile,0.122489509
special,train,0.122473594
train,special,0.122473594
countri,war,0.122448332
war,countri,0.122448332
complet,mind,0.122360082
mind,complet,0.122360082
matter,person,0.122251337
person,matter,0.122251337
engin,serv,0.122218712
serv,engin,0.122218712
hate,cloth,0.122109208
cloth,hate,0.122109208
organ,qualifi,0.122103617
qualifi,organ,0.122103617
monei,peopl,0.121926565
peopl,monei,0.121926565
post,pass,0.121901212
pass,post,0.121901212
sick,start,0.121893234
start,sick,0.121893234
moral,camp,0.121711077
camp,moral,0.121711077
free,special,0.121703905
special,free,0.121703905
transfer,hate,0.121635426
hate,transfer,0.121635426
TRUE,physic,0.121635426
physic,TRUE,0.121635426
draft,servic,0.12152941
servic,draft,0.12152941
treat,respect,0.121503285
respect,treat,0.121503285
woman,job,0.121351785
job,woman,0.121351785
abil,com,0.121278174
com,abil,0.121278174
experi,branch,0.121219156
branch,experi,0.121219156
unclear,carri,0.121211932
carri,unclear,0.121211932
organ,leader,0.121195727
pick,choos,0.121195727
choos,pick,0.121195727
concern,club,0.121195727
leader,organ,0.121195727
club,concern,0.121195727
physic,condit,0.121166842
condit,physic,0.121166842
differ,white,0.120991857
white,differ,0.120991857
sgt,test,0.120981452
test,sgt,0.120981452
cut,week,0.120909624
week,cut,0.120909624
free,allow,0.120846487
allow,free,0.120846487
abil,armi,0.120637827
armi,abil,0.120637827
underlin,rest,0.120479037
rest,underlin,0.120479037
chang,mind,0.120395793
mind,chang,0.120395793
trade,learn,0.120335622
learn,trade,0.120335622
wear,commiss,0.120269747
commiss,wear,0.120269747
corp,civilian,0.120239159
civilian,corp,0.120239159
marri,live,0.120120849
live,marri,0.120120849
