word1,word2,n
army,worth,2
aspirin,tablets,2
awful,bad,2
awful,hard,2
bad,break,2
bad,deal,2
bad,difference,2
bad,discrimination,2
bad,food,2
bad,names,2
bad,shape,2
basket,ball,2
bed,creek,2
beer,garden,2
ben,home,2
ben,treated,2
bible,speaks,2
bla,bla,2
black,brother,2
black,soldiers,2
blood,boil,2
blood,god,2
blood,run,2
blood,shed,2
bonds,mold,2
born,negro,2
born,raised,2
borned,equal,2
brighter,day,2
bring,victory,2
british,empire,2
bus,colored,2
bus,driver,2
bus,drivers,2
bus,leave,2
bus,line,2
bus,passes,2
bus,ride,2
bus,services,2
bus,station,2
bus,trains,2
buses,dont,2
buss,service,2
busses,trains,2
bust,bus,2
buy,tickets,2
buying,bonds,2
call,niggers,2
called,freedom,2
called,friend,2
camp,ft,2
camp,murray,2
camp,shelly,2
camp,soldiers,2
camp,white,2
camps,2,2
camps,posts,2
camps,white,2
canot,understand,2
care,attitude,2
casual,company,2
catch,snake,2
catches,hell,2
catching,hell,2
chach,catch,2
change,light,2
civilian,workers,2
civilians,life,2
civilians,police,2
claiborne,la,2
classification,test,2
clean,record,2
close,home,2
color,boys,2
color,creed,2
color,p.x,2
colord,officers,2
colord,operating,2
colord,race,2
colord,soilder,2
colord,soldier,2
colored,capt,2
colored,company,2
colored,enlisted,2
colored,folks,2
colored,line,2
colored,lt,2
colored,m.p.s,2
colored,m.p's,2
colored,man's,2
colored,officer's,2
colored,outfits,2
colored,post,2
colored,southern,2
colored,troop,2
colored,waiting,2
coloured,soldiers,2
comander,commander,2
combat,duties,2
combat,outfits,2
combat,soldier,2
combat,training,2
comissioned,officiers,2
command,officers,2
commander,wont,2
commanding,officers,2
common,drill,2
common,enemy,2
common,labor,2
common,sense,2
common,soldier,2
company,comander,2
company,commands,2
company,furlough,2
company,mess,2
company,officer,2
constant,fear,2
corporation,cooperation,2
corps,marines,2
country,hope,2
country,makes,2
court,martial,2
created,free,2
cross,section,2
crow,army,2
crow,camps,2
crow,law,2
crowed,crowded,2
dag,dog,2
dam,army,2
dam,shame,2
damn,army,2
damn,slow,2
damn,time,2
damn,war,2
dark,hands,2
dark,nation,2
dark,race,2
day,subject,2
days,furlough,2
deal,fair,2
dear,sirs,2
deceit,expounded,2
defence,jobs,2
defend,america,2
defense,worker,2
democratic,countries,2
democratic,ideas,2
democratic,nation,2
democratic,principles,2
dept,department,2
didn,äôt,2
die,fighting,2
dining,car,2
dirty,deal,2
dirty,jobs,2
dissatisfied,negro,2
div,rolling,2
doesn,äôt,2
dog,ass,2
dont,agree,2
dont,lick,2
dont,miss,2
double,timing,2
draft,board,2
drink,coffee,2
drunken,soldier,2
due,respect,2
duty,24,2
e.g,skilled,2
eastern,camp,2
eat,play,2
edjucation,ranks,2
elementary,education,2
empty,rifles,2
enforced,properly,2
enjoy,freedom,2
enjoyed,answering,2
enlisted,man's,2
enlisted,personel,2
entire,negro,2
entire,staff,2
equal,breaks,2
equal,footing,2
equal,status,2
equal,unclear,2
existing,conditions,2
expect,thier,2
expl,75,2
fair,labor,2
fair,questionnaire,2
fair,trial,2
fairly,chance,2
fairly,hard,2
fairly,nice,2
farm,36,2
feel,glad,2
feel,pretty,2
fellow,citizen,2
field,artillery,2
field,duty,2
fifteen,days,2
fight,hard,2
fight,harder,2
fight,togeather,2
fighting,chance,2
fighting,machine,2
fighting,unit,2
filthy,kitchens,2
finance,office,2
fine,company,2
fine,idea,2
fine,organization,2
fitting,fighting,2
fla,florida,2
flough,furlough,2
flying,officers,2
food,situation,2
foreign,countries,2
foreign,service,2
fort,hauchuca,2
fort,sill,2
frank,opinions,2
free,america,2
free,rights,2
free,speach,2
free,thinking,2
freedom,freedom,2
friendly,feeling,2
front,seat,2
ft,huachuca,2
fullow,furlough,2
g.i,shoes,2
gain,respect,2
garden,boasting,2
garrison,caps,2
george,washington,2
germany,treated,2
giving,furloughs,2
gold,braking,2
gov,governor,2
gov,rules,2
goverment,government,2
government,job,2
government,theater,2
half,sick,2
handed,crumbs,2
hands,buy,2
happy,unit,2
hard,job,2
hard,training,2
hard,week,2
hate,negroes,2
haven,äôt,2
health,army,2
heating,condition,2
helped,build,2
helping,win,2
helt,fore,2
hire,colored,2
hitherto,answered,2
hold,weight,2
home,5,2
home,befor,2
honest,opinions,2
hope,pray,2
horse,shit,2
hte,army,2
huachuca,ariz,2
human,bean,2
human,race,2
hundred,percent,2
ignorant,southern,2
ignorant,white,2
improving,gov,2
income,taxes,2
individual,px's,2
individual,soldier,2
