source,target,weight
color,feel,0.019387714
question,troubl,0.019307633
troubl,question,0.019307633
feel,boi,0.018727466
boi,feel,0.018727466
do,separ,0.018575967
separ,do,0.018575967
negro,separ,0.018528654
separ,negro,0.018528654
do,soldier,0.017918239
soldier,do,0.017918239
differ,reason,0.017488254
reason,differ,0.017488254
armi,fight,0.017398607
fight,armi,0.017398607
live,mix,0.017254125
mix,live,0.017254125
friction,white,0.016714089
white,friction,0.016714089
feel,do,0.016530136
do,feel,0.016530136
feel,live,0.016341384
live,feel,0.016341384
seper,color,0.01534886
color,seper,0.01534886
differ,soldier,0.015134171
soldier,differ,0.015134171
moral,color,0.014190924
color,moral,0.014190924
south,mix,0.013897476
mix,south,0.013897476
feel,separ,0.01384155
separ,feel,0.01384155
stai,live,0.013187085
seper,live,0.013187085
live,stai,0.013187085
live,seper,0.013187085
offic,color,0.013094357
color,offic,0.013094357
feel,south,0.012733958
south,feel,0.012733958
idea,troubl,0.012381444
troubl,idea,0.012381444
outfit,live,0.012072993
live,outfit,0.012072993
fight,mix,0.012020568
mix,fight,0.012020568
idea,outfit,0.011904188
outfit,idea,0.011904188
feel,negro,0.01170576
negro,feel,0.01170576
armi,mix,0.011540794
chanc,race,0.011540794
sleep,race,0.011540794
race,chanc,0.011540794
mix,armi,0.011540794
race,sleep,0.011540794
southern,fight,0.011188255
fight,southern,0.011188255
peopl,mix,0.010765155
peopl,race,0.010765155
mix,peopl,0.010765155
race,peopl,0.010765155
friction,race,0.010427384
race,friction,0.010427384
moral,outfit,0.010285957
outfit,moral,0.010285957
lot,color,0.010113629
color,lot,0.010113629
color,live,0.010109613
live,color,0.010109613
do,live,0.00992573
live,do,0.00992573
peopl,live,0.009499154
live,peopl,0.009499154
do,troubl,0.009131268
troubl,do,0.009131268
friction,soldier,0.009123405
soldier,friction,0.009123405
color,troubl,0.008988012
troubl,color,0.008988012
war,outfit,0.008748086
outfit,war,0.008748086
lot,live,0.008002226
live,lot,0.008002226
reason,peopl,0.007718836
question,peopl,0.007718836
peopl,reason,0.007718836
peopl,question,0.007718836
white,race,0.007606298
race,white,0.007606298
do,outfit,0.007282386
outfit,do,0.007282386
differ,troubl,0.007212547
troubl,differ,0.007212547
chanc,white,0.007144557
armi,white,0.007144557
white,chanc,0.007144557
white,armi,0.007144557
feel,southern,0.006739683
southern,feel,0.006739683
color,chanc,0.006699218
chanc,color,0.006699218
differ,negro,0.006170745
negro,differ,0.006170745
troubl,live,0.00600819
live,troubl,0.00600819
seper,negro,0.005512392
negro,seper,0.005512392
idea,fight,0.004806576
fight,idea,0.004806576
outfit,color,0.00463024
color,outfit,0.00463024
chanc,live,0.004606423
live,chanc,0.004606423
differ,outfit,0.004540363
lot,outfit,0.004540363
outfit,differ,0.004540363
outfit,lot,0.004540363
feel,fight,0.004481903
fight,feel,0.004481903
stai,peopl,0.004256514
seper,peopl,0.004256514
idea,peopl,0.004256514
peopl,stai,0.004256514
peopl,seper,0.004256514
peopl,idea,0.004256514
friction,troubl,0.003050024
troubl,friction,0.003050024
outfit,fight,0.002830458
fight,outfit,0.002830458
differ,white,0.002751605
white,differ,0.002751605
offic,fight,0.002626926
fight,offic,0.002626926
reason,separ,0.002058106
question,separ,0.002058106
separ,reason,0.002058106
separ,question,0.002058106
soldier,live,0.001740217
live,soldier,0.001740217
do,fight,0.001611982
fight,do,0.001611982
outfit,race,0.001563479
race,outfit,0.001563479
reason,soldier,0.001414068
question,soldier,0.001414068
soldier,reason,0.001414068
soldier,question,0.001414068
troubl,separ,0.001151645
separ,troubl,0.001151645
stai,mix,0.000735826
seper,mix,0.000735826
idea,mix,0.000735826
idea,race,0.000735826
mix,stai,0.000735826
mix,seper,0.000735826
mix,idea,0.000735826
race,idea,0.000735826
reason,color,0.000545638
question,color,0.000545638
color,reason,0.000545638
color,question,0.000545638
soldier,troubl,0.000358187
troubl,soldier,0.000358187
race,fight,0.000346082
fight,race,0.000346082
stai,separ,0.000273303
