UnitID,Institution Name,SECTOR (HD2019)
490568,Career Quest Learning Center-Mt. Pleasant,6
454306,Career Quest Learning Centers-Jackson,6
446136,Career Quest Learning Centers-Lansing,6
420370,Career Technical Institute,6
493734,Careers Institute of America,9
448239,Careers Unlimited,3
489256,Caribbean Aviation Training Institute Inc,9
441706,Caribbean Forensic and Technical College,9
491941,Caris College,6
451194,Carlson College of Massage Therapy,9
169187,Carnegie Institute,6
491455,Carolina Career College,9
460765,Carolina College of Hair Design,9
198190,Carolina School of Broadcasting,9
442602,Carrington College-Albuquerque,6
142054,Carrington College-Boise,6
450702,Carrington College-Citrus Heights,6
457101,Carrington College-Las Vegas,6
103909,Carrington College-Mesa,6
475750,Carrington College-Mesquite,6
250601,Carrington College-Phoenix East,6
103893,Carrington College-Phoenix North,6
438258,Carrington College-Pleasant Hill,6
467368,Carrington College-Pomona,6
246035,Carrington College-Portland,9
457110,Carrington College-Reno,6
125532,Carrington College-Sacramento,6
437936,Carrington College-San Jose,6
246974,Carrington College-San Leandro,6
439118,Carrington College-Spokane,6
450696,Carrington College-Stockton,6
103927,Carrington College-Tucson,6
447430,Carsten Institute of Cosmetology,9
203438,Casal Aveda Institute,6
455211,Casal Institute of Nevada,6
165255,Catherine Hinds Institute of Esthetics,9
449773,CCI Training Center-Arlington,9
447874,CDA Technical Institute,9
451495,CDE Career Institute,9
487621,Celebrity Barber School,9
454917,Celebrity School of Beauty,9
160126,Celebrity Stylist Beauty School,9
451741,CEM College-Bayamon,3
376224,CEM College-Humacao,3
484835,CEM College-Mayaguez,3
241517,CEM College-San Juan,3
379782,Center for Advanced Legal Studies,6
451413,Center for Allied Health Education,6
455910,Center for Massage,9
449667,Center for Natural Wellness School of Massage Therapy,9
488226,Center for Neurosomatic Studies,9
486381,Center for Ultrasound Research & Education,6
457651,CenterPoint Massage & Shiatsu Therapy School & Clinic,6
419183,Central California School of Continuing Education,6
436003,Central Career Institute LLC,9
378105,Central Coast College,6
417725,Central College of Cosmetology,9
206932,Central Oklahoma College,6
211477,Central Penn College,3
493558,Central Pennsylvania Diesel Institute,9
246460,Central Texas Beauty College-Round Rock,9
383464,Central Texas Beauty College-Temple,9
491260,Centralia Beauty College,9
420024,Centura College-Chesapeake,3
444972,Centura College-Columbia,6
377449,Centura College-Newport News,6
377458,Centura College-Norfolk,6
427982,Centura College-Richmond Main,6
232016,Centura College-Virginia Beach,3
436553,Century College,9
454245,Chamberlain University-Arizona,3
489353,Chamberlain University-California,3
457129,Chamberlain University-Florida,3
475732,Chamberlain University-Georgia,3
454227,Chamberlain University-Illinois,3
475741,Chamberlain University-Indiana,3
492759,Chamberlain University-Louisiana,3
486947,Chamberlain University-Michigan,3
466921,Chamberlain University-Missouri,3
486938,Chamberlain University-Nevada,3
486956,Chamberlain University-New Jersey,3
489344,Chamberlain University-North Carolina,3
454236,Chamberlain University-Ohio,3
466930,Chamberlain University-Texas,3
460871,Chamberlain University-Virginia,3
446996,Chambersburg Beauty School,9
483753,Champ's Barber School,9
449782,Champion Beauty College,9
422190,Champion Institute of Cosmetology,9
223852,Charles and Sues School of Hair Design,9
104391,Charles of Italy Beauty College,9
418171,Charles Stuart School of Diamond Setting,9
217794,Charleston Cosmetology Institute,9
237303,Charleston School of Beauty Culture,6
451510,Charleston School of Law,3
443951,Charlie's Guard-Detective Bureau and Academy Inc,9
102845,Charter College,3
217828,Charzanne Beauty College,9
220118,Chattanooga College Medical Dental and Technical Careers,6
381699,Cheeks Beauty Academy,9
240709,Cheeks Beauty Academy,9
189954,Cheryl Fells School of Business,9
437769,Chester Career College,6
175494,Chris Beauty College,9
475510,Christie's Education,3
491552,Christina and Company Education Center,9
189990,Christine Valmy International School for Esthetics  Skin Care & Makeup,9
475468,Christine Valmy International School of Esthetics & Cosmetology,9
490692,Cincinnati School of Barbering & Hair Design Inc,6
461829,Cinta Aveda Institute,9
112181,Citrus Heights Beauty College,9
481517,City Pointe Beauty Academy,9
237321,Clarksburg Beauty Academy and School of Massage Therapy,6
366155,Cloyd's Barber School 2 Inc,9
158538,Cloyd's Beauty School 1 Inc,9
248527,Cloyd's Beauty School 3 Inc,9
449393,Coachella Valley Beauty College,9
485412,Coachella Valley Beauty College-Hemet,9
450988,Coastline Beauty College,9
112455,Coba Academy,9
417406,Cobb Beauty College Inc,9
112394,Cogswell College,3
430935,Colegio de Cinematografía Artes y Television,6
376242,Colegio Mayor de Tecnologia Inc,9
445498,Colegio Tecnico de Electricidad Galloza,9
230144,Collectiv Academy,9
420608,Colleen O'Haras Beauty Academy,9
456977,College of Business and Technology-Cutler Bay,6
449092,College of Business and Technology-Hialeah,6
449083,College of Business and Technology-Main Campus,6
417318,College of Business and Technology-Miami Campus,3
482024,College of Business and Technology-Miami Gardens,3
210340,College of Cosmetology,6
150251,College of Court Reporting Inc,6
208433,College of Hair Design Careers,6
180957,College of Hair Design-Downtown,6
456287,College of Hair Design-East Campus,6
476586,College of International Esthetics Inc,9
460808,College of Massage Therapy,9
199078,College of Wilmington,9
461953,Colorado Academy of Veterinary Technology,6
443632,Colorado Media School,9
381732,Colorado School of Healing Arts,9
126784,Colorado School of Trades,6
381352,Colorado School of Traditional Chinese Medicine,3
126827,Colorado Technical University-Colorado Springs,3
241304,Columbia Central University-Caguas,3
404806,Columbia Central University-Yauco,3
479248,Columbia College,6
455983,Columbia College,6
480693,Columbia Institute,9
450933,Columbia Southern University,3
447962,Compass Career College,9
423120,Compu-Med Vocational Careers Corp,9
126687,Concorde Career College-Aurora,6
460181,Concorde Career College-Dallas,6
123679,Concorde Career College-Garden Grove,6
441742,Concorde Career College-Grand Prairie,6
