"","x"
"846",219340702
"847",222189388
"848",40218
"849",221620053
"850",1957542
"851",220996098
"852",19171127
"853",41947254
"854",37589806
"855",78115555
"856",215482437
"857",9075384
"858",7555883
"859",57299890
"860",221885283
"861",33414238
"862",42373402
"863",5233643
"864",246979
"865",89012343
"866",199512187
"867",67266763
"868",88849117
"869",33650724
"870",88540789
"871",219835047
"872",88922757
"873",216340394
"874",20335959
"875",37497687
"876",31677870
"877",16100211
"878",15889057
"879",7280433
"880",20483071
"881",9079231
"882",8963006
"883",21327172
"884",33014985
"885",26070403
"886",16504702
"887",195708711
"888",215268863
"889",6115741
"890",6701314
"891",4708304
"892",108477761
"893",1558178
"894",11285928
"895",11959179
"896",83352784
"897",88607642
"898",21169657
"899",8549038
"900",23439235
"901",30290895
"902",193120900
"903",23971875
"904",7474415
"905",1821416
"906",2360959
"907",12193804
"908",3736088
"909",31900052
"910",108454484
"911",9930816
"912",34282683
"913",13476433
"914",12618992
"915",21804690
"916",218899168
"917",13512938
"918",196660450
"919",83357964
"920",6602675
"921",141535810
"922",24002193
"923",194168576
"924",7509698
"925",21800332
"926",5261327
"927",21165599
"928",141556105
"929",212768526
"930",222500924
"931",3285260
"932",78175392
"933",57237828
"934",6728681
"935",195556118
"936",33344559
"937",108549844
"938",3531137
"939",373990
"940",13556969
"941",31636681
"942",26341202
"943",5318761
"944",37493154
"945",210099874
"946",108548196
"947",212394612
"948",43296649
"949",31639362
"950",215211086
"951",6224779
"952",6449672
"953",18261154
"954",5849265
"955",108497394
"956",196518675
"957",219774874
"958",7966616
"959",66796319
"960",107899529
"961",88886955
"962",8586081
"963",193084876
"964",7608864
"965",23209655
"966",5122554
"967",194558282
"968",63183230
"969",18721894
"970",5112870
"971",22608032
"972",219886426
"973",6587821
"974",19927703
"975",216149979
"976",36475687
"977",34575756
"978",31345253
"979",10426386
"980",17787772
"981",81952696
"982",35769354
"983",57344019
"984",5416991
"985",704515
"986",212705174
"987",622516
"988",26286451
"989",86060938
"990",195195107
"991",9622489
"992",26298137
"993",6280238
"994",13432696
"995",2832526
"996",26022076
"997",33497762
"998",214704469
"999",97576755
"1000",30967796
"1001",19328949
"1002",141033459
"1003",217605680
"1004",33859979
"1005",214802670
"1006",13543811
