"maj_occ_code","year","bgt","per_bgt","tot_emp","per_oes"
"53",2015,1182284,5.67912177099154,9536610,6.91576576256452
"53",2016,2144776,9.13069397073284,9731790,6.9314723841959
"53",2017,1751542,7.87218202079887,9978390,6.99995966306382
"53",2018,2031200,7.06342540105421,10244260,7.07802704934394
"53",2019,2580882,7.71847066927793,12532030,8.53241807277838
"55",2010,5543,0.04744836427264,NA,NA
"55",2011,6497,0.0458155140342714,NA,NA
"55",2012,9727,0.0690609107719117,NA,NA
"55",2013,16680,0.0923384803178702,NA,NA
"55",2014,18404,0.0967702940646484,NA,NA
"55",2015,16626,0.0798632803662278,NA,NA
"55",2016,17182,0.0731468385533648,NA,NA
"55",2017,18490,0.0831020013020362,NA,NA
"55",2018,20509,0.071319314469388,NA,NA
"55",2019,33636,0.100592928863789,NA,NA
NA,2010,280110,2.39775596543554,NA,NA
NA,2011,338525,2.38720900237829,NA,NA
NA,2012,358823,2.54761418586508,NA,NA
NA,2013,528626,2.92641016166154,NA,NA
NA,2014,524057,2.7555504236382,NA,NA
NA,2015,527145,2.53215018216379,NA,NA
NA,2016,619823,2.63869706161461,NA,NA
NA,2017,572705,2.57398224205963,NA,NA
NA,2018,814039,2.83079152720006,NA,NA
NA,2019,963542,2.88160042404782,NA,NA
