"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"Arkansas",2015,-70.11,"9.61","4.49","5.50","1.95","0.73","1.79","0.37","2.63","2.11","14.31","2.08","1.27","4.07","1.23","2.16","13.10","10.94","0.20","0.96","3.50","2.24","12.07","0.24","2.49"
"Arkansas",2016,-59.42,"7.96","3.59","3.53","1.50","0.57","1.25","0.27","2.06","1.78","13.35","1.78","1.03","4.52","1.22","1.51","11.82","9.28","0.18","0.95","3.00","2.50","23.74","0.17","2.44"
"Arkansas",2017,-72.9,"8.81","3.60","4.04","1.89","0.57","1.03","0.23","2.66","2.15","19.16","2.22","0.95","4.75","1.36","1.63","12.53","9.08","0.09","0.87","3.09","2.54","14.44","0.25","2.06"
"Arkansas",2018,-73.03,"8.44","3.59","5.28","1.97","0.59","0.96","0.30","3.15","1.64","16.21","1.98","0.95","4.03","1.56","2.28","13.74","7.60","0.10","1.05","3.02","2.28","17.06","0.13","2.09"
"Arkansas",2019,-78.49,"9.53","4.62","5.81","2.18","0.73","1.60","0.37","3.32","1.96","14.96","2.54","1.10","3.90","1.83","1.39","10.58","8.39","0.16","1.32","3.56","2.51","14.75","0.25","2.63"
"California",2010,-65.15,"14.40","7.40","17.88","3.97","1.42","1.00","1.39","2.64","3.19","9.17","1.74","0.94","1.88","0.88","1.58","11.33","9.69","0.04","0.76","2.56","1.85","2.14","0.03","2.13"
"California",2011,-63.6,"14.89","7.80","18.98","4.11","1.41","0.88","1.49","2.44","2.98","8.90","1.38","0.81","1.74","0.71","1.66","11.94","9.09","0.03","0.57","2.13","1.77","2.07","0.02","2.19"
"California",2012,-58.73,"14.07","7.73","21.81","4.36","1.44","0.86","1.71","2.87","3.24","7.73","1.22","0.78","2.16","0.69","1.62","10.09","9.07","0.02","0.55","2.04","1.70","1.89","0.03","2.31"
"California",2013,-58.11,"13.67","7.41","13.70","3.43","1.23","1.07","1.51","2.77","3.02","8.42","1.48","1.00","3.38","1.00","2.87","12.36","10.51","0.05","0.85","2.59","2.00","2.88","0.04","2.74"
"California",2014,-64.74,"13.22","7.04","13.83","3.16","1.31","1.09","1.24","3.43","2.91","8.74","1.46","1.02","3.67","1.11","3.65","12.35","10.26","0.04","0.77","2.34","1.93","2.83","0.04","2.55"
"California",2015,-62.9,"13.00","7.43","16.04","3.10","1.25","1.01","0.85","3.24","2.74","10.41","1.40","1.18","3.33","1.02","2.33","11.01","10.17","0.03","0.67","2.12","1.62","3.69","0.04","2.33"
"California",2016,-62.93,"12.47","7.09","11.73","2.84","1.26","0.99","0.71","3.37","2.53","12.77","1.49","1.19","3.96","0.95","1.31","11.26","10.77","0.03","0.69","2.29","1.71","6.10","0.04","2.46"
"California",2017,-66.8,"12.37","7.19","12.31","3.15","1.29","0.95","0.65","3.33","2.48","13.56","1.47","1.35","3.95","1.11","1.73","9.95","11.74","0.05","0.70","2.15","1.78","4.29","0.05","2.42"
"California",2018,-55.27,"12.61","7.07","12.63","3.23","1.18","1.12","0.79","3.32","2.65","8.75","1.56","1.42","4.49","1.38","2.68","10.49","11.38","0.05","0.87","2.58","2.25","4.67","0.05","2.78"
"California",2019,-45.1,"12.36","7.28","13.73","3.37","1.20","1.18","0.85","3.16","2.73","9.40","1.62","1.43","4.09","1.38","2.40","10.02","11.18","0.05","0.87","2.59","2.20","4.07","0.07","2.78"
"Colorado",2010,-60.57,"12.21","6.54","15.41","3.84","1.00","1.09","1.29","1.95","2.06","11.87","2.21","0.80","3.06","1.32","2.14","11.90","9.90","0.05","1.14","3.26","1.98","2.77","0.04","2.18"
"Colorado",2011,-49.39,"13.40","7.32","15.07","4.25","1.11","1.06","1.57","1.90","1.90","11.00","1.86","0.79","2.59","1.01","2.35","12.00","9.74","0.05","0.84","2.94","1.95","3.03","0.04","2.22"
"Colorado",2012,-49.02,"12.74","7.34","15.42","4.46","1.10","1.12","1.44","3.00","1.94","11.32","1.84","0.78","2.57","1.12","2.12","10.11","9.88","0.05","0.96","3.14","2.05","2.97","0.08","2.48"
"Colorado",2013,-50.31,"11.76","6.51","11.51","3.32","0.96","1.13","1.31","2.90","2.19","10.66","2.00","0.98","4.30","1.40","3.06","11.11","11.09","0.08","1.42","3.58","2.21","4.05","0.05","2.41"
"Colorado",2014,-56.3,"11.01","6.09","11.89","3.32","1.08","1.18","0.94","2.54","2.22","10.14","1.95","0.95","4.90","1.58","3.39","11.56","10.18","0.08","1.40","3.55","2.71","4.77","0.06","2.52"
"Colorado",2015,-60.2,"11.06","6.45","12.67","2.86","0.95","1.10","0.59","2.57","2.09","12.90","2.07","1.07","4.65","1.39","1.89","12.14","9.91","0.06","0.98","3.12","1.88","5.34","0.05","2.21"
"Colorado",2016,-61.23,"10.51","6.04","10.26","2.57","0.92","1.07","0.56","2.52","1.95","14.02","2.01","1.18","4.52","1.34","1.48","11.65","10.18","0.07","1.12","3.21","1.97","8.34","0.05","2.44"
"Colorado",2017,-62.68,"10.50","6.42","10.97","2.82","0.92","1.00","0.58","2.41","1.91","14.24","2.18","1.17","4.77","1.39","1.47","10.91","10.67","0.06","1.12","3.39","2.10","6.60","0.05","2.35"
"Colorado",2018,-51.64,"10.96","6.24","10.91","3.04","0.85","1.12","0.63","3.14","2.16","9.91","2.16","1.18","5.16","1.87","2.81","10.72","10.95","0.07","1.39","3.58","2.12","6.20","0.06","2.76"
"Colorado",2019,-45.52,"11.10","6.41","10.40","3.04","0.85","1.25","0.65","2.90","2.29","9.07","2.02","1.24","5.51","2.08","2.72","10.81","10.81","0.09","1.46","3.70","2.38","6.25","0.07","2.88"
"Connecticut",2010,-59.79,"13.11","8.32","15.87","3.64","0.94","1.08","1.16","1.94","2.58","11.35","2.16","0.72","2.19","0.86","1.78","11.90","9.12","0.03","0.94","2.51","2.23","2.89","0.04","2.63"
"Connecticut",2011,-48.7,"15.10","9.23","14.96","4.62","1.04","1.17","1.37","2.09","2.22","9.66","1.56","0.59","1.67","0.73","1.41","11.22","9.47","0.02","0.80","2.68","2.53","3.28","0.03","2.55"
"Connecticut",2012,-53.75,"14.55","9.30","14.26","4.06","0.93","1.09","1.72","2.15","2.34","9.94","1.75","0.59","2.04","0.73","1.91","11.24","9.88","0.04","0.71","2.50","2.51","3.13","0.04","2.56"
"Connecticut",2013,-44.84,"12.79","8.01","10.51","2.65","0.77","0.98","1.42","2.98","2.90","8.05","1.70","0.60","4.06","1.12","4.00","13.76","10.54","0.06","0.92","2.39","2.68","3.98","0.05","3.09"
"Connecticut",2014,-53.23,"12.28","7.72","10.72","2.93","0.96","1.12","0.97","3.41","2.95","8.48","1.76","0.59","4.51","1.09","5.59","12.61","9.03","0.04","0.60","2.35","3.20","4.29","0.04","2.78"
"Connecticut",2015,-59.49,"12.96","8.90","14.67","3.31","0.93","1.24","0.74","2.64","2.49","11.29","1.79","0.96","2.48","0.71","1.39","11.50","9.41","0.06","0.83","2.58","2.24","4.11","0.04","2.72"
"Connecticut",2016,-48.41,"11.14","7.75","10.91","3.07","0.91","1.16","0.59","2.23","2.01","17.83","1.52","0.79","2.75","0.63","1.32","12.08","8.15","0.05","1.04","2.62","2.56","6.50","0.03","2.38"
"Connecticut",2017,-62.94,"10.50","7.46","9.77","3.32","1.10","1.04","0.52","1.85","1.79","21.04","1.88","0.78","3.12","0.69","1.08","11.15","8.69","0.06","0.67","2.08","2.59","6.24","0.03","2.56"
"Connecticut",2018,-61.95,"11.12","6.61","11.29","3.44","0.94","1.15","0.52","2.79","1.78","16.97","2.05","0.89","3.37","1.07","2.66","10.22","8.01","0.11","0.88","2.47","2.66","6.61","0.03","2.37"
"Connecticut",2019,-63.22,"11.23","7.08","10.53","3.37","0.81","1.62","0.73","2.66","2.13","12.45","2.48","1.06","4.06","1.35","2.79","11.01","9.35","0.21","1.08","2.81","2.83","5.38","0.09","2.91"
"Delaware",2010,-54.6,"12.32","7.88","16.62","2.88","1.27","0.88","1.62","1.78","1.90","13.22","2.37","1.01","2.65","0.95","1.57","11.58","8.76","0.04","0.87","2.91","1.43","2.81","0.04","2.64"
"Delaware",2011,-60.75,"12.97","8.36","17.25","3.44","1.17","1.02","1.28","1.68","1.53","12.71","2.20","0.98","2.08","0.88","1.34","11.38","8.34","0.02","0.92","3.05","1.67","2.99","0.05","2.70"
"Delaware",2012,-57,"11.84","8.54","16.36","3.50","1.22","0.99","1.47","1.54","1.49","11.95","2.04","1.18","2.78","1.07","1.43","11.66","9.67","0.03","0.66","2.73","1.86","3.03","0.06","2.93"
