"maj_occ_code","year","state","bgt","per_bgt","tot_emp","per_oes","abb","region"
11,2013,"Arizona",42210,10.6704080084939,130790,5.28303563494179,"AZ","West"
11,2013,"Arkansas",15993,11.5543835566954,55090,4.77962866562554,"AR","South"
11,2013,"California",302951,13.6685204118003,841060,5.71584685341632,"CA","West"
11,2013,"Colorado",50015,11.7588835232215,101030,4.40217864923747,"CO","West"
11,2013,"Connecticut",34700,12.7867813423541,111170,6.79693566236037,"CT","Northeast"
11,2013,"Delaware",8045,11.5732082745922,17870,4.33590527490658,"DE","South"
11,2013,"District of Columbia",25432,18.052755614867,75830,11.3884508522941,"DC","South"
11,2013,"Florida",100787,11.2819668974843,242200,3.24959782537235,"FL","South"
11,2013,"Georgia",72326,12.3921006911724,212080,5.4664584009939,"GA","South"
11,2013,"Hawaii",6882,10.4713794467606,35940,5.96811690468283,"HI","West"
11,2013,"Idaho",9200,8.80483883316745,31970,5.21533442088091,"ID","West"
11,2013,"Illinois",107144,13.0246942094911,343680,6.02450610899784,"IL","Midwest"
11,2013,"Indiana",37987,10.7224916307717,125390,4.39309801173688,"IN","Midwest"
11,2013,"Iowa",23782,10.041632535869,74110,4.96849021185304,"IA","Midwest"
11,2013,"Kansas",21708,11.0821821300579,57500,4.3024108465648,"KS","Midwest"
11,2013,"Kentucky",21546,10.7834059867772,80390,4.50914842777173,"KY","South"
11,2013,"Louisiana",24777,10.618501915676,79930,4.23962107027491,"LA","South"
11,2013,"Maine",13950,10.4431019381499,32530,5.5852205415243,"ME","Northeast"
11,2013,"Maryland",47246,12.4375110235951,145790,5.75226476436981,"MD","South"
11,2013,"Massachusetts",82699,14.6908663274877,223090,6.84772566124492,"MA","Northeast"
11,2013,"Michigan",65241,10.8466545300382,194940,4.87497467984065,"MI","Midwest"
11,2013,"Minnesota",50759,11.3873502800904,163930,6.09727067820188,"MN","Midwest"
11,2013,"Mississippi",11035,11.0788723344444,49010,4.52305363800805,"MS","South"
11,2013,"Missouri",35718,11.0690334816725,135510,5.13466610082149,"MO","Midwest"
11,2013,"Montana",6239,8.98344132469403,14560,3.31579786386099,"MT","West"
11,2013,"Nebraska",13556,9.98850540835274,34640,3.73618076902335,"NE","Midwest"
11,2013,"Nevada",15903,11.0755151928796,52960,4.5973419446687,"NV","West"
11,2013,"New Hampshire",8528,10.5941836341727,33750,5.44188071397475,"NH","Northeast"
11,2013,"New Jersey",76804,14.5808416200598,199860,5.23047209289545,"NJ","Northeast"
11,2013,"New Mexico",12118,10.5246701812592,39960,5.09706880277558,"NM","West"
11,2013,"New York",156705,15.5881168026977,424020,4.91025314403502,"NY","Northeast"
