Maintainer.email.domain,email.domain_count,email.domain_unique_name
decisionanalyst.com,1,1
mail.mcgill.ca,12,9
de.ufpe.br,2,2
northeastern.edu,1,1
bms.com,1,1
osu.cz,2,1
utexas.edu,9,5
est.ufmg.br,3,1
gess.ethz.ch,2,2
ku.edu,5,3
yahoo.it,6,4
mathgen.ch,1,1
ipgp.fr,2,2
bgu.ac.il,2,2
uesc.br,1,1
mit.edu,9,6
curie.fr,4,4
ua.edu,2,1
vt.edu,12,6
datanalytics.com,5,1
cumc.columbia.edu,5,4
ki.se,15,10
tno.nl,2,1
sbf.ulaval.ca,1,1
hacettepe.edu.tr,6,3
northwestern.edu,5,5
sbu.ac.ir,2,1
uu.nl,8,5
its.jnj.com,1,1
marianna-u.ac.jp,2,1
bcamath.org,6,4
icube.unistra.fr,2,2
imsweb.com,3,3
nih.gov,6,3
adelaide.edu.au,7,5
inserm.fr,9,6
uvic.cat,4,3
ethz.ch,2,2
unist.ac.kr,1,1
ids-mannheim.de,1,1
nps.edu,5,2
126.com,6,4
gwdg.de,4,4
uni-duesseldorf.de,8,7
gov.harvard.edu,3,1
mail.dcu.ie,1,1
borstein.com,1,1
unich.it,2,1
modares.ac.ir,1,1
u-bordeaux.fr,9,4
uv.es,7,6
fc.ul.pt,2,2
stonybrook.edu,2,2
uniroma1.it,9,7
amss.ac.cn,1,1
ncsu.edu,27,13
bi.no,4,1
stt.msu.edu,3,1
ttl.fi,2,1
fmed.ulaval.ca,2,1
rose-hulman.edu,1,1
mcw.edu,6,4
uv.mx,6,1
west-inc.com,5,3
math.usask.ca,3,1
auburn.edu,1,1
mbri.ac.ir,1,1
cirad.fr,6,5
stats.ucl.ac.uk,5,3
student.uni-luebeck.de,1,1
unimib.it,5,5
ipn.uni-kiel.de,10,2
met.fu-berlin.de,3,2
epfl.ch,6,4
umail.iu.edu,7,4
ufl.edu,11,7
stats.ox.ac.uk,15,5
itam.mx,2,2
sigmath.es.osaka-u.ac.jp,1,1
appstate.edu,3,1
mail.ncku.edu.tw,1,1
hdr.qut.edu.au,1,1
unal.edu.co,23,15
aalto.fi,5,3
stat.sfu.ca,1,1
stat.tamu.edu,4,4
uni-bamberg.de,1,1
wustl.edu,6,5
imada.sdu.dk,2,2
mail.cnu.edu.cn,1,1
cyi.ac.cy,2,1
stud.uni-goettingen.de,1,1
pssjd.org,1,1
unimore.it,2,2
mayo.edu,24,14
yahoo.gr,7,3
uvt.nl,4,3
buffalo.edu,11,7
rice.edu,13,7
stat.columbia.edu,4,4
uibk.ac.at,5,2
baylor.edu,2,2
mu.ie,2,2
ucd.ie,11,8
cam.ac.uk,30,12
bsse.ethz.ch,4,3
stat.purdue.edu,2,1
stat.cmu.edu,6,4
cornell.edu,26,19
metu.edu.tr,4,1
nmsu.edu,4,1
uic.edu,12,4
us.ibm.com,1,1
cemm.at,1,1
nidi.nl,1,1
garrettassetmanagement.com,3,1
latrobe.edu.au,6,2
icm.edu.pl,6,3
cs.bris.ac.uk,1,1
oicr.on.ca,9,4
heatherturner.net,3,1
massey.ac.nz,3,1
qu.edu.iq,1,1
unimol.it,1,1
epa.gov,4,4
ufmg.br,5,3
bham.ac.uk,3,3
dkfz-heidelberg.de,1,1
zju.edu.cn,2,2
u.nus.edu,3,3
math.univ-toulouse.fr,2,2
warwick.ac.uk,13,10
easternct.edu,2,1
uci.edu,10,6
post.tau.ac.il,1,1
lsce.ipsl.fr,1,1
ncf.ca,21,1
psu.edu,19,14
tum.de,10,6
uq.edu.au,11,7
univ-lyon1.fr,18,8
unibg.it,3,2
cs.helsinki.fi,1,1
georgetown.edu,1,1
unica.it,1,1
nmbu.no,16,6
creal.cat,2,1
upmc.fr,3,2
unimelb.edu.au,13,9
bcm.edu,4,2
live.unc.edu,5,5
usm.lmu.de,1,1
uncg.edu,3,2
unina.it,4,4
bu.edu,9,6
nyumc.org,6,6
canada.ca,10,4
carleton.edu,1,1
mail.com,4,3
ehu.eus,5,5
causata.com,1,1
sbg.ac.at,4,3
unive.it,4,2
utas.edu.au,2,1
cba.ua.edu,2,2
oniris-nantes.fr,3,3
okfn.gr,4,2
unibz.it,2,1
bioinf.uni-leipzig.de,2,1
yahoo.co.in,4,4
uib.es,1,1
mail.tau.ac.il,2,2
europa-uni.de,2,2
small-projects.de,5,1
msn.com,5,3
dps.uminho.pt,1,1
manchester.ac.uk,20,6
unibocconi.it,5,3
mines-paristech.fr,2,1
stat.colostate.edu,4,2
unict.it,3,2
uea.ac.uk,2,1
yahoo.de,2,1
truvenhealth.com,1,1
uni-mainz.de,5,4
essex.ac.uk,5,5
wharton.upenn.edu,22,10
unibas.ch,4,4
audencia.com,2,1
anu.edu.au,10,6
quantoid.net,3,1
emory.edu,10,7
umontpellier.fr,4,4
spa.nifty.com,4,1
uclm.es,7,5
unibuc.ro,3,1
demogr.mpg.de,1,1
eduardoconceicao.org,1,1
icf.com,1,1
fisheries.ubc.ca,1,1
ie.cuhk.edu.hk,1,1
dcc.fc.up.pt,3,1
charite.de,5,4
cumt.edu.cn,1,1
noaa.gov,8,5
st-and.ac.uk,2,1
imbi.uni-heidelberg.de,2,2
uvigo.es,17,9
nau.edu,1,1
uams.edu,1,1
univ-littoral.fr,1,1
nus.edu.sg,6,6
bcs.tu-darmstadt.de,1,1
brunel.ac.uk,2,1
nau.edu.cn,1,1
svetlanasaarela.com,1,1
mcgill.ca,10,4
visualdatatools.com,1,1
sase.ssn.edu.in,1,1
fellstat.com,6,1
ockendon.net,1,1
fda.hhs.gov,4,4
uni-oldenburg.de,13,3
nuim.ie,6,2
zstat.pl,2,1
signorell.net,2,1
supagro.inra.fr,4,4
emse.fr,1,1
toulouse.inra.fr,3,3
vincenot.biz,1,1
wu.ac.at,18,9
utsouthwestern.edu,3,2
sjp.ac.lk,1,1
st-andrews.ac.uk,8,5
fhcrc.org,11,7
beuth-hochschule.de,9,1
univ-nantes.fr,11,4
dpz.eu,1,1
sina.com,5,4
nuigalway.ie,1,1
umiami.edu,5,3
postgrad.curtin.edu.au,3,1
cs.toronto.edu,2,1
wias-berlin.de,6,2
wz-straubing.de,1,1
complete-markets.com,1,1
stat.sinica.edu.tw,3,3
port.ac.uk,2,2
ms.uky.edu,3,1
ualg.pt,2,2
thothal.com,2,1
agrocampus-ouest.fr,10,4
razi.ac.ir,1,1
email.uni-kiel.de,3,1
biol.lu.se,2,2
effectivedefense.org,2,1
air.org,4,2
fazenda.gov.br,1,1
stat.wisc.edu,7,5
lancs.ac.uk,3,2
upm.es,2,2
bxc.dk,1,1
ucalgary.ca,4,4
miami.edu,4,3
hs-kempten.de,1,1
unlv.edu,1,1
ucdenver.edu,8,3
unifal-mg.edu.br,2,1
alumni.princeton.edu,3,1
fao.org,1,1
tu-dresden.de,10,4
uni.lu,2,1
ages.at,1,1
iastate.edu,17,13
biostatgen.org,3,1
astro.umd.edu,3,1
ufz.de,4,3
gsu.edu,2,1
derekogle.com,2,1
statslab.cam.ac.uk,8,7
wald.ucdavis.edu,2,2
unibo.it,8,5
schulich.uwo.ca,1,1
chalmers.se,6,4
haptonstahl.org,3,1
inmodelia.com,1,1
avignon.inra.fr,2,2
affrc.go.jp,1,1
uwo.ca,16,3
plymouth.ac.uk,2,2
gmge.org,2,1
ceweiss.com,2,1
op.pl,1,1
jku.at,5,4
henegar.info,1,1
cs.nott.ac.uk,2,2
ima.ac.uk,1,1
unipg.it,6,2
sibs.ac.cn,3,2
acu.edu.au,1,1
unirioja.es,1,1
math.uni-augsburg.de,2,1
uvsq.fr,1,1
uottawa.ca,12,5
channing.harvard.edu,8,3
usc.edu.au,2,1
mathematik.uni-muenchen.de,3,1
bigdatavisualizations.com,2,1
u.northwestern.edu,4,3
acadiau.ca,2,1
icar.gov.in,3,2
kumc.edu,7,5
isric.org,1,1
szu.edu.cn,2,2
posteo.ch,1,1
med.uni-muenchen.de,1,1
ujaen.es,3,2
whu.edu.cn,2,2
iac.cnr.it,1,1
usa.edu.co,1,1
pmi.com,1,1
luke.fi,4,1
mssm.edu,5,5
u-bourgogne.fr,1,1
graphfactor.com,1,1
umbc.edu,3,2
sentrana.com,1,1
scu.edu.cn,1,1
stat.umn.edu,15,3
uark.edu,4,2
linhi.com,2,1
clin.au.dk,1,1
aon.at,3,1
panteion.gr,1,1
wisc.edu,21,16
sensenetworks.com,1,1
uib.no,2,2
dairyconsult.nl,2,1
unicampania.it,1,1
uky.edu,9,8
lisboa.ics.nara-wu.ac.jp,1,1
pharm.kitasato-u.ac.jp,1,1
medisin.uio.no,2,1
entpe.fr,1,1
wwu.de,1,1
email.sc.edu,4,3
stats.uwo.ca,10,4
qc.cuny.edu,5,1
att.net,3,2
ehu.es,2,2
stat.sc.edu,1,1
yonsei.ac.kr,1,1
