Maintainer.email.domain,email.domain_count,email.domain_unique_name
math.uni.wroc.pl,2,1
med.cornell.edu,1,1
alum.berkeley.edu,1,1
rickwargo.com,1,1
slac.stanford.edu,2,1
stat.brown.edu,1,1
blm.io,1,1
xanadu.ie,1,1
sfc.keio.ac.jp,2,1
eastman.com,1,1
knights.ucf.edu,1,1
mljar.com,1,1
mylesandmyles.info,2,1
gormanalysis.com,1,1
macalester.edu,1,1
mail.concordia.ca,1,1
nytimes.com,1,1
nimahejazi.org,1,1
snm.ku.dk,1,1
oii.ox.ac.uk,1,1
softisms.com,3,1
trestletech.com,2,1
usma.edu,1,1
sintef.no,1,1
analyse-gps.com,1,1
bcgsc.ca,1,1
gloops.com,1,1
wegene.com,1,1
datamarket.com,1,1
peterhurford.com,1,1
curso-r.com,1,1
acis.ufl.edu,1,1
iobis.org,1,1
chartkick.com,1,1
smartinsightsfromdata.com,1,1
cgrb.oregonstate.edu,1,1
csala.me,1,1
shichen.name,1,1
appsilondatascience.com,2,2
trestletechnology.net,1,1
daviddernoncourt.com,1,1
solvebio.com,1,1
barcelonagse.eu,1,1
cs.ru.nl,1,1
brettklamer.com,1,1
alexanderhoyle.com,1,1
quantenbrot.de,2,1
ericdwatt.com,1,1
optusnet.com.au,1,1
exeresearch.com,1,1
elkhartgroup.com,1,1
ornl.gov,1,1
gvdallariva.net,1,1
sicarul.com,1,1
wvdboom.nl,1,1
suiji.org,1,1
