ER17001,ER17002,ER17004,ER17022,ER19161,ER19162,ER20064,ER20065,ER20377,ER20378,ER20456,ER21001,ER21002,ER21003,ER21009,ER22534,ER22535,ER23500,ER23501,ER24099,ER24144,ER24145,ER25001,ER25002,ER25003,ER25009,ER26515,ER26516,ER27468,ER27469,ER28037,ER28043,ER36001,ER36002,ER36003,ER36009,ER37533,ER37534,ER40639,ER40640,ER41027,ER41033,ER41034,ER42001,ER42002,ER42003,ER42009,ER43524,ER43525,ER46617,ER46618,ER46935,ER46975,ER46976,ER47301,ER47302,ER47303,ER47309,ER48849,ER48850,ER51978,ER51979,ER52343,ER52399,ER52400,ER53001,ER53002,ER53003,ER53009,ER54592,ER54593,ER57747,ER57748,ER58152,ER58217,ER58218,ER60001,ER60002,ER60003,ER60009,ER61703,ER61704,ER64927,ER64928,ER65349,ER65453,ER65454,ER66001,ER66002,ER66003,ER66009,ER67756,ER67757,ER71047,ER71048,ER71426,ER71532,ER71533,ER72001,ER72002,ER72003,ER72009,ER73779,ER73780,ER77069,ER77070,ER77448,ER77593,ER77594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,987,41,5,5,0,0,0,20394,0,0,2,4039,41,5,5,0,0,0,24000,0,0,,,,,,,,,,,
6,129,12,6,1,900,5,0,0,0,36272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,784,12,6,1,999998,1,30,33630,0,0,6,561,12,6,1,999998,1,75,18898,0,7,126,12,6,1,100,5,0,25646,0,0,5,2409,12,6,1,200,0,0,18153,0,0,5,3149,12,6,5,0,1,500,2416,0,0,3,3461,12,6,5,0,5,0,10850,0,0,1,1989,12,6,8,0,0,0,11994,0,0,,,,,,,,,,,,,,,,,,,,,,
6,6438,26,6,1,4000,1,250,0,0,168000,8,1838,26,6,1,400,1,250,118800,0,0,6,1202,26,6,1,7000,1,50,199186,0,7,997,26,6,1,7000,5,0,168000,0,0,5,539,26,6,1,6000,1,200,135500,0,0,5,3622,26,6,1,11000,1,250,124600,0,0,3,1195,24,6,1,6500,5,0,210375,0,0,1,3220,24,6,1,15000,1,500,261331,0,0,2,4043,24,6,1,32000,5,0,250800,0,0,1,6444,24,6,1,35000,5,0,243000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6207,10,6,1,500,0,0,100250,0,0,5,497,24,6,1,1000,5,0,107200,0,0,5,4234,24,6,5,0,1,500,109250,0,0,3,3571,24,6,1,500,1,600,149100,0,0,,,,,,,,,,,,2,9110,24,6,1,2000,5,0,155100,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,6475,26,6,5,0,5,0,31050,0,7,4764,9,6,1,0,0,0,35150,0,0,5,847,9,6,1,0,0,0,70150,0,0,5,4787,30,6,5,0,5,0,154390,0,0,3,8860,32,6,1,0,5,0,139075,0,0,1,7525,9,6,5,0,0,0,134500,0,0,2,7810,17,6,1,1500,5,0,146000,0,0,1,8441,17,6,1,600,5,0,119000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6467,26,6,5,0,5,0,71250,0,0,5,2267,29,6,1,500,5,0,80050,0,0,5,5342,29,6,5,0,5,0,100210,0,0,3,9021,24,6,5,0,0,0,96005,0,0,,,,,,,,,,,,2,8286,41,6,5,0,0,0,93490,0,0,1,8878,41,6,1,17000,5,0,170000,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5967,14,6,5,0,5,0,5055,0,0,5,858,14,6,5,0,0,0,1030,0,0,5,7106,26,6,1,0,0,0,35060,0,0,3,3221,26,6,1,600,5,0,100050,0,0,1,2679,26,6,5,0,5,0,77652,0,0,2,5702,26,6,5,0,5,0,115050,0,0,1,5801,26,6,5,0,5,0,185200,0,0
6,263,12,6,1,0,0,0,0,0,90200,8,1890,12,6,1,0,0,0,49506,0,0,6,3444,12,6,1,0,0,0,46400,0,7,4264,12,6,1,500,5,0,44405,0,0,5,4485,12,6,5,0,1,150,61602,0,0,5,4773,12,6,1,0,1,100,67572,0,0,3,2662,12,6,5,0,0,0,66676,0,0,1,3130,12,6,1,0,0,0,49994,0,0,2,4056,12,6,5,0,1,100,60012,0,0,1,4882,12,6,5,0,0,0,29100,0,0
6,1932,12,6,5,0,0,0,0,0,75025,8,1414,12,6,1,150,5,0,95000,0,0,6,724,12,6,1,600,5,0,86100,0,7,724,12,6,1,500,5,0,97000,0,0,5,729,12,6,1,150,5,0,135582,0,0,5,5667,12,6,1,3100,1,2100,147700,0,0,3,1612,12,6,1,700,5,0,162642,0,0,1,2184,12,6,1,500,5,0,236220,0,0,2,6322,21,6,1,500,5,0,245200,0,0,,,,,,,,,,,
