X,Y,Store_Name,Address,City,County,type
-122.8991,44.517513,Walmart SuperCenter 1775,3290 S Santiam Hwy,Lebanon,LINN,snap
-120.82694,44.294174,R & R GROCERY & SPORTING GOODS,940 SE Combs Flat Rd,Prineville,CROOK,snap
-122.59676,45.350765,PLAID PANTRY 054,124 Molalla Ave,Oregon City,CLACKAMAS,snap
-123.94332,45.617085,Dollar General 18455,412 Highway 101 N,Rockaway Beach,TILLAMOOK,snap
-122.26957,45.397282,PLAID PANTRY 121,38260 Pioneer Blvd,Sandy,CLACKAMAS,snap
-122.84168,45.517506,FRED MEYER 00482,15995 SW Walker Rd,Beaverton,WASHINGTON,snap
-121.1296,44.640251,Ahern's Stop And Shop,268 NW 5th St,Madras,JEFFERSON,snap
-119.0852,43.548008,Eddie`s Truck &  Auto Center 6209,740 Highway 20 S,Hines,HARNEY,snap
-121.17982,44.258709,Buy2 021,1846 S Highway 97,Redmond,DESCHUTES,snap
-122.86755,45.5299,Tanasbourne Grocery Outlet 194,1355 NW 185th Ave,Beaverton,WASHINGTON,snap
-122.49532,45.494545,Meadowland Market,16331 SE Powell Blvd,Portland,MULTNOMAH,snap
-122.57901,45.437035,Shoppers X-press,12000 SE 82nd Ave,Happy Valley,CLACKAMAS,snap
-123.30127,43.392208,Ray's Shop Smart 56,811 E Central Ave,Sutherlin,DOUGLAS,snap
-123.38091,43.147034,RAY'S FOOD PLACE 57,4601 Carnes Rd,Roseburg,DOUGLAS,snap
-122.69867,45.530186,Lovejoy Market,1025 NW 23rd Ave,Portland,MULTNOMAH,snap
-122.39176,45.544403,Love's Travel Stop 449,400 NW Frontage Rd,Troutdale,MULTNOMAH,snap
-122.68794,45.522167,Commodore Grocery,621 SW 16th Ave,Portland,MULTNOMAH,snap
-124.05307,44.648041,US MARKET #104,1445 N Coast Hwy,Newport,LINCOLN,snap
-123.12167,44.998692,Thursday West Salem Farmers Market,City Park Greenway On Edgewater Stret,Salem,POLK,snap
-122.68901,42.18404,South Town Market,1522 Siskiyou Blvd,Ashland,JACKSON,snap
-122.6375,45.526497,K & T Market & Deli,2731 Ne Glisan St,Portland,MULTNOMAH,snap
-122.65437,45.516483,Market of Choice 3,1090 SE Belmont St,Portland,MULTNOMAH,snap
-122.51321,45.518871,Everyday Deals Extreme Discount,600 Se 146th Ave,Portland,MULTNOMAH,snap
-122.87016,44.840782,Aumsville Quick Stop Inc.,522 Main St,Aumsville,MARION,snap
-123.31107,44.551128,Papa Murphy's Take & Bake Pizza OR131,5278 Sw Philomath Blvd,Corvallis,BENTON,snap
-122.62325,45.493359,Wise Buy Market,3827 SE Gladstone St,Portland,MULTNOMAH,snap
-123.34671,42.421059,Southern Oregon Outreach Foundation,1650 Nebraska,Grants Pass,JOSEPHINE,snap
-122.4007,45.519077,ARS 525,25675 Se Stark St,Troutdale,MULTNOMAH,snap
-123.35161,42.420193,ARS 533,1650 Sw Allen Creek Rd,Grants Pass,JOSEPHINE,snap
-122.15151,44.738079,Rivers Run,105 Breitenbush Rd,Detroit,MARION,snap
-122.69754,45.523354,Uptown Chevron 50,2230 W Burnside St,Portland,MULTNOMAH,snap
-123.31518,43.389729,Center Market 32,200 W Central Ave,Sutherlin,DOUGLAS,snap
-117.27126,44.351025,T & T Country Store,40 W Washington St,Huntington,BAKER,snap
-122.63144,45.415462,7-eleven 18786F,14810 SE McLoughlin,Milwaukie,CLACKAMAS,snap
-122.97917,45.301411,Rays Produce Inc 1,205 N Main St,Newberg,YAMHILL,snap
-122.47738,45.539131,MY GOODS MARKET 5456,2281 NE 181st Ave,Portland,MULTNOMAH,snap
-122.93036,45.500439,MY GOODS MARKET 5457,5063 SE Tualatin Valley Hwy,Hillsboro,WASHINGTON,snap
-122.8196,42.274532,Petro Stopping Centers 324,"I-5, Exit 24",Phoenix,JACKSON,snap
-122.78162,45.508034,Cedar Hills Mart And Mail,10170 SW Park Way,Portland,WASHINGTON,snap
-122.66113,45.535095,MY GOODS MARKET 5460,425 NE Broadway St,Portland,MULTNOMAH,snap
-123.02848,44.969658,MY GOODS MARKET 5463,2840 Broadway St NE,Salem,MARION,snap
-121.18377,44.269566,Schoolhouse Produce,1430 SW Highland Ave,Redmond,DESCHUTES,snap
-122.59128,45.334679,Safeway 2993,13434 Colton Pl,Oregon City,CLACKAMAS,snap
-122.67606,45.519539,Peterson's Fourth Avenue,513 SW 4th Ave,Portland,MULTNOMAH,snap
-122.80857,45.52496,Jackson's Food Store 516,12805 NW Cornell Rd,Cedar Mill,WASHINGTON,snap
-123.09377,44.048767,Station Market,66 W 10th Ave,Eugene,LANE,snap
-123.9314,45.980072,Hamilton Market,250 Avenue U,Seaside,CLATSOP,snap
-123.10654,44.087955,Village Chevron,4820 Goodpasture Loop,Eugene,LANE,snap
-122.80688,45.234482,Travelcenters Of America 056,"I-5, Exit 278 South, Ehlen Rd",Aurora,MARION,snap
-122.57911,45.46843,7-Eleven 18410C,7501 Se 82nd Ave,Portland,MULTNOMAH,snap
-122.82964,45.429722,New Seasons Market - Progress Ridge 11,14805 Sw Barrows Rd,Beaverton,WASHINGTON,snap
-124.10934,43.966873,Florence Farmers Market,1200 Bay St,Florence,LANE,snap
-121.30258,44.068371,Central Oregon Locavore,1841 NE 3rd St,Bend,DESCHUTES,snap
-123.19408,45.858047,R&S Market,735 Jefferson Ave,Vernonia,COLUMBIA,snap
-124.21629,43.368668,La Tienda Latina,446 Commercial Ave,Coos Bay,COOS,snap
-118.75751,45.672867,Msandhu Llc DBA First Stop Mart 2,2316 Se Court Ave,Pendleton,UMATILLA,snap
-123.16141,45.660862,Sunset Produce Market,47170 NW Sunset Hwy,Banks,WASHINGTON,snap
-122.26678,45.397339,"Timberline Meat, Llc",38525 Proctor Blvd,Sandy,CLACKAMAS,snap
-122.80082,45.488968,76 Of Canyon,12075 SW Canyon Rd,Beaverton,WASHINGTON,snap
-121.26444,44.054871,Stop And Go Shell,2699 NE Highway 20,Bend,DESCHUTES,snap
-118.38732,45.965637,5 Acre Farm,84432 Highway 11,Milton Freewater,UMATILLA,snap
-124.05497,44.628826,Bayfront Market,644 SW Bay Blvd,Newport,LINCOLN,snap
-122.55901,45.51828,7-Eleven 39400A,10136 SE Washington St,Portland,MULTNOMAH,snap
-121.30249,44.067822,Albertsons 2599,1800 NE 3rd St,Bend,DESCHUTES,snap
-117.81893,44.781689,Albertson's 3211,1120 Campbell St,Baker City,BAKER,snap
-123.03181,44.008236,Lane Comm College Titan Store 2185,4000 E 30th Ave,Eugene,LANE,snap
-122.82567,45.654972,Sauvie Island Farmers Market,14443 NW Charlton Rd,Portland,MULTNOMAH,snap
-122.53815,45.522381,Max Mart & Deli,12128 E Burnside St,Portland,MULTNOMAH,snap
-122.28284,45.429195,Malco's Buxton Meat Company,37101 SE Dunn Rd,Sandy,CLACKAMAS,snap
-122.7943,45.491234,G-mart Corporation,3975 Sw 114th Ave,Beaverton,WASHINGTON,snap
-123.2285,44.930038,Stop N Save 10,115 Main St,Rickreall,POLK,snap
-122.88057,42.343563,Court Street Spirit,1325 Court St,Medford,JACKSON,snap
-122.98331,44.943203,Space Age Fuel 17,1080 Lancaster Dr SE,Salem,MARION,snap
-122.78336,43.919693,Dexter Lake Farmers Market,100 N Shore Dr,Lowell,LANE,snap
-121.30205,44.059998,Arco Greenwood Bend,304 Ne Greenwood Ave,Bend,DESCHUTES,snap
-122.67475,45.560413,Cherry Sprout Produce,722 N Sumner St,Portland,MULTNOMAH,snap
-122.60175,45.375526,Walgreens 13727,20100 McLoughlin Blvd,Gladstone,CLACKAMAS,snap
-122.61589,45.462799,Johnson Creek Market,8409 SE 45th Ave,Portland,CLACKAMAS,snap
-123.05228,44.952587,7-eleven 24432F,1218 Wallace Rd Nw,Salem,POLK,snap
-122.41801,45.537144,Wood Village Market & Deli,23830 NE Halsey St,Wood Village,MULTNOMAH,snap
-121.30875,44.032333,The Vegetable Man Produce,61490 S Highway 97,Bend,DESCHUTES,snap
-122.62045,45.555771,Stop In Market,4509 NE 42nd Ave,Portland,MULTNOMAH,snap
-122.8289,45.858845,Sherlocks Grocery,155 N Vernonia Rd,Saint Helens,COLUMBIA,snap
-124.25146,42.043491,Speedy Mart 4,16021 Highway 101 S,Brookings,CURRY,snap
-122.58278,45.526394,Glisan Halal Llc,7830 NE Glisan St,Portland,MULTNOMAH,snap
-123.92217,45.988293,Seaside Stop & Go Shell,860 S Roosevelt Dr,Seaside,CLATSOP,snap
-122.87728,45.748238,Jackpot Market 1,51883 Columbia River Hwy,Scappoose,COLUMBIA,snap
-122.65047,45.548481,Whole Foods Market 10375,3535 NE 15th Ave,Portland,MULTNOMAH,snap
-122.48125,43.746334,Center Market 31,47693 Highway 58,Oakridge,LANE,snap
-123.08205,44.03297,"Quick Trip  2, Llc",2429 Hilyard St,Eugene,LANE,snap
-121.13066,44.633827,City Pump,178 SW 4th St,Madras,JEFFERSON,snap
-122.611,45.53981,Basics Llc,5035 NE Sandy Blvd,Portland,MULTNOMAH,snap
-117.23804,43.982265,Farmers Supply Coop 68,150 Glenn St N,Vale,MALHEUR,snap
-122.97909,45.301437,PAPA MURPHYS OR-030,200 N Main St,Newberg,YAMHILL,snap
-123.48474,45.079056,CENTER MARKET 5,180 NE Main St,Willamina,YAMHILL,snap
-122.0798,44.702057,Idanha Country Store,183 Highway 22,Idanha,MARION,snap
-120.68964,43.237988,Sid's Produce,87061 Christmas Valley Hwy.,Christmas Valley,LAKE,snap
-116.95895,44.024937,Guerrero's Market,106 SE 2ND St,Ontario,MALHEUR,snap
-123.37281,46.129623,Westport Markit,49332 Highway 30,Westport,COLUMBIA,snap
-119.28532,45.833382,SAFEWAY 0444,990 S Highway 395,Hermiston,UMATILLA,snap
-118.38773,45.940556,SAFEWAY  1590,455 N Columbia St,Milton Frwtr,UMATILLA,snap
-123.05225,44.629414,Carson Oil Co Inc 19,4175 Santiam Hwy SE,Albany,LINN,snap
-123.37776,44.540295,Dollar General 17290,658 Main St,Philomath,BENTON,snap
-117.81355,44.781712,Baker Truck Corral,515 Campbell St,Baker City,BAKER,snap
-121.27028,42.441826,PALOMINO DELI & MINI MART,42620 Highway 140,Beatty,KLAMATH,snap
-123.64559,42.173271,Dollar General 16080,25658 N Redwood Hwy,CAve Junction,JOSEPHINE,snap
-118.04565,45.340858,Island City Market And Deli,10101 W 1st St,La Grande,UNION,snap
-122.9153,42.371098,7-eleven 18155E,345 S Front St,Central Point,JACKSON,snap
-122.58455,42.708912,Cascade Gorge Store,2651 Mill Creek Dr,Prospect,JACKSON,snap
-122.80459,45.181499,Dollar General 18271,3624 Pacific Hwy,Hubbard,MARION,snap
-122.65167,45.473591,Moreland Farmers Market,1400 SE Bybee Blvd,Portland,MULTNOMAH,snap
-122.90583,44.521946,Papa Murphy's 106 OR106,2500 S Santiam Hwy,Lebanon,LINN,snap
-122.86914,45.18742,Broadacres Store,18536 Butteville Rd NE,Aurora,MARION,snap
