osm_id,name,RLIS.reviewed,abandoned,access,addr.postcode,alt_name,area,bicycle,bridge,covered,created_by,destination,embankment,fixme,foot,footway,ford,golf,golf_cart,hgv,highway,horse,lanes,layer,lit,location,man_made,maxspeed,motor_vehicle,motorcar,name_1,name_2,name_3,noexit,noname,note,old_name,oneway,pc_left,pc_right,piste.difficulty,piste.lit,piste.name,piste.type,railway,ref,seasonal,segregated,service,sidewalk,smoothness,source,source.name,substance,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tiger.upload_uuid,tracktype,tunnel,waterway,width
"5039605",20th Street,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,20th,,,,,,,,St,,,,no,no,tiger_import_dch_v0.5_20070714,158132620:158141997:158132757:158132724:158132689,,,,,
"5039608",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039610",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039611",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,,no,tiger_import_dch_v0.5_20070714,"158133083",,,,,
"5039612",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039617",,,,,,,,,,no,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039620",Mc Isaac Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039621",Cooper Spur Ski Area Road,,,,,,,,,,,,,,,,,,,,unclassified,,,,,,,,,,,,,,,,,yes,,,,,,,,NF 3512620,,,,,,TIGER,,,paved,,,,,,,,,,,,,,,,,,,,,,,
"5039626",Carter Road,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Carter,,,,,,,,Rd,,,,no,,,,,,,,
"5039630",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039632",,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039635",,,,,,,,,,,,,,,,,,,,no,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039637",,,,,,,,,,,JOSM,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,no,tiger_import_dch_v0.5_20070714,"158139988",,,,,
"5039638",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039640",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039645",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039648",,,,,,,,,,,JOSM,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,no,tiger_import_dch_v0.5_20070714,"158139787",,,,,
"5039650",5th Avenue,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039655",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039659",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039662",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039666",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039669",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039670",,,,,,,,,,,,,,,,,,,,,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039675",Bartlett Loop,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A41,,Bartlett,,,,,,,,Loop,,,,no,,,,,,,,
"5039676",,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039678",Lauren Drive,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039681",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,no,,,,,,,,
"5039683",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
"5039686",,,,,,,,,,,,,,,,,,,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,driveway,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,,
"5039687",A G A Road,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,,
