STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"41","11100","4111100",Seaside School District 10,"00",KG,"12",G5420,,E,"513085944","244585713","+45.9094109","-123.8912039"
"41","13080","4113080",Warrenton-Hammond School District 30,"00",KG,"12",G5420,,E,"154002821","200552809","+46.1618861","-123.8753893"
"41","07200","4107200",La Grande School District 1,"00",KG,"12",G5420,,E,"2060564976","728666","+45.2662958","-118.2891073"
"41","04590","4104590",Elgin School District 23,"00",KG,"12",G5420,,E,"952997545","391729","+45.6660646","-117.8942184"
"41","08010","4108010",McMinnville School District 40,"00",KG,"12",G5420,,E,"305489236","127197","+45.2119166","-123.2820914"
"41","03840","4103840",Culver School District 4,"00",KG,"12",G5420,,E,"839474755","9948879","+44.4997319","-121.3268316"
"41","02190","4102190",Black Butte School District 41,"00",KG,"12",G5420,,E,"497944654","2185343","+44.5036831","-121.7081163"
"41","03270","4103270",Colton School District 53,"00",KG,"12",G5420,,E,"496997110","174670","+45.0754721","-122.3358577"
"41","08310","4108310",Molalla River School District 35,"00",KG,"12",G5420,,E,"538132925","676827","+45.0844293","-122.5192688"
"41","09330","4109330",Oregon City School District 62,"00",KG,"12",G5420,,E,"202138943","2773759","+45.3314353","-122.5128817"
"41","10920","4110920",Oregon Trail School District 46,"00",KG,"12",G5420,,E,"1103098093","5931541","+45.3239840","-121.9904531"
"41","03260","4103260",Clatskanie School District 6J,"00",KG,"12",G5420,,E,"298439822","28040557","+46.1005464","-123.2097095"
"41","06750","4106750",Jewell School District 8,"00",KG,"12",G5420,,E,"693512027","302443","+45.9030945","-123.5574721"
"41","05250","4105250",Fossil School District 21J,"00",KG,"12",G5420,,E,"1619448653","1161384","+44.9231589","-120.2196697"
"41","08280","4108280",Mitchell School District 55,"00",KG,"12",G5420,,E,"1643398454","694283","+44.5177771","-120.0161252"
"41","11640","4111640",Spray School District 1,"00",KG,"12",G5420,,E,"1155404720","0","+44.7807752","-119.8181365"
"41","04530","4104530",Echo School District 5,"00",KG,"12",G5420,,E,"553634082","738","+45.6819388","-119.2326637"
"41","06270","4106270",Helix School District 1,"00",KG,"12",G5420,,E,"578342289","5869","+45.9095477","-118.7904971"
"41","11790","4111790",Stanfield School District 61,"00",KG,"12",G5420,,E,"156165539","139424","+45.8104259","-119.1586160"
"41","12320","4112320",Tillamook School District 9,"00",KG,"12",G5420,,E,"876500066","200642830","+45.4567272","-123.7526299"
"41","08700","4108700",Nestucca Valley School District 101J,"00",KG,"12",G5420,,E,"965332549","223552889","+45.2455382","-123.7604604"
"41","02310","4102310",Brookings-Harbor School District 17,"00",KG,"12",G5420,,E,"1375919893","195027893","+42.1378305","-124.1334329"
"41","05760","4105760",Central Curry School District 1,"00",KG,"12",G5420,,E,"2028906939","368611908","+42.5303375","-124.1796764"
"41","09510","4109510",Pendleton School District 16,"00",KG,"12",G5420,,E,"1961190010","4583615","+45.6172535","-118.6200325"
"41","12540","4112540",Ukiah School District 80,"00",KG,"12",G5420,,E,"1247552105","19696","+45.1056562","-118.8551207"
"41","03540","4103540",Cove School District 15,"00",KG,"12",G5420,,E,"517334262","539926","+45.3543012","-117.7564700"
"41","06630","4106630",Imbler School District 11,"00",KG,"12",G5420,,E,"308592388","0","+45.4985087","-117.9862505"
"41","06510","4106510",Hood River County School District 1,"00",KG,"12",G5420,,E,"1352203431","29040464","+45.5117753","-121.6559762"
"41","03960","4103960",Days Creek School District 15,"00",KG,"12",G5420,,E,"2070049733","542381","+42.9872545","-122.7825805"
"41","05640","4105640",Glendale School District 77,"00",KG,"12",G5420,,E,"774478304","95541","+42.7751544","-123.3548262"
"41","05670","4105670",Glide School District 12,"00",KG,"12",G5420,,E,"3318963357","19450579","+43.2802522","-122.6249232"
"41","11610","4111610",South Umpqua School District 19,"00",KG,"12",G5420,,E,"644783468","50423","+42.9746000","-123.2853590"
"41","11940","4111940",Sutherlin School District 130,"00",KG,"12",G5420,,E,"349055798","1402763","+43.4375821","-123.1140728"
"41","99997","4199997",School District Not Defined,"00",PK,"12",G5420,,F,"1034","44132641","+41.9930425","-120.3285814"
"41","11250","4111250",Sherman School District 1,"00",KG,"12",G5420,,E,"2157662766","19617472","+45.3992158","-120.6785124"
"41","08160","4108160",Milton-Freewater School District 7,"00",KG,"12",G5420,,E,"927913310","47030","+45.9380393","-118.2690376"
"41","01560","4101560",Ashland School District 5,"00",KG,"12",G5420,,E,"947263423","12197089","+42.1900163","-122.5645355"
"41","00640","4100640",Myrtle Point School District 41,"00",KG,"12",G5420,,E,"1315851522","4049730","+43.0616831","-123.9827615"
"41","07020","4107020",Klamath County School District,"00",KG,"12",G5420,,E,"15203470482","502260490","+42.6837613","-121.6461682"
"41","03420","4103420",Corbett School District 39,"00",KG,"12",G5420,,E,"465361665","20595282","+45.5685304","-122.0445034"
"41","06000","4106000",Gresham-Barlow School District 1J,"00",KG,"12",G5420,,E,"129082543","726762","+45.4655943","-122.3908811"
"41","07230","4107230",Lake Oswego School District 7J,"00",KG,"12",G5420,,E,"33479064","2266191","+45.4123049","-122.6991542"
"41","06780","4106780",John Day School District 3,"00",KG,"12",G5420,,E,"3781862028","530236","+44.2137154","-119.1141867"
"41","10110","4110110",Prairie City School District 4,"00",KG,"12",G5420,,E,"3315574379","1259805","+44.4924642","-118.5390746"
"41","04020","4104020",Dayville School District 16J,"00",KG,"12",G5420,,E,"1138764761","32070","+44.3851264","-119.4962730"
"41","08460","4108460",Monument School District 8,"00",KG,"12",G5420,,E,"1398100108","53512","+44.7604868","-119.4806565"
"41","02040","4102040",Bethel School District 52,"00",KG,"12",G5420,,E,"78161889","5984129","+44.0921711","-123.2040742"
"41","05610","4105610",Gladstone School District 115,"00",KG,"12",G5420,,E,"5986347","95157","+45.3856499","-122.5928265"
"41","00019","4100019",Harrisburg School District 7J,"00",KG,"12",G5420,,E,"336931242","3301411","+44.2656550","-123.0645537"
"41","04740","4104740",Eugene School District 4J,"00",KG,"12",G5420,,E,"384410657","10889942","+44.0785136","-123.2753693"
"41","08100","4108100",Santiam Canyon School District 129J,"00",KG,"12",G5420,,E,"2094408175","17531962","+44.7133366","-122.1936128"
"41","02910","4102910",Central Linn School District 552,"00",KG,"12",G5420,,E,"485188972","2094317","+44.3994766","-123.0367881"
"41","03480","4103480",Corvallis School District 509J,"00",KG,"12",G5420,,E,"490181613","4441629","+44.5524805","-123.2919605"
"41","06710","4106710",Jefferson School District 14J,"00",KG,"12",G5420,,E,"144293077","3777957","+44.7493954","-123.0275932"
"41","11970","4111970",Sweet Home School District 55,"00",KG,"12",G5420,,E,"2636038981","26733662","+44.3711535","-122.2897426"
"41","09150","4109150",Oakridge School District 76,"00",KG,"12",G5420,,E,"2175226040","41161923","+43.7085078","-122.2768999"
"41","07590","4107590",Lowell School District 71,"00",KG,"12",G5420,,E,"809780271","27524704","+43.9411012","-122.5839671"
"41","07980","4107980",McKenzie School District 68,"00",KG,"12",G5420,,E,"1981925367","13743913","+44.1224463","-122.1506889"
"41","07500","4107500",Lincoln County School District,"00",KG,"12",G5420,,E,"2801361092","610471862","+44.6066258","-123.9130127"
"41","03780","4103780",Crow-Applegate-Lorane Sd 66,"00",KG,"12",G5420,,E,"659704266","187082","+43.8723587","-123.3554649"
"41","07710","4107710",Mapleton School District 32,"00",KG,"12",G5420,,E,"652501605","1456340","+44.0789022","-123.8424478"
"41","02160","4102160",Blachly School District 090,"00",KG,"12",G5420,,E,"288742455","1299304","+44.1666875","-123.5747347"
"41","03690","4103690",Creswell School District 40,"00",KG,"12",G5420,,E,"183931958","243087","+43.9102069","-123.0348605"
"41","11580","4111580",South Lane School District 45J,"00",KG,"12",G5420,,E,"1742451405","12009512","+43.6614615","-122.8421870"
"41","00023","4100023",Hillsboro School District 1J,"00",KG,"12",G5420,,E,"524341108","473498","+45.5572882","-122.9834986"
"41","03860","4103860",Dallas School District 2,"00",KG,"12",G5420,,E,"609926429","283302","+44.9417824","-123.7223681"
"41","01230","4101230",Amity School District 4J,"00",KG,"12",G5420,,E,"197895517","646710","+45.0930097","-123.1905627"
"41","04950","4104950",Fern Ridge School District 28J,"00",KG,"12",G5420,,E,"542671432","21081821","+44.0138359","-123.5223997"
"41","03720","4103720",Crook County School District,"00",KG,"12",G5420,,E,"9479101192","22079245","+44.0633649","-120.3832837"
"41","08820","4108820",North Bend School District 13,"00",KG,"12",G5420,,E,"468967348","128839360","+43.5187797","-124.1486544"
"41","10020","4110020",Port Orford-Langlois School District 2J,"00",KG,"12",G5420,,E,"914484169","419843651","+42.8422294","-124.4027957"
"41","10080","4110080",Powers School District 31,"00",KG,"12",G5420,,E,"532935292","730784","+42.8012883","-124.0124053"
"41","03660","4103660",Coos Bay School District 9,"00",KG,"12",G5420,,E,"1019156614","184808035","+43.3902729","-124.0462653"
"41","01830","4101830",Banks School District 13,"00",KG,"12",G5420,,E,"345021720","120288","+45.6866806","-123.1934306"
"41","05430","4105430",Gaston School District 511J,"00",KG,"12",G5420,,E,"157427671","1225609","+45.4481100","-123.2750916"
"41","10980","4110980",Scappoose School District 1J,"00",KG,"12",G5420,,E,"340374733","34462779","+45.7750291","-122.9178778"
"41","05160","4105160",Forest Grove School District 15,"00",KG,"12",G5420,,E,"491423116","4268549","+45.5570098","-123.2581874"
"41","11290","4111290",Sherwood School District 88J,"00",KG,"12",G5420,,E,"98083197","16246","+45.3539900","-122.8452815"
"41","12930","4112930",Vernonia School District 47J,"00",KG,"12",G5420,,E,"675308339","232604","+45.8986794","-123.2221692"
"41","13170","4113170",West Linn School District 3J,"00",KG,"12",G5420,,E,"107417974","4622972","+45.3362910","-122.7083109"
"41","10350","4110350",Redmond School District 2J,"00",KG,"12",G5420,,E,"1421449739","1925468","+44.2176464","-121.3732182"
"41","04410","4104410",Dufur School District 29,"00",KG,"12",G5420,,E,"1287051075","10304068","+45.4368880","-121.1338078"
"41","04620","4104620",Elkton School District 34,"00",KG,"12",G5420,,E,"782062384","8815193","+43.6412027","-123.6042323"
"41","09120","4109120",Oakland School District 1,"00",KG,"12",G5420,,E,"698624514","4182662","+43.4465982","-123.3919808"
"41","10710","4110710",Roseburg School District 4,"00",KG,"12",G5420,,E,"856347604","8443655","+43.2820696","-123.4698347"
"41","13490","4113490",Winston-Dillard School District 116,"00",KG,"12",G5420,,E,"626949377","25846","+43.0919576","-123.5423966"
