individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
53007,2001,2024.0,3.0,0.0,40.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,300.0,32001.0,14080.0,14080.0,20.833,1999,0.0,466.0462184873949,49713.15012605042,21873.102521008404
53008,2001,6424.0,5.0,0.0,39.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,600.0,47996.0,8000.0,45600.0,21.252,1999,0.0,932.0924369747898,74561.18100840336,70839.02521008403
53009,2001,1878.0,5.0,0.0,36.0,1.0,5.0,53.0,3.0,3.0,1.0,8.0,1.0,5.0,0.0,50.0,46936.0,2400.0,2400.0,14.049,1999,0.0,77.67436974789916,72914.4843697479,3728.3697478991594
53030,2001,5478.0,5.0,1.0,22.0,1.0,1.0,53.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,76080.0,42520.0,42520.0,6.555,1999,0.0,0.0,118189.32100840336,66054.28403361344
53031,2001,2457.0,23.0,0.0,20.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,42400.0,10000.0,10000.0,10.714,1999,0.0,0.0,65867.86554621848,15534.873949579833
53173,2001,466.0,5.0,0.0,42.0,1.0,1.0,53.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,320.0,54985.0,12700.0,15700.0,21.502,1999,0.0,497.1159663865546,85418.5044117647,24389.752100840335
53206,2001,1096.0,5.0,1.0,52.0,1.0,2.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,1200.0,66840.0,287000.0,377000.0,20.928,1999,0.0,1864.1848739495797,103835.09747899159,585664.7478991596
60022,2001,6082.0,32.0,0.0,52.0,1.0,0.0,60.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,2250.0,74218.0,272000.0,367000.0,26.147,1999,0.0,3495.3466386554624,115296.72747899158,570129.8739495798
60031,2001,7241.0,39.0,2.0,25.0,1.0,0.0,60.0,4.0,3.0,1.0,8.0,1.0,5.0,0.0,360.0,38000.0,1000.0,1000.0,18.682,1999,0.0,559.2554621848739,59032.52100840336,1553.487394957983
61003,2001,1468.0,39.0,0.0,50.0,1.0,2.0,61.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,995.0,53230.0,544000.0,567000.0,21.288,1999,0.0,1545.7199579831931,82692.13403361345,880827.3529411765
61004,2001,936.0,39.0,1.0,48.0,1.0,0.0,61.0,1.0,1.0,1.0,8.0,1.0,1.0,30.0,8305.0,137300.0,478000.0,568000.0,26.142,1999,46.60462184873949,12901.712815126051,213293.8193277311,882380.8403361345
61171,2001,2206.0,39.0,0.0,43.0,1.0,3.0,61.0,1.0,2.0,1.0,8.0,1.0,1.0,25.0,4275.0,74400.0,16000.0,72000.0,24.108,1999,38.83718487394958,6641.158613445378,115579.46218487395,111851.0924369748
68003,2001,1189.0,4.0,1.0,34.0,1.0,2.0,68.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,3000.0,55400.0,41000.0,101000.0,25.9,1999,0.0,4660.462184873949,86063.20168067227,156902.22689075628
84003,2001,6937.0,12.0,1.0,44.0,1.0,1.0,84.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,2500.0,87100.0,29400.0,50200.0,23.639,1999,0.0,3883.718487394958,135308.75210084033,77985.06722689075
84005,2001,6010.0,13.0,0.0,37.0,2.0,1.0,84.0,2.0,2.0,1.0,8.0,1.0,5.0,0.0,100.0,42030.0,-8000.0,-8000.0,35.915,1999,0.0,155.34873949579833,65293.075210084025,-12427.899159663864
84030,2001,328.0,12.0,2.0,24.0,1.0,0.0,84.0,1.0,2.0,1.0,8.0,5.0,0.0,0.0,0.0,41200.0,22000.0,22000.0,12.475,1999,0.0,0.0,64003.68067226891,34176.72268907563
84183,2001,7289.0,24.0,6.0,25.0,1.0,0.0,84.0,1.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,63600.0,600.0,600.0,11.508,1999,0.0,0.0,98801.79831932772,932.0924369747898
