individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
53007,2001,2024.0,3.0,0.0,40.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,300.0,32001.0,14080.0,14080.0,20.833,2000,0.0,450.890243902439,48096.46231707317,21161.78211382114
53008,2001,6424.0,5.0,0.0,39.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,600.0,47996.0,8000.0,45600.0,21.252,2000,0.0,901.780487804878,72136.42715447154,68535.31707317074
53009,2001,1878.0,5.0,0.0,36.0,1.0,5.0,53.0,3.0,3.0,1.0,8.0,1.0,5.0,0.0,50.0,46936.0,2400.0,2400.0,14.049,2000,0.0,75.14837398373984,70543.28162601627,3607.121951219512
53030,2001,5478.0,5.0,1.0,22.0,1.0,1.0,53.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,76080.0,42520.0,42520.0,6.555,2000,0.0,0.0,114345.76585365854,63906.17723577235
53031,2001,2457.0,23.0,0.0,20.0,1.0,0.0,53.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,42400.0,10000.0,10000.0,10.714,2000,0.0,0.0,63725.82113821138,15029.674796747968
53173,2001,466.0,5.0,0.0,42.0,1.0,1.0,53.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,320.0,54985.0,12700.0,15700.0,21.502,2000,0.0,480.94959349593495,82640.6668699187,23596.58943089431
53206,2001,1096.0,5.0,1.0,52.0,1.0,2.0,53.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,1200.0,66840.0,287000.0,377000.0,20.928,2000,0.0,1803.560975609756,100458.34634146342,566618.7398373983
60022,2001,6082.0,32.0,0.0,52.0,1.0,0.0,60.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,2250.0,74218.0,272000.0,367000.0,26.147,2000,0.0,3381.6768292682927,111547.24040650405,551589.0650406503
60031,2001,7241.0,39.0,2.0,25.0,1.0,0.0,60.0,4.0,3.0,1.0,8.0,1.0,5.0,0.0,360.0,38000.0,1000.0,1000.0,18.682,2000,0.0,541.0682926829268,57112.76422764228,1502.9674796747968
61003,2001,1468.0,39.0,0.0,50.0,1.0,2.0,61.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,995.0,53230.0,544000.0,567000.0,21.288,2000,0.0,1495.4526422764227,80002.95894308943,852182.5609756098
61004,2001,936.0,39.0,1.0,48.0,1.0,0.0,61.0,1.0,1.0,1.0,8.0,1.0,1.0,30.0,8305.0,137300.0,478000.0,568000.0,26.142,2000,45.0890243902439,12482.144918699189,206357.4349593496,853685.5284552847
61171,2001,2206.0,39.0,0.0,43.0,1.0,3.0,61.0,1.0,2.0,1.0,8.0,1.0,1.0,25.0,4275.0,74400.0,16000.0,72000.0,24.108,2000,37.57418699186992,6425.185975609756,111820.78048780488,108213.65853658537
68003,2001,1189.0,4.0,1.0,34.0,1.0,2.0,68.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,3000.0,55400.0,41000.0,101000.0,25.9,2000,0.0,4508.902439024389,83264.39837398374,151799.71544715445
84003,2001,6937.0,12.0,1.0,44.0,1.0,1.0,84.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,2500.0,87100.0,29400.0,50200.0,23.639,2000,0.0,3757.418699186992,130908.46747967479,75448.9674796748
84005,2001,6010.0,13.0,0.0,37.0,2.0,1.0,84.0,2.0,2.0,1.0,8.0,1.0,5.0,0.0,100.0,42030.0,-8000.0,-8000.0,35.915,2000,0.0,150.2967479674797,63169.723170731704,-12023.739837398374
84030,2001,328.0,12.0,2.0,24.0,1.0,0.0,84.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,41200.0,22000.0,22000.0,12.475,2000,0.0,0.0,61922.260162601626,33065.28455284552
84183,2001,7289.0,24.0,6.0,25.0,1.0,0.0,84.0,1.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,63600.0,600.0,600.0,11.508,2000,0.0,0.0,95588.73170731707,901.780487804878
89001,2001,101.0,39.0,0.0,72.0,1.0,0.0,89.0,1.0,3.0,1.0,8.0,1.0,1.0,75.0,7075.0,51904.0,437500.0,457500.0,45.792,2000,112.72256097560975,10633.494918699187,78010.02406504065,687607.6219512195
89004,2001,1466.0,13.0,0.0,46.0,2.0,0.0,89.0,4.0,2.0,1.0,8.0,1.0,5.0,0.0,2795.0,19000.0,2500.0,2500.0,53.506,2000,0.0,4200.794105691057,28556.38211382114,3757.418699186992
89006,2001,1791.0,39.0,0.0,37.0,2.0,0.0,89.0,2.0,3.0,1.0,8.0,1.0,5.0,0.0,173.0,36000.0,-12000.0,11000.0,50.011,2000,0.0,260.0133739837399,54106.829268292684,16532.64227642276
89170,2001,1730.0,39.0,0.0,49.0,1.0,1.0,89.0,1.0,2.0,1.0,8.0,1.0,1.0,50.0,4950.0,68880.0,111000.0,161000.0,23.613,2000,75.14837398373984,7439.689024390244,103524.40000000001,241977.7642276423
90172,2001,494.0,39.0,0.0,42.0,1.0,2.0,90.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,3500.0,115400.0,202000.0,363000.0,25.783,2000,0.0,5260.386178861789,173442.44715447153,545577.1951219512
96170,2001,359.0,29.0,1.0,44.0,1.0,2.0,96.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,4300.0,81240.0,61000.0,369000.0,28.586,2000,0.0,6462.760162601626,122101.07804878047,554595.0
98001,2001,686.0,24.0,0.0,53.0,2.0,0.0,98.0,2.0,1.0,1.0,8.0,5.0,5.0,0.0,0.0,25260.0,53860.0,138860.0,52.058,2000,0.0,0.0,37964.95853658536,208702.06422764226
99031,2001,860.0,14.0,2.0,25.0,1.0,0.0,99.0,4.0,5.0,1.0,1.0,5.0,5.0,0.0,0.0,40717.0,-9600.0,-9600.0,15.819,2000,0.0,0.0,61196.3268699187,-14428.487804878048
99170,2001,2144.0,14.0,0.0,54.0,1.0,0.0,99.0,1.0,5.0,1.0,1.0,1.0,5.0,0.0,225.0,31131.0,-26500.0,3650.0,28.458,2000,0.0,338.1676829268293,46788.880609756096,5485.831300813008
100020,2001,335.0,24.0,0.0,55.0,1.0,0.0,100.0,1.0,4.0,1.0,8.0,1.0,5.0,0.0,645.0,46038.0,5500.0,35500.0,51.006,2000,0.0,969.4140243902438,69193.61682926829,53355.34552845529
104001,2001,5402.0,16.0,0.0,55.0,1.0,0.0,104.0,4.0,3.0,2.0,8.0,1.0,5.0,0.0,500.0,52400.0,316000.0,344000.0,80.085,2000,0.0,751.4837398373984,78755.49593495934,517020.8130081301
105031,2001,5745.0,16.0,0.0,24.0,1.0,0.0,105.0,2.0,1.0,2.0,8.0,5.0,5.0,0.0,0.0,31200.0,5500.0,5500.0,33.759,2000,0.0,0.0,46892.58536585366,8266.32113821138
114003,2001,243.0,31.0,1.0,44.0,1.0,1.0,114.0,1.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,58174.0,101500.0,171500.0,22.534,2000,0.0,0.0,87433.63016260162,257758.92276422767
114021,2001,2345.0,31.0,0.0,53.0,1.0,1.0,114.0,1.0,3.0,1.0,1.0,1.0,1.0,100.0,5300.0,120000.0,404000.0,595000.0,24.681,2000,150.2967479674797,7965.727642276423,180356.0975609756,894265.6504065042
117171,2001,789.0,24.0,0.0,40.0,1.0,3.0,117.0,1.0,1.0,1.0,8.0,1.0,1.0,50.0,250.0,61500.0,10000.0,20000.0,23.917,2000,75.14837398373984,375.7418699186992,92432.5,30059.349593495936
121006,2001,631.0,16.0,0.0,43.0,1.0,2.0,121.0,1.0,2.0,1.0,0.0,1.0,1.0,50.0,1350.0,90040.0,26000.0,75580.0,25.374,2000,75.14837398373984,2029.0060975609756,135327.1918699187,113594.28211382114
122175,2001,360.0,15.0,1.0,28.0,1.0,1.0,122.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,550.0,65000.0,63500.0,62500.0,20.719,2000,0.0,826.6321138211382,97692.8861788618,93935.46747967479
126177,2001,1992.0,34.0,0.0,40.0,1.0,1.0,126.0,3.0,3.0,1.0,8.0,5.0,5.0,0.0,0.0,27000.0,20400.0,40400.0,23.509,2000,0.0,0.0,40580.12195121951,60719.88617886179
127171,2001,1217.0,22.0,0.0,48.0,1.0,0.0,127.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,83000.0,-12000.0,38000.0,22.803,2000,0.0,0.0,124746.30081300814,57112.76422764228
131030,2001,43.0,41.0,0.0,32.0,1.0,0.0,131.0,2.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,6420.0,3500.0,3500.0,53.652,2000,0.0,0.0,9649.051219512196,5260.386178861789
138031,2001,710.0,4.0,0.0,29.0,2.0,2.0,138.0,4.0,4.0,1.0,8.0,5.0,5.0,0.0,0.0,10336.0,4700.0,4700.0,37.15,2000,0.0,0.0,15534.671869918699,7063.947154471545
139002,2001,45.0,45.0,0.0,34.0,1.0,0.0,139.0,2.0,2.0,1.0,8.0,1.0,5.0,0.0,600.0,100300.0,177000.0,237000.0,38.782,2000,0.0,901.780487804878,150747.63821138212,356203.2926829268
145170,2001,366.0,32.0,0.0,39.0,1.0,2.0,145.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,300.0,59000.0,2150.0,2150.0,21.77,2000,0.0,450.890243902439,88675.081300813,3231.380081300813
151030,2001,121.0,4.0,2.0,27.0,1.0,0.0,151.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,0.0,170000.0,70000.0,95000.0,19.728,2000,0.0,0.0,255504.47154471546,142781.91056910568
156001,2001,364.0,29.0,0.0,57.0,1.0,0.0,156.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,500.0,78700.0,32000.0,152000.0,59.375,2000,0.0,751.4837398373984,118283.5406504065,228451.0569105691
156030,2001,777.0,29.0,1.0,32.0,1.0,1.0,156.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,1000.0,86050.0,70000.0,140000.0,32.823,2000,0.0,1502.9674796747968,129330.35162601626,210415.44715447156
157171,2001,106.0,32.0,0.0,49.0,1.0,0.0,157.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,0.0,61400.0,9700.0,42700.0,21.944,2000,0.0,0.0,92282.20325203252,64176.71138211382
165176,2001,2622.0,24.0,4.0,28.0,1.0,0.0,165.0,2.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,66000.0,3000.0,3000.0,13.716,2000,0.0,0.0,99195.8536585366,4508.902439024389
